,name,github_id,pypi_id,labels,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,license,github_release_downloads,trending,updated_github_id,gitlab_id,gitlab_url
69,django-multitenant,citusdata/django-multitenant,django-multitenant,[],multiple-tenants,https://github.com/citusdata/django-multitenant,https://github.com/citusdata/django-multitenant,2017-05-19 05:23:40,2023-12-30 21:02:49,2023-12-18 07:34:54,296.0,4.0,106.0,41.0,123.0,31.0,56.0,664,2023-09-26 15:28:27,4.0.0,15.0,Python/Django support for distributed multi-tenant databases like Postgres+Citus.,60.0,60.0,25.0,https://pypi.org/project/django-multitenant,19437.0,19437.0,25,True,3,MIT,,,,,
70,django-easy-audit,soynatan/django-easy-audit,django-easy-audit,[],fields-versioning,https://github.com/soynatan/django-easy-audit,https://github.com/soynatan/django-easy-audit,2016-10-23 06:55:16,2024-01-30 23:09:20,2024-01-04 20:28:35,285.0,11.0,157.0,15.0,136.0,63.0,72.0,633,2023-06-13 14:40:10,1.3.5,52.0,"Yet another Django audit log app, hopefully the simplest one.",224.0,224.0,46.0,https://pypi.org/project/django-easy-audit,35853.0,35853.0,25,True,3,GPL-3.0,,,,,
71,django-otp,django-otp/django-otp,django-otp,[],authentication-authorization,https://github.com/django-otp/django-otp,https://github.com/django-otp/django-otp,2019-08-22 17:57:17,2023-12-21 19:47:11,2023-11-17 21:24:11,265.0,5.0,88.0,12.0,63.0,9.0,60.0,481,,,,A pluggable framework for adding two-factor authentication to Django using one-time passwords.,2571.0,2571.0,46.0,https://pypi.org/project/django-otp,717493.0,717493.0,25,True,3,Unlicense,,,,,
72,django-test-migrations,wemake-services/django-test-migrations,django-test-migrations,[],testing,https://github.com/wemake-services/django-test-migrations,https://github.com/wemake-services/django-test-migrations,2019-11-21 14:10:42,2024-01-31 06:57:14,2024-01-31 06:57:08,428.0,17.0,31.0,9.0,360.0,14.0,48.0,476,2023-04-29 15:21:09,1.3.0,7.0,"Test django schema and data migrations, including migrations order and best practices.",669.0,669.0,18.0,https://pypi.org/project/django-test-migrations,118330.0,118330.0,25,True,3,MIT,,,,,
73,django-tailwind,timonweb/django-tailwind,django-tailwind,[],mvt-css-framework-integration,https://github.com/timonweb/django-tailwind,https://github.com/timonweb/django-tailwind,2019-04-11 19:49:28,2023-12-22 14:02:47,2023-12-22 14:02:18,302.0,22.0,84.0,15.0,49.0,12.0,131.0,1274,,,,Django + Tailwind CSS =.,3019.0,3019.0,19.0,https://pypi.org/project/django-tailwind,59125.0,59125.0,24,True,3,MIT,,,,,
74,django-ratelimit,jsocol/django-ratelimit,django-ratelimit,[],authentication-authorization,https://github.com/jsocol/django-ratelimit,https://github.com/jsocol/django-ratelimit,2011-05-20 23:05:29,2024-01-24 17:21:45,2023-12-05 19:30:12,317.0,2.0,171.0,19.0,154.0,18.0,124.0,990,2023-07-24 20:36:04,4.1.0,2.0,Cache-based rate-limiting for Django.,2337.0,2337.0,51.0,https://pypi.org/project/django-ratelimit,372367.0,372367.0,24,True,3,,,,,,
75,django-payments,jazzband/django-payments,django-payments,[],payment-subscriptions,https://github.com/jazzband/django-payments,https://github.com/jazzband/django-payments,2010-09-30 14:17:47,2024-01-31 18:06:30,2024-01-31 18:06:27,874.0,4.0,257.0,41.0,236.0,59.0,101.0,947,2021-02-01 11:27:35,0.14.0,29.0,Universal payment handling for Django.,526.0,526.0,58.0,https://pypi.org/project/django-payments,8158.0,8158.0,24,True,2,,21.0,,,,
76,django-address,furious-luke/django-address,django-address,[],fields-addresses,https://github.com/furious-luke/django-address,https://github.com/furious-luke/django-address,2011-04-16 01:58:58,2023-10-13 21:23:29,2022-05-05 01:23:36,216.0,,157.0,20.0,68.0,41.0,84.0,421,2022-05-06 20:00:17,0.2.8,7.0,A Django address model and field. Addresses may be specified by address components or by performing an automatic..,406.0,406.0,22.0,https://pypi.org/project/django-address,11618.0,11618.0,24,True,1,BSD-3-Clause,,,,,
77,django-guid,snok/django-guid,django-guid,[],logging,https://github.com/snok/django-guid,https://github.com/snok/django-guid,2019-12-20 10:25:27,2024-01-03 14:21:09,2024-01-03 14:20:16,196.0,9.0,21.0,8.0,85.0,4.0,21.0,393,2024-01-03 14:12:41,3.4.0,17.0,"Inject an ID into every log message from a Django request. ASGI compatible, integrates with Sentry, and works with..",117.0,117.0,9.0,https://pypi.org/project/django-guid,75330.0,75330.0,24,True,1,MIT,,3.0,,,
78,shuup,shuup/shuup,shuup,[],ecommerce-framework,https://github.com/shuup/shuup,https://github.com/shuup/shuup,2015-06-03 12:53:21,2023-09-23 12:09:46,2021-08-18 22:32:03,7104.0,,1024.0,120.0,2191.0,145.0,291.0,2128,2021-08-17 18:55:57,2.14.3,100.0,E-Commerce Platform.,149.0,149.0,67.0,https://pypi.org/project/shuup,978.0,988.0,23,True,3,,583.0,,,,
