,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,trending,github_release_downloads,gitlab_id,gitlab_url
31,django-constance,jazzband/django-constance,django-constance,[],configuration,https://github.com/jazzband/django-constance,https://github.com/jazzband/django-constance,BSD-3-Clause,2010-09-20 12:42:29,2023-02-27 15:48:28,2023-01-11 17:46:55,624.0,1.0,282.0,35.0,249.0,32.0,230.0,1533.0,2022-08-11 11:56:06,2.9.1,1.0,Dynamic Django settings.,1615.0,1615.0,138.0,https://pypi.org/project/django-constance,193847.0,193847.0,28,True,2,,,,
32,django-waffle,django-waffle/django-waffle,django-waffle,[],feature-flipper,https://github.com/django-waffle/django-waffle,https://github.com/django-waffle/django-waffle,BSD-3-Clause,2011-01-23 17:42:09,2022-12-02 00:48:17,2022-10-02 01:30:04,425.0,,228.0,23.0,285.0,37.0,160.0,955.0,2022-08-30 17:26:52,3.0.0,22.0,A feature flipper for Django.,1108.0,1108.0,115.0,https://pypi.org/project/django-waffle,314335.0,314335.0,28,True,1,4.0,,,
33,django-auditlog,jazzband/django-auditlog,django-auditlog,[],fields-versioning,https://github.com/jazzband/django-auditlog,https://github.com/jazzband/django-auditlog,MIT,2013-10-20 12:10:40,2023-02-20 20:17:02,2023-02-20 20:17:01,450.0,26.0,322.0,23.0,297.0,42.0,177.0,740.0,,,15.0,A Django app that keeps a log of changes made to an object.,606.0,606.0,65.0,https://pypi.org/project/django-auditlog,96629.0,96631.0,28,True,2,,285.0,,
34,django-tenant-schemas,bernardopires/django-tenant-schemas,django-tenant-schemas,[],multiple-tenants,https://github.com/bernardopires/django-tenant-schemas,https://github.com/bernardopires/django-tenant-schemas,MIT,2012-06-23 10:54:34,2023-02-05 15:55:14,2021-11-10 21:40:53,622.0,,391.0,69.0,224.0,142.0,327.0,1361.0,2017-06-03 11:58:30,1.9.0,1.0,Tenant support for Django using PostgreSQL schemas.,361.0,361.0,70.0,https://pypi.org/project/django-tenant-schemas,18887.0,18887.0,27,True,2,,,,
35,django-admin-interface,fabiocaccamo/django-admin-interface,django-admin-interface,[],admin-interface,https://github.com/fabiocaccamo/django-admin-interface,https://github.com/fabiocaccamo/django-admin-interface,MIT,2015-10-26 14:46:36,2023-02-28 00:12:00,2023-02-27 14:44:20,705.0,83.0,139.0,32.0,89.0,20.0,149.0,1335.0,2022-12-19 14:36:57,0.24.2,49.0,"djangos default admin interface with superpowers - customizable themes, popup windows replaced by modals and many..",,,31.0,https://pypi.org/project/django-admin-interface,60339.0,60339.0,27,True,3,,,,
36,django-phonenumber-field,stefanfoulis/django-phonenumber-field,django-phonenumber-field,[],fields-phone-numbers,https://github.com/stefanfoulis/django-phonenumber-field,https://github.com/stefanfoulis/django-phonenumber-field,MIT,2011-08-31 17:52:05,2023-02-28 10:21:54,2023-02-28 10:21:53,550.0,7.0,286.0,23.0,345.0,8.0,193.0,1330.0,2023-01-09 16:27:18,7.0.2,8.0,A django model and form field for normalised phone numbers using python-phonenumbers.,,,111.0,https://pypi.org/project/django-phonenumber-field,679951.0,679951.0,27,True,1,,8.0,,
37,django-split-settings,wemake-services/django-split-settings,django-split-settings,[],configuration,https://github.com/wemake-services/django-split-settings,https://github.com/wemake-services/django-split-settings,BSD-3-Clause,2013-05-17 06:04:30,2023-02-23 10:41:41,2023-02-23 10:40:50,466.0,10.0,61.0,20.0,419.0,4.0,39.0,960.0,2022-09-27 12:54:00,1.2.0,6.0,Organize Django settings into multiple files and directories. Easily override and modify settings. Use wildcards and..,1713.0,1713.0,23.0,https://pypi.org/project/django-split-settings,93039.0,93039.0,27,True,3,,,,
38,django-graphql-jwt,flavors/django-graphql-jwt,django-graphql-jwt,[],graphql-api,https://github.com/flavors/django-graphql-jwt,https://github.com/flavors/django-graphql-jwt,MIT,2017-11-05 15:29:56,2023-02-15 20:31:22,2023-01-09 17:37:46,543.0,1.0,144.0,20.0,98.0,46.0,168.0,784.0,2021-08-11 20:57:06,0.3.4,26.0,JSON Web Token (JWT) authentication for Graphene Django.,4267.0,4267.0,24.0,https://pypi.org/project/django-graphql-jwt,118881.0,118881.0,27,True,3,,,,
39,strawberry-graphql-django,strawberry-graphql/strawberry-graphql-django,strawberry-graphql-django,[],graphql-api,https://github.com/strawberry-graphql/strawberry-graphql-django,https://github.com/strawberry-graphql/strawberry-graphql-django,MIT,2020-10-30 17:12:01,2023-02-28 16:28:35,2023-02-04 13:39:35,424.0,51.0,51.0,15.0,107.0,62.0,70.0,244.0,2023-02-04 13:41:32,0.9.2,17.0,Strawberry GraphQL Django extension.,233.0,233.0,38.0,https://pypi.org/project/strawberry-graphql-django,32953.0,32953.0,27,True,3,,,,
40,mezzanine,stephenmcd/mezzanine,mezzanine,[],cms-framework,https://github.com/stephenmcd/mezzanine,https://github.com/stephenmcd/mezzanine,BSD-2-Clause,2010-05-29 12:16:55,2022-11-02 08:25:54,2022-11-02 08:25:54,5304.0,,1547.0,256.0,978.0,40.0,1008.0,4585.0,2022-05-12 12:48:08,6.0.0,9.0,CMS framework for Django.,,,326.0,https://pypi.org/project/mezzanine,4396.0,4396.0,26,True,3,,,,
