,name,github_id,pypi_id,labels,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,license,github_release_downloads,trending,new_addition,gitlab_id,gitlab_url
22,django-grappelli,sehmaschine/django-grappelli,django-grappelli,[],admin-interface,https://github.com/sehmaschine/django-grappelli,https://github.com/sehmaschine/django-grappelli,2010-03-26 12:25:59,2022-11-22 14:09:40,2022-11-22 14:03:04,1875.0,5.0,634,95.0,317.0,5.0,685.0,3370,,,,A jazzy skin for the Django Admin-Interface (official repository).,5181.0,5181.0,82.0,https://pypi.org/project/django-grappelli,137616,137616,28,True,3,,,,,,
23,django-guardian,django-guardian/django-guardian,django-guardian,[],authorization,https://github.com/django-guardian/django-guardian,https://github.com/django-guardian/django-guardian,2010-06-04 23:15:37,2022-10-02 18:27:44,2022-03-25 21:42:47,1062.0,,527,85.0,348.0,121.0,321.0,3304,,,,Per object permissions for Django.,5160.0,5160.0,159.0,https://pypi.org/project/django-guardian,346405,346405,28,True,1,,,,,,
24,django-graphql-jwt,flavors/django-graphql-jwt,django-graphql-jwt,[],graphql-api,https://github.com/flavors/django-graphql-jwt,https://github.com/flavors/django-graphql-jwt,2017-11-05 15:29:56,2022-12-09 05:55:42,2021-08-11 20:56:04,541.0,,141,20.0,95.0,46.0,168.0,781,2021-08-11 20:57:06,0.3.4,26.0,JSON Web Token (JWT) authentication for Graphene Django.,3277.0,3277.0,23.0,https://pypi.org/project/django-graphql-jwt,101892,101892,27,True,3,MIT,,5.0,,,
25,mezzanine,stephenmcd/mezzanine,mezzanine,[],cms-framework,https://github.com/stephenmcd/mezzanine,https://github.com/stephenmcd/mezzanine,2010-05-29 12:16:55,2022-11-02 08:25:54,2022-11-02 08:25:54,5304.0,1.0,1545,256.0,978.0,38.0,1008.0,4549,2022-05-12 12:48:08,6.0.0,9.0,CMS framework for Django.,,,326.0,https://pypi.org/project/mezzanine,2452,2452,26,True,3,BSD-2-Clause,,,,,
26,django-shop,awesto/django-shop,django-shop,[],ecommerce-framework,https://github.com/awesto/django-shop,https://github.com/awesto/django-shop,2010-11-19 11:15:48,2022-04-08 09:00:09,2021-02-28 18:04:57,5402.0,,945,171.0,500.0,84.0,292.0,2925,,,,A Django based shop system.,206.0,206.0,96.0,https://pypi.org/project/django-shop,6521,6521,26,True,3,BSD-3-Clause,,,,,
27,django-celery-beat,celery/django-celery-beat,django-celery-beat,[],task-queues,https://github.com/celery/django-celery-beat,https://github.com/celery/django-celery-beat,2016-08-03 22:34:19,2022-12-19 18:10:08,2022-12-19 18:10:04,335.0,27.0,357,47.0,233.0,61.0,285.0,1270,2022-10-19 13:41:57,2.4.0,13.0,Celery Periodic Tasks backed by the Django ORM.,,,103.0,https://pypi.org/project/django-celery-beat,720936,720936,26,True,3,,,,,,
28,django-configurations,jazzband/django-configurations,django-configurations,[],configuration,https://github.com/jazzband/django-configurations,https://github.com/jazzband/django-configurations,2012-07-21 13:56:20,2022-11-04 17:52:34,2022-11-04 17:52:34,476.0,3.0,125,20.0,166.0,38.0,141.0,951,2022-09-01 09:46:30,2.4,7.0,A helper for organizing Django project settings by relying on well established programming patterns.,2433.0,2433.0,63.0,https://pypi.org/project/django-configurations,88409,88409,26,True,3,BSD-3-Clause,,,,,
29,django-cas-ng,django-cas-ng/django-cas-ng,django-cas-ng,[],authentication,https://github.com/django-cas-ng/django-cas-ng,https://github.com/django-cas-ng/django-cas-ng,2014-05-23 22:52:34,2022-11-18 17:19:04,2022-11-18 17:19:04,636.0,15.0,155,19.0,179.0,2.0,147.0,347,2022-01-09 02:06:44,4.3.0,26.0,"Django CAS 1.0/2.0/3.0 client authentication library, support Django 2.0, 2.1, 2.2, 3.0 and Python 3.5+.",378.0,378.0,83.0,https://pypi.org/project/django-cas-ng,13314,13318,26,True,3,MIT,441.0,,,,
30,strawberry-graphql-django,strawberry-graphql/strawberry-graphql-django,strawberry-graphql-django,[],graphql-api,https://github.com/strawberry-graphql/strawberry-graphql-django,https://github.com/strawberry-graphql/strawberry-graphql-django,2020-10-30 17:12:01,2022-12-19 16:39:49,2022-11-24 14:21:17,317.0,76.0,47,13.0,95.0,55.0,68.0,219,2022-11-16 22:56:41,0.8.2,14.0,Strawberry GraphQL Django extension.,118.0,118.0,38.0,https://pypi.org/project/strawberry-graphql-django,23100,23100,26,True,3,MIT,,,,,
31,factory_boy,FactoryBoy/factory_boy,factory_boy,[],testing,https://github.com/FactoryBoy/factory_boy,https://github.com/FactoryBoy/factory_boy,2011-05-11 08:26:59,2022-12-07 15:28:28,2022-12-07 15:28:28,958.0,12.0,349,41.0,460.0,159.0,375.0,3006,,,,A test fixtures replacement for Python.,,,126.0,https://pypi.org/project/factory_boy,2127972,2127972,25,True,1,MIT,,,,,
32,shuup,shuup/shuup,shuup,[],ecommerce-framework,https://github.com/shuup/shuup,https://github.com/shuup/shuup,2015-06-03 12:53:21,2022-12-08 08:17:15,2021-08-18 22:32:03,7104.0,,962,118.0,2190.0,142.0,291.0,1962,2021-08-17 18:55:57,2.14.3,100.0,E-Commerce Platform.,115.0,115.0,67.0,https://pypi.org/project/shuup,1134,1146,25,True,3,,500.0,,,,
33,pytest-django,pytest-dev/pytest-django,pytest-django,[],testing,https://github.com/pytest-dev/pytest-django,https://github.com/pytest-dev/pytest-django,2011-09-29 19:35:55,2022-12-16 15:48:27,2022-11-08 21:00:46,1191.0,4.0,302,36.0,551.0,135.0,354.0,1124,2021-12-07 14:56:42,4.5.2,19.0,A Django plugin for pytest.,,,137.0,https://pypi.org/project/pytest-django,1638948,1638948,25,True,1,,,,,,
34,django-waffle,django-waffle/django-waffle,django-waffle,[],feature-flipper,https://github.com/django-waffle/django-waffle,https://github.com/django-waffle/django-waffle,2011-01-23 17:42:09,2022-12-02 00:48:17,2022-10-02 01:30:04,425.0,5.0,228,23.0,285.0,35.0,160.0,948,2022-08-30 17:26:52,3.0.0,22.0,A feature flipper for Django.,,,115.0,https://pypi.org/project/django-waffle,236596,236596,25,True,1,BSD-3-Clause,,-1.0,,,
35,django-test-migrations,wemake-services/django-test-migrations,django-test-migrations,[],testing,https://github.com/wemake-services/django-test-migrations,https://github.com/wemake-services/django-test-migrations,2019-11-21 14:10:42,2022-12-19 15:09:44,2022-12-19 15:09:44,342.0,20.0,24,9.0,277.0,8.0,46.0,378,2021-12-13 22:15:21,1.2.0,6.0,"Test django schema and data migrations, including migrations order and best practices.",313.0,313.0,17.0,https://pypi.org/project/django-test-migrations,66868,66868,25,True,1,MIT,,4.0,,,
36,django-organizations,bennylope/django-organizations,django-organizations,[],authorization,https://github.com/bennylope/django-organizations,https://github.com/bennylope/django-organizations,2012-02-02 02:38:49,2022-12-13 21:31:27,2022-11-29 20:45:14,725.0,22.0,183,35.0,92.0,16.0,130.0,1050,2022-10-25 22:24:10,2.1.0,14.0,Multi-user accounts for Django projects.,,,46.0,https://pypi.org/project/django-organizations,24638,24638,24,True,3,BSD-2-Clause,,,,,
37,django-split-settings,wemake-services/django-split-settings,django-split-settings,[],configuration,https://github.com/wemake-services/django-split-settings,https://github.com/wemake-services/django-split-settings,2013-05-17 06:04:30,2022-09-27 13:25:56,2022-09-27 12:51:22,456.0,1.0,58,20.0,404.0,4.0,38.0,936,2022-09-27 12:54:00,1.2.0,6.0,Organize Django settings into multiple files and directories. Easily override and modify settings. Use wildcards and..,1269.0,1269.0,20.0,https://pypi.org/project/django-split-settings,73465,73465,24,True,3,BSD-3-Clause,,5.0,,,
38,viewflow,viewflow/viewflow,viewflow,[],finite-state-machine,https://github.com/viewflow/viewflow,https://github.com/viewflow/viewflow,2013-09-10 10:16:35,2022-12-07 17:38:11,2022-12-02 13:29:47,858.0,1.0,365,105.0,86.0,22.0,252.0,2293,2017-05-29 17:10:27,1.0.0,2.0,Reusable workflow library for Django.,243.0,243.0,31.0,https://pypi.org/project/viewflow,53,53,23,True,2,AGPL-3.0,,-1.0,,,
39,django-fsm-log,jazzband/django-fsm-log,django-fsm-log,[],finite-state-machine,https://github.com/jazzband/django-fsm-log,https://github.com/jazzband/django-fsm-log,2013-10-30 03:15:55,2022-12-19 18:50:00,2022-12-13 15:26:59,296.0,6.0,66,8.0,107.0,9.0,31.0,199,2022-01-14 14:21:04,3.0.0,9.0,Automatic logging for Django FSM.,109.0,109.0,26.0,https://pypi.org/project/django-fsm-log,25657,25657,23,True,2,MIT,,,,,
40,model_bakery,model-bakers/model_bakery,model_bakery,[],testing,https://github.com/model-bakers/model_bakery,https://github.com/model-bakers/model_bakery,2019-10-08 12:49:08,2022-12-16 19:02:21,2022-12-12 13:40:57,269.0,28.0,72,12.0,258.0,20.0,93.0,624,2022-10-24 06:11:08,1.9.0,10.0,Object factory for Django.,,,42.0,https://pypi.org/project/model_bakery,284473,284473,21,True,3,,,,,,
41,django-guid,snok/django-guid,django-guid,[],logging,https://github.com/snok/django-guid,https://github.com/snok/django-guid,2019-12-20 10:25:27,2022-12-09 10:41:13,2022-12-09 10:40:59,186.0,10.0,16,8.0,71.0,1.0,19.0,296,2022-05-06 13:06:01,3.3.0,15.0,"Inject an ID into every log message from a Django request. ASGI compatible, integrates with Sentry, and works with..",55.0,55.0,8.0,https://pypi.org/project/django-guid,38425,38425,21,True,1,BSD-3-Clause,,,,,
