,name,github_id,pypi_id,labels,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,trending,license,github_release_downloads
0,django-rest-framework,encode/django-rest-framework,django-rest-framework,[],restful-api,https://github.com/encode/django-rest-framework,https://github.com/encode/django-rest-framework,2011-03-02 17:13:56,2022-11-30 09:40:16,2022-11-29 20:49:41,8630,65.0,6205,616,4447,88.0,3701.0,24560,2022-11-08 10:37:57,3.14.0,17.0,Web APIs for Django.,396157.0,396157.0,1327,https://pypi.org/project/django-rest-framework,76444,76444,43,True,1,2.0,,
1,celery,celery/celery,celery,[],task-queues,https://github.com/celery/celery,https://github.com/celery/celery,2009-04-24 11:31:24,2022-11-30 13:41:32,2022-11-30 13:41:32,12077,79.0,4221,477,2780,527.0,4251.0,20514,2022-08-01 11:20:41,5.3.0b1,37.0,Distributed Task Queue (development branch).,79663.0,79663.0,1252,https://pypi.org/project/celery,5851892,5851892,43,True,1,2.0,,
2,wagtail,wagtail/wagtail,wagtail,[],cms-framework,https://github.com/wagtail/wagtail,https://github.com/wagtail/wagtail,2014-02-03 12:41:59,2022-11-30 21:37:03,2022-11-29 21:57:38,14208,465.0,2834,336,5452,813.0,3312.0,13614,2022-11-11 17:17:59,4.1.1,100.0,A Django content management system focused on flexibility and user experience.,7447.0,7447.0,765,https://pypi.org/project/wagtail,129241,129241,42,True,1,,BSD-3-Clause,
3,django-allauth,pennersr/django-allauth,django-allauth,[],authentication,https://github.com/pennersr/django-allauth,https://github.com/pennersr/django-allauth,2010-10-10 20:10:52,2022-11-30 20:49:13,2022-11-30 20:48:52,2472,20.0,2590,190,1293,289.0,1609.0,7601,,,,"Integrated set of Django applications addressing authentication, registration, account management as well as 3rd party..",116898.0,116898.0,602,https://pypi.org/project/django-allauth,592539,592539,38,True,1,,MIT,
4,django-extensions,django-extensions/django-extensions,django-extensions,[],management-commands,https://github.com/django-extensions/django-extensions,https://github.com/django-extensions/django-extensions,2009-03-21 16:11:19,2022-10-29 14:29:42,2022-09-09 11:10:06,3601,10.0,1073,104,940,124.0,707.0,5935,2022-09-09 11:10:54,3.2.1,4.0,This is a repository for collecting global custom management extensions for the Django Framework.,118630.0,118630.0,568,https://pypi.org/project/django-extensions,2051449,2051449,38,True,1,,MIT,
5,rq,rq/rq,rq,[],task-queues,https://github.com/rq/rq,https://github.com/rq/rq,2011-11-14 10:53:48,2022-11-30 06:33:21,2022-11-28 23:15:15,1675,17.0,1304,213,723,187.0,804.0,8632,2022-09-25 08:03:45,1.11.1,21.0,Simple job queues for Python.,11463.0,11463.0,275,https://pypi.org/project/rq,792410,792410,37,True,2,,,
6,django-cms,django-cms/django-cms,django-cms,[],cms-framework,https://github.com/django-cms/django-cms,https://github.com/django-cms/django-cms,2009-03-05 10:14:18,2022-11-30 15:01:24,2022-11-24 11:39:24,16063,25.0,2766,409,4005,102.0,3299.0,9023,,,1.0,The easy-to-use and developer-friendly enterprise CMS powered by Django.,4604.0,4604.0,615,https://pypi.org/project/django-cms,39147,39147,36,True,3,-1.0,BSD-3-Clause,
7,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,2015-09-24 09:18:18,2022-11-27 19:30:08,2022-11-21 14:40:05,1729,12.0,772,146,509,106.0,860.0,7478,2022-09-08 09:26:24,3.1.1,55.0,GraphQL framework for Python.,14345.0,14345.0,193,https://pypi.org/project/graphene,1785911,1785911,36,True,1,,MIT,
8,django-debug-toolbar,jazzband/django-debug-toolbar,django-debug-toolbar,[],debugging,https://github.com/jazzband/django-debug-toolbar,https://github.com/jazzband/django-debug-toolbar,2008-08-28 06:58:04,2022-11-28 19:18:00,2022-11-24 20:24:17,2422,28.0,854,107,889,73.0,746.0,7272,2022-09-25 16:02:28,3.7,10.0,A configurable set of panels that display various debug information about the current request/response.,58211.0,58211.0,263,https://pypi.org/project/django-debug-toolbar,1630437,1630438,36,True,1,,BSD-3-Clause,178.0
9,django-oscar,django-oscar/django-oscar,django-oscar,[],ecommerce-framework,https://github.com/django-oscar/django-oscar,https://github.com/django-oscar/django-oscar,2010-12-08 21:30:32,2022-11-30 18:46:24,2022-11-30 10:36:13,8838,22.0,1945,266,2567,137.0,1300.0,5532,2021-07-29 04:15:39,3.1,4.0,Domain-driven e-commerce for Django.,927.0,927.0,335,https://pypi.org/project/django-oscar,15896,15896,35,True,1,,BSD-3-Clause,
