,name,github_id,pypi_id,labels,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,license,github_release_downloads,new_addition,trending,gitlab_id,gitlab_url
0,django-rest-framework,encode/django-rest-framework,django-rest-framework,[],restful-api,https://github.com/encode/django-rest-framework,https://github.com/encode/django-rest-framework,2011-03-02 17:13:56,2022-12-22 11:00:46,2022-12-10 16:50:41,8639.0,57.0,6222,618.0,4454.0,76.0,3716.0,24658,2022-11-08 10:37:57,3.14.0,17.0,Web APIs for Django.,407075.0,407075.0,1332.0,https://pypi.org/project/django-rest-framework,77460,77460,43,True,1,,,,,,
1,celery,celery/celery,celery,[],task-queues,https://github.com/celery/celery,https://github.com/celery/celery,2009-04-24 11:31:24,2022-12-22 06:00:02,2022-12-22 05:59:55,12097.0,92.0,4226,476.0,2800.0,526.0,4262.0,20680,2022-08-01 11:20:41,5.3.0b1,37.0,Distributed Task Queue (development branch).,81286.0,81286.0,1256.0,https://pypi.org/project/celery,5773513,5773513,43,True,1,,,,,,
2,wagtail,wagtail/wagtail,wagtail,[],cms-framework,https://github.com/wagtail/wagtail,https://github.com/wagtail/wagtail,2014-02-03 12:41:59,2022-12-22 17:52:46,2022-12-19 14:05:41,14291.0,427.0,2859,338.0,5490.0,827.0,3335.0,13717,2022-11-11 17:17:59,4.1.1,100.0,A Django content management system focused on flexibility and user experience.,7560.0,7560.0,767.0,https://pypi.org/project/wagtail,125764,125764,42,True,1,BSD-3-Clause,,,,,
3,pydantic,pydantic/pydantic,pydantic,[],restful-api,https://github.com/pydantic/pydantic,https://github.com/pydantic/pydantic,2017-05-03 21:23:58,2022-12-22 16:08:19,2022-12-21 12:10:48,1476.0,41.0,1092,88.0,1800.0,538.0,1568.0,11965,2022-09-05 17:59:59,1.10.2,92.0,Data parsing and validation using Python type hints.,120834.0,120834.0,335.0,https://pypi.org/project/pydantic,43319532,43319532,42,True,2,MIT,,,,,
4,django-cms,django-cms/django-cms,django-cms,[],cms-framework,https://github.com/django-cms/django-cms,https://github.com/django-cms/django-cms,2009-03-05 10:14:18,2022-12-21 15:28:11,2022-12-21 13:18:25,16066.0,24.0,2771,410.0,4016.0,105.0,3300.0,9052,2022-12-13 14:27:49,3.11.1,2.0,The easy-to-use and developer-friendly enterprise CMS powered by Django.,4630.0,4630.0,615.0,https://pypi.org/project/django-cms,43036,43036,39,True,3,BSD-3-Clause,,,,,
5,django-allauth,pennersr/django-allauth,django-allauth,[],authentication,https://github.com/pennersr/django-allauth,https://github.com/pennersr/django-allauth,2010-10-10 20:10:52,2022-12-22 10:10:38,2022-12-22 08:53:49,2493.0,27.0,2596,191.0,1301.0,275.0,1635.0,7645,,,,"Integrated set of Django applications addressing authentication, registration, account management as well as 3rd party..",121556.0,121556.0,613.0,https://pypi.org/project/django-allauth,581227,581227,38,True,1,MIT,,,,,
6,rq,rq/rq,rq,[],task-queues,https://github.com/rq/rq,https://github.com/rq/rq,2011-11-14 10:53:48,2022-12-19 17:02:32,2022-11-28 23:15:15,1675.0,13.0,1307,214.0,726.0,190.0,804.0,8674,2022-09-25 08:03:45,1.11.1,21.0,Simple job queues for Python.,11663.0,11663.0,275.0,https://pypi.org/project/rq,755897,755897,37,True,2,,,,,,
7,django-debug-toolbar,jazzband/django-debug-toolbar,django-debug-toolbar,[],debugging,https://github.com/jazzband/django-debug-toolbar,https://github.com/jazzband/django-debug-toolbar,2008-08-28 06:58:04,2022-12-19 18:49:28,2022-12-17 20:04:06,2434.0,32.0,864,107.0,899.0,76.0,748.0,7303,2022-12-03 18:09:12,3.8.1,12.0,A configurable set of panels that display various debug information about the current request/response.,59199.0,59199.0,263.0,https://pypi.org/project/django-debug-toolbar,1618889,1618890,37,True,1,BSD-3-Clause,178.0,,,,
8,django-extensions,django-extensions/django-extensions,django-extensions,[],management-commands,https://github.com/django-extensions/django-extensions,https://github.com/django-extensions/django-extensions,2009-03-21 16:11:19,2022-12-22 17:29:39,2022-09-09 11:10:06,3601.0,,1076,104.0,946.0,129.0,707.0,5960,2022-09-09 11:10:54,3.2.1,4.0,This is a repository for collecting global custom management extensions for the Django Framework.,122998.0,122998.0,568.0,https://pypi.org/project/django-extensions,2020210,2020210,37,True,1,MIT,,,,,
9,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,2015-09-24 09:18:18,2022-12-16 09:39:59,2022-12-11 20:05:25,1734.0,13.0,768,144.0,510.0,104.0,864.0,7503,2022-12-11 20:07:51,3.2.1,57.0,GraphQL framework for Python.,14615.0,14615.0,194.0,https://pypi.org/project/graphene,1914707,1914707,36,True,1,MIT,,,,,
