,name,github_id,pypi_id,labels,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,license,trending,github_release_downloads,new_addition,gitlab_id,gitlab_url
61,django-mirage-field,luojilab/django-mirage-field,django-mirage-field,[],encrpyted-fields,https://github.com/luojilab/django-mirage-field,https://github.com/luojilab/django-mirage-field,2019-04-26 06:02:43,2022-04-19 11:01:05,2022-04-19 11:00:59,71.0,,13,15.0,13.0,,12.0,85,2022-03-14 08:47:26,1.4.0,17.0,"Django model field encrypt/decrypt your data, keep secret in database.",52.0,52.0,9.0,https://pypi.org/project/django-mirage-field,8948,8948,17,True,2,MIT,,,,,
62,django-fieldsignals,craigds/django-fieldsignals,django-fieldsignals,[],fields-versioning,https://github.com/craigds/django-fieldsignals,https://github.com/craigds/django-fieldsignals,2011-02-03 11:28:50,2022-10-08 02:34:47,2022-10-08 02:33:46,69.0,6.0,11,8.0,8.0,3.0,14.0,104,2021-08-16 05:08:47,0.7.0,8.0,Django signals for changed fields.,132.0,132.0,5.0,https://pypi.org/project/django-fieldsignals,8782,8782,16,True,3,,,,True,,
63,django-trackstats,pennersr/django-trackstats,django-trackstats,[],statistics,https://github.com/pennersr/django-trackstats,https://github.com/pennersr/django-trackstats,2016-01-28 21:43:35,2022-11-23 10:11:37,2022-04-25 09:05:39,43.0,,32,12.0,10.0,3.0,8.0,372,,,,Keep track of your statistics.,22.0,22.0,6.0,https://pypi.org/project/django-trackstats,617,617,15,True,1,MIT,,,,,
64,django-cryptographic-fields,foundertherapy/django-cryptographic-fields,django-cryptographic-fields,[],encrpyted-fields,https://github.com/foundertherapy/django-cryptographic-fields,https://github.com/foundertherapy/django-cryptographic-fields,2015-04-29 22:49:48,2021-11-10 12:49:34,2016-09-27 23:25:27,34.0,,25,12.0,16.0,9.0,2.0,26,2016-09-23 16:28:37,0.5.0,3.0,A set of fields that wrap standard Django fields with encryption provided by the python cryptography library.,16.0,16.0,8.0,https://pypi.org/project/django-cryptographic-fields,2474,2474,15,False,3,MIT,,,,,
65,django-optimistic-lock,gavinwahl/django-optimistic-lock,django-optimistic-lock,[],concurrent-data-access,https://github.com/gavinwahl/django-optimistic-lock,https://github.com/gavinwahl/django-optimistic-lock,2013-04-08 02:27:12,2020-11-22 15:50:03,2019-01-02 20:50:21,44.0,,20,2.0,8.0,1.0,4.0,110,,,,Offline optimistic locking for Django.,12.0,12.0,4.0,https://pypi.org/project/django-optimistic-lock,3623,3623,12,True,3,BSD-2-Clause,,,,,
66,django-encrypted-model-fields,,django-encrypted-model-fields,[],encrpyted-fields,,https://gitlab.com/lansharkconsulting/django/django-encrypted-model-fields,2018-06-05 14:35:48,2018-06-05 14:35:48,,,,23,,,6.0,20.0,31,,,4.0,A set of fields that wrap standard Django fields with encryption provided by the python cryptography library.,,,,https://pypi.org/project/django-encrypted-model-fields,47067,47067,10,True,3,,,,,lansharkconsulting/django/django-encrypted-model-fields,https://gitlab.com/lansharkconsulting/django/django-encrypted-model-fields
67,django-fsm-freeze,ming-tung/django-fsm-freeze,django-fsm-freeze,[],finite-state-machine,https://github.com/ming-tung/django-fsm-freeze,https://github.com/ming-tung/django-fsm-freeze,2021-06-11 15:38:15,2022-12-22 19:04:37,2022-10-25 09:06:16,93.0,5.0,2,2.0,89.0,,4.0,4,2021-08-24 14:35:00,0.1.9,9.0,django-fsm data immutability support.,,,3.0,https://pypi.org/project/django-fsm-freeze,417,417,10,False,3,MIT,,,,,
68,django-address-model,agusmakmun/django-address-model,django-address-model,[],fields-addresses,https://github.com/agusmakmun/django-address-model,https://github.com/agusmakmun/django-address-model,2019-08-10 11:31:13,2020-11-18 09:48:51,2020-11-18 09:46:12,14.0,,3,2.0,1.0,2.0,,12,2020-11-18 09:49:40,1.0.4,1.0,"django abstract model that provide the complete address, eg: no, na/rt, ca/rw, village/desa, sub district/kecamatan,..",5.0,5.0,,https://pypi.org/project/django-address-model,97,97,8,False,3,MIT,,,,,
69,django-locking,debrouwere/django-locking,django-locking,[],concurrent-data-access,https://github.com/debrouwere/django-locking,https://github.com/debrouwere/django-locking,2010-06-01 20:20:54,2019-09-15 22:09:45,2012-02-15 16:11:21,21.0,,13,5.0,9.0,,,137,,,,"Prevents users from doing concurrent editing in Django. Works out of the box in the admin interface, or you can..",4.0,4.0,3.0,https://pypi.org/project/django-locking,16,16,7,False,3,,,,,,
70,django-searchable-encrypted-fields,,django-searchable-encrypted-fields,[],encrpyted-fields,,https://gitlab.com/guywillett/django-searchable-encrypted-fields,2019-04-09 15:14:16,2019-04-09 15:14:16,,,,2,,,4.0,14.0,7,,,4.0,,,,,https://pypi.org/project/django-searchable-encrypted-fields,27202,27202,6,False,3,,,,,guywillett/django-searchable-encrypted-fields,https://gitlab.com/guywillett/django-searchable-encrypted-fields
