,name,github_id,pypi_id,labels,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,license,trending,github_release_downloads,new_addition,gitlab_id,gitlab_url
28,django-phonenumber-field,stefanfoulis/django-phonenumber-field,django-phonenumber-field,[],others,https://github.com/stefanfoulis/django-phonenumber-field,https://github.com/stefanfoulis/django-phonenumber-field,2011-08-31 17:52:05,2022-12-06 08:06:55,2022-12-06 08:03:10,546.0,3.0,285,23.0,342.0,6.0,193.0,1311,2022-12-06 08:08:13,7.0.1,7.0,A django model and form field for normalised phone numbers using python-phonenumbers.,,,109.0,https://pypi.org/project/django-phonenumber-field,510715,510715,27,True,1,MIT,,6.0,,,
29,django-graphql-jwt,flavors/django-graphql-jwt,django-graphql-jwt,[],graphql-api,https://github.com/flavors/django-graphql-jwt,https://github.com/flavors/django-graphql-jwt,2017-11-05 15:29:56,2022-12-09 05:55:42,2021-08-11 20:56:04,541.0,,141,20.0,95.0,46.0,168.0,781,2021-08-11 20:57:06,0.3.4,26.0,JSON Web Token (JWT) authentication for Graphene Django.,3284.0,3284.0,23.0,https://pypi.org/project/django-graphql-jwt,100505,100505,27,True,3,MIT,,,,,
30,mezzanine,stephenmcd/mezzanine,mezzanine,[],cms-framework,https://github.com/stephenmcd/mezzanine,https://github.com/stephenmcd/mezzanine,2010-05-29 12:16:55,2022-11-02 08:25:54,2022-11-02 08:25:54,5304.0,1.0,1545,256.0,978.0,38.0,1008.0,4553,2022-05-12 12:48:08,6.0.0,9.0,CMS framework for Django.,,,326.0,https://pypi.org/project/mezzanine,2432,2432,26,True,3,BSD-2-Clause,,,,,
31,django-shop,awesto/django-shop,django-shop,[],ecommerce-framework,https://github.com/awesto/django-shop,https://github.com/awesto/django-shop,2010-11-19 11:15:48,2022-04-08 09:00:09,2021-02-28 18:04:57,5402.0,,944,171.0,500.0,84.0,292.0,2930,,,,A Django based shop system.,206.0,206.0,96.0,https://pypi.org/project/django-shop,6150,6150,26,True,3,BSD-3-Clause,,,,,
32,django-celery-beat,celery/django-celery-beat,django-celery-beat,[],task-queues,https://github.com/celery/django-celery-beat,https://github.com/celery/django-celery-beat,2016-08-03 22:34:19,2022-12-23 23:04:59,2022-12-19 18:10:04,335.0,26.0,360,47.0,237.0,62.0,285.0,1271,2022-10-19 13:41:57,2.4.0,13.0,Celery Periodic Tasks backed by the Django ORM.,,,103.0,https://pypi.org/project/django-celery-beat,715868,715868,26,True,3,,,,,,
33,django-cas-ng,django-cas-ng/django-cas-ng,django-cas-ng,[],authentication,https://github.com/django-cas-ng/django-cas-ng,https://github.com/django-cas-ng/django-cas-ng,2014-05-23 22:52:34,2022-11-18 17:19:04,2022-11-18 17:19:04,636.0,15.0,155,19.0,179.0,2.0,147.0,347,2022-01-09 02:06:44,4.3.0,26.0,"Django CAS 1.0/2.0/3.0 client authentication library, support Django 2.0, 2.1, 2.2, 3.0 and Python 3.5+.",379.0,379.0,83.0,https://pypi.org/project/django-cas-ng,13278,13282,26,True,3,MIT,,441.0,,,
34,strawberry-graphql-django,strawberry-graphql/strawberry-graphql-django,strawberry-graphql-django,[],graphql-api,https://github.com/strawberry-graphql/strawberry-graphql-django,https://github.com/strawberry-graphql/strawberry-graphql-django,2020-10-30 17:12:01,2022-12-26 06:49:15,2022-11-24 14:21:17,317.0,75.0,47,13.0,96.0,55.0,68.0,219,2022-11-16 22:56:41,0.8.2,14.0,Strawberry GraphQL Django extension.,119.0,119.0,38.0,https://pypi.org/project/strawberry-graphql-django,23716,23716,26,True,3,MIT,,,,,
35,factory_boy,FactoryBoy/factory_boy,factory_boy,[],testing,https://github.com/FactoryBoy/factory_boy,https://github.com/FactoryBoy/factory_boy,2011-05-11 08:26:59,2022-12-07 15:28:28,2022-12-07 15:28:28,958.0,12.0,349,41.0,460.0,160.0,375.0,3011,,,,A test fixtures replacement for Python.,,,126.0,https://pypi.org/project/factory_boy,2087911,2087911,25,True,1,MIT,,,,,
36,shuup,shuup/shuup,shuup,[],ecommerce-framework,https://github.com/shuup/shuup,https://github.com/shuup/shuup,2015-06-03 12:53:21,2022-12-08 08:17:15,2021-08-18 22:32:03,7104.0,,961,118.0,2190.0,142.0,291.0,1968,2021-08-17 18:55:57,2.14.3,100.0,E-Commerce Platform.,117.0,117.0,67.0,https://pypi.org/project/shuup,1181,1193,25,True,3,,,500.0,,,
37,pytest-django,pytest-dev/pytest-django,pytest-django,[],testing,https://github.com/pytest-dev/pytest-django,https://github.com/pytest-dev/pytest-django,2011-09-29 19:35:55,2022-12-16 15:48:27,2022-11-08 21:00:46,1191.0,4.0,301,36.0,551.0,135.0,354.0,1124,2021-12-07 14:56:42,4.5.2,19.0,A Django plugin for pytest.,,,137.0,https://pypi.org/project/pytest-django,1651658,1651658,25,True,1,,,,,,
38,django-configurations,jazzband/django-configurations,django-configurations,[],configuration,https://github.com/jazzband/django-configurations,https://github.com/jazzband/django-configurations,2012-07-21 13:56:20,2022-11-04 17:52:34,2022-11-04 17:52:34,476.0,1.0,125,20.0,166.0,38.0,141.0,952,2022-09-01 09:46:30,2.4,7.0,A helper for organizing Django project settings by relying on well established programming patterns.,2443.0,2443.0,63.0,https://pypi.org/project/django-configurations,87371,87371,25,True,3,BSD-3-Clause,,,,,
39,django-waffle,django-waffle/django-waffle,django-waffle,[],feature-flipper,https://github.com/django-waffle/django-waffle,https://github.com/django-waffle/django-waffle,2011-01-23 17:42:09,2022-12-02 00:48:17,2022-10-02 01:30:04,425.0,5.0,228,23.0,285.0,35.0,160.0,949,2022-08-30 17:26:52,3.0.0,22.0,A feature flipper for Django.,,,115.0,https://pypi.org/project/django-waffle,233613,233613,25,True,1,BSD-3-Clause,,,,,
40,django-split-settings,wemake-services/django-split-settings,django-split-settings,[],configuration,https://github.com/wemake-services/django-split-settings,https://github.com/wemake-services/django-split-settings,2013-05-17 06:04:30,2022-09-27 13:25:56,2022-09-27 12:51:22,456.0,,58,20.0,404.0,4.0,38.0,936,2022-09-27 12:54:00,1.2.0,6.0,Organize Django settings into multiple files and directories. Easily override and modify settings. Use wildcards and..,1282.0,1282.0,20.0,https://pypi.org/project/django-split-settings,74686,74686,25,True,3,BSD-3-Clause,1.0,,,,
41,django-test-migrations,wemake-services/django-test-migrations,django-test-migrations,[],testing,https://github.com/wemake-services/django-test-migrations,https://github.com/wemake-services/django-test-migrations,2019-11-21 14:10:42,2022-12-19 15:09:44,2022-12-19 15:09:44,342.0,20.0,24,9.0,277.0,8.0,46.0,381,2021-12-13 22:15:21,1.2.0,6.0,"Test django schema and data migrations, including migrations order and best practices.",315.0,315.0,17.0,https://pypi.org/project/django-test-migrations,65817,65817,25,True,1,MIT,,,,,
42,django-organizations,bennylope/django-organizations,django-organizations,[],authorization,https://github.com/bennylope/django-organizations,https://github.com/bennylope/django-organizations,2012-02-02 02:38:49,2022-12-13 21:31:27,2022-11-29 20:45:14,725.0,22.0,183,35.0,92.0,16.0,130.0,1051,2022-10-25 22:24:10,2.1.0,14.0,Multi-user accounts for Django projects.,,,46.0,https://pypi.org/project/django-organizations,23449,23449,24,True,3,BSD-2-Clause,,,,,
43,viewflow,viewflow/viewflow,viewflow,[],finite-state-machine,https://github.com/viewflow/viewflow,https://github.com/viewflow/viewflow,2013-09-10 10:16:35,2022-12-07 17:38:11,2022-12-02 13:29:47,858.0,1.0,365,105.0,86.0,23.0,253.0,2297,2017-05-29 17:10:27,1.0.0,2.0,Reusable workflow library for Django.,244.0,244.0,31.0,https://pypi.org/project/viewflow,42,42,23,True,2,AGPL-3.0,,,,,
44,django-address,furious-luke/django-address,django-address,[],fields-addresses,https://github.com/furious-luke/django-address,https://github.com/furious-luke/django-address,2011-04-16 01:58:58,2022-08-11 15:37:13,2022-05-05 01:23:36,216.0,,147,19.0,63.0,37.0,84.0,378,2022-05-06 20:00:17,0.2.8,7.0,A Django address model and field. Addresses may be specified by address components or by performing an automatic..,333.0,333.0,22.0,https://pypi.org/project/django-address,10505,10505,23,True,1,BSD-3-Clause,,,,,
45,django-fsm-log,jazzband/django-fsm-log,django-fsm-log,[],finite-state-machine,https://github.com/jazzband/django-fsm-log,https://github.com/jazzband/django-fsm-log,2013-10-30 03:15:55,2022-12-20 07:18:44,2022-12-20 07:18:40,298.0,8.0,66,8.0,107.0,9.0,31.0,201,2022-01-14 14:21:04,3.0.0,9.0,Automatic logging for Django FSM.,109.0,109.0,26.0,https://pypi.org/project/django-fsm-log,24236,24236,23,True,2,MIT,,,,,
46,django-easy-audit,soynatan/django-easy-audit,django-easy-audit,[],fields-versioning,https://github.com/soynatan/django-easy-audit,https://github.com/soynatan/django-easy-audit,2016-10-23 06:55:16,2022-12-02 20:21:07,2022-09-04 03:26:19,259.0,,134,16.0,119.0,56.0,68.0,509,2022-06-30 20:42:07,1.3.3,46.0,"Yet another Django audit log app, hopefully the simplest one.",163.0,163.0,41.0,https://pypi.org/project/django-easy-audit,29101,29101,22,True,3,GPL-3.0,,,True,,
47,model_bakery,model-bakers/model_bakery,model_bakery,[],testing,https://github.com/model-bakers/model_bakery,https://github.com/model-bakers/model_bakery,2019-10-08 12:49:08,2022-12-16 19:02:21,2022-12-12 13:40:57,269.0,28.0,72,12.0,258.0,20.0,93.0,626,2022-10-24 06:11:08,1.9.0,10.0,Object factory for Django.,,,42.0,https://pypi.org/project/model_bakery,272365,272365,21,True,3,,,,,,
