,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,trending,updated_github_id,github_release_downloads,new_addition,gitlab_id,gitlab_url
106,django-dirtyfields,romgar/django-dirtyfields,django-dirtyfields,[],fields-versioning,https://github.com/romgar/django-dirtyfields,https://github.com/romgar/django-dirtyfields,BSD-3-Clause,2010-09-09 06:54:09,2024-12-24 00:47:23,2024-11-09 05:15:47,634.0,7.0,96.0,11.0,162.0,12.0,60.0,635,,,,Tracking dirty fields on a Django model.,623.0,623.0,42.0,https://pypi.org/project/django-dirtyfields,241327.0,241327.0,23,True,3.0,,,,,,
107,django-restql,yezyilomo/django-restql,django-restql,[],restful-api-drf,https://github.com/yezyilomo/django-restql,https://github.com/yezyilomo/django-restql,MIT,2019-04-06 21:53:41,2024-12-31 08:48:23,2024-12-31 08:48:09,722.0,9.0,43.0,18.0,212.0,27.0,86.0,619,2024-01-25 14:10:50,0.15.4,44.0,Turn your API made with Django REST Framework(DRF) into a GraphQL like API.,303.0,303.0,7.0,https://pypi.org/project/django-restql,39529.0,39529.0,23,True,3.0,,,,,,
108,django-concurrency,saxix/django-concurrency,django-concurrency,[],locking,https://github.com/saxix/django-concurrency,https://github.com/saxix/django-concurrency,MIT,2012-03-20 01:05:04,2024-09-28 22:27:42,2024-09-28 22:27:25,698.0,,49.0,9.0,180.0,5.0,68.0,439,2022-03-04 14:07:54,2.4,2.0,Optimistic lock implementation for Django. Prevents users from doing concurrent editing.,198.0,198.0,25.0,https://pypi.org/project/django-concurrency,61431.0,61431.0,23,True,1.0,,,,,,
109,django-ninja-extra,eadwinCode/django-ninja-extra,django-ninja-extra,[],restful-api-ninja,https://github.com/eadwinCode/django-ninja-extra,https://github.com/eadwinCode/django-ninja-extra,MIT,2021-06-17 09:58:17,2025-01-26 20:25:40,2025-01-26 20:22:25,741.0,60.0,33.0,9.0,140.0,14.0,61.0,419,2025-01-26 20:24:46,0.22.3,48.0,Django Ninja Extra - Class-Based Utility and more for Django Ninja(Fast Django REST framework).,,,20.0,https://pypi.org/project/django-ninja-extra,98918.0,98918.0,23,True,2.0,,,,,,
110,django-authtools,fusionbox/django-authtools,django-authtools,[],custom-user,https://github.com/fusionbox/django-authtools,https://github.com/fusionbox/django-authtools,BSD-2-Clause,2013-05-20 23:19:33,2024-03-19 18:47:15,2024-03-19 18:47:10,248.0,,95.0,31.0,73.0,9.0,45.0,372,,,,A custom User model for everybody!.,995.0,995.0,31.0,https://pypi.org/project/django-authtools,11072.0,11072.0,23,True,1.0,,,,,,
111,django-mailbox,coddingtonbear/django-mailbox,django-mailbox,[],emails,https://github.com/coddingtonbear/django-mailbox,https://github.com/coddingtonbear/django-mailbox,MIT,2012-06-27 15:58:50,2025-01-11 12:47:24,2025-01-11 12:47:24,549.0,2.0,159.0,22.0,135.0,21.0,139.0,363,,,,"Import mail from POP3, IMAP, local email mailboxes or directly from Postfix or Exim4 into your Django application..",211.0,211.0,55.0,https://pypi.org/project/django-mailbox,9467.0,9467.0,23,True,3.0,,,,,,
112,django-loci,openwisp/django-loci,django-loci,[],fields-addresses,https://github.com/openwisp/django-loci,https://github.com/openwisp/django-loci,BSD-3-Clause,2017-11-12 15:46:45,2025-01-27 18:34:11,2025-01-27 18:29:49,291.0,14.0,43.0,10.0,108.0,2.0,39.0,182,2025-01-27 18:16:39,1.1.2,18.0,Reusable Django app for storing geographic and indoor coordinates. Maintained by the OpenWISP Project.,15.0,15.0,30.0,https://pypi.org/project/django-loci,1562.0,1562.0,23,True,2.0,,,,,,
113,wemake-django-template,wemake-services/wemake-django-template,,[],reusable-app-templates,https://github.com/wemake-services/wemake-django-template,https://github.com/wemake-services/wemake-django-template,MIT,2017-09-14 09:23:23,2025-01-20 17:08:26,2025-01-20 17:08:23,2624.0,77.0,215.0,35.0,2231.0,26.0,514.0,2036,2023-09-05 07:57:33,goodbye-3.9,3.0,Bleeding edge django template focused on code quality and security.,,,50.0,,,,22,True,1.0,,,,,,
114,django-getpaid,django-getpaid/django-getpaid,django-getpaid,[],payment-subscriptions,https://github.com/django-getpaid/django-getpaid,https://github.com/django-getpaid/django-getpaid,MIT,2012-07-15 15:11:34,2021-12-12 18:31:41,2021-12-12 18:31:33,405.0,,107.0,21.0,93.0,3.0,58.0,442,2020-04-19 09:05:46,2.0.0,6.0,Django payments processor.,49.0,49.0,30.0,https://pypi.org/project/django-getpaid,3859.0,3859.0,22,True,2.0,,,,,,
115,django-slack,lamby/django-slack,django-slack,[],messaging,https://github.com/lamby/django-slack,https://github.com/lamby/django-slack,BSD-3-Clause,2014-12-10 20:34:18,2024-05-10 15:34:04,2024-05-10 15:34:04,273.0,,55.0,8.0,54.0,9.0,54.0,242,,,,"Slack integration for Django, using the templating engine to generate messages.",426.0,426.0,29.0,https://pypi.org/project/django-slack,78601.0,78601.0,22,True,1.0,,,,,,
