,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,trending,github_release_downloads,updated_github_id,new_addition,gitlab_id,gitlab_url
115,django-fernet-fields,orcasgit/django-fernet-fields,django-fernet-fields,[],encrpyted-fields,https://github.com/orcasgit/django-fernet-fields,https://github.com/orcasgit/django-fernet-fields,BSD-3-Clause,2015-05-25 18:10:29,2023-09-19 14:33:58,2019-05-10 16:41:45,129.0,,63.0,6.0,21.0,9.0,7.0,190,,,,Fernet symmetric encryption for Django model fields.,680.0,680.0,9.0,https://pypi.org/project/django-fernet-fields,50368.0,50368.0,18,True,2,,,,,,
116,django-rich,adamchainz/django-rich,django-rich,[],management-commands,https://github.com/adamchainz/django-rich,https://github.com/adamchainz/django-rich,MIT,2021-11-25 12:48:29,2024-04-29 21:02:42,2024-04-29 21:02:41,233.0,24.0,10.0,5.0,186.0,5.0,3.0,113,,,,Extensions for using Rich with Django.,119.0,119.0,5.0,https://pypi.org/project/django-rich,53072.0,53072.0,18,True,3,,,,True,,
117,django-admin-numeric-filter,lukasvinclav/django-admin-numeric-filter,django-admin-numeric-filter,[],admin-interface-filters,https://github.com/lukasvinclav/django-admin-numeric-filter,https://github.com/lukasvinclav/django-admin-numeric-filter,MIT,2018-08-10 10:21:18,2023-02-16 07:53:41,2023-02-16 07:53:37,60.0,,31.0,4.0,16.0,4.0,14.0,77,2023-02-16 07:52:21,0.1.9,3.0,Numeric filters for Django admin.,185.0,185.0,14.0,https://pypi.org/project/django-admin-numeric-filter,19931.0,19931.0,18,True,1,,,,,,
118,pyngo,yezz123/pyngo,pyngo,[],pydantic-integration,https://github.com/yezz123/pyngo,https://github.com/yezz123/pyngo,MIT,2021-11-25 00:14:05,2024-04-30 19:49:57,2024-04-30 19:49:56,179.0,31.0,8.0,3.0,130.0,1.0,2.0,76,2024-01-21 22:09:18,2.0.1,10.0,Pydantic model support for Django & Django-Rest-Framework.,11.0,11.0,8.0,https://pypi.org/project/pyngo,4853.0,4853.0,18,True,3,,,,,,
119,django-phone-field,VeryApt/django-phone-field,django-phone-field,[],fields-phone-numbers,https://github.com/VeryApt/django-phone-field,https://github.com/VeryApt/django-phone-field,GPL-3.0,2018-02-22 21:40:32,2020-06-10 01:16:07,2020-06-10 01:10:54,35.0,,13.0,4.0,4.0,4.0,11.0,51,2020-06-10 01:16:07,1.8.1,8.0,Lightweight model and form field for phone numbers in Django.,3002.0,3002.0,4.0,https://pypi.org/project/django-phone-field,24650.0,24650.0,18,True,3,,,,,,
120,merchant,agiliq/merchant,merchant,[],payment-subscriptions,https://github.com/agiliq/merchant,https://github.com/agiliq/merchant,BSD-3-Clause,2010-09-29 11:30:58,2022-07-08 19:12:50,2015-07-08 05:29:26,684.0,,162.0,59.0,86.0,23.0,42.0,1021,,,4.0,A Django app to accept payments from various payment processors via Pluggable backends.,28.0,28.0,49.0,https://pypi.org/project/merchant,1.0,1.0,17,False,2,,,,,,
121,mixer,klen/mixer,mixer,[],example-data,https://github.com/klen/mixer,https://github.com/klen/mixer,,2013-05-19 13:49:50,2024-03-08 09:29:07,2022-03-23 14:37:36,860.0,,93.0,11.0,110.0,37.0,49.0,928,,,,"Mixer -- Is a fixtures replacement. Supported Django, Flask, SqlAlchemy and custom python objects.",,,43.0,https://pypi.org/project/mixer,117243.0,117243.0,17,True,3,,,,,,
122,django-oauth2-provider,caffeinehit/django-oauth2-provider,django-oauth2-provider,[],authentication-authorization,https://github.com/caffeinehit/django-oauth2-provider,https://github.com/caffeinehit/django-oauth2-provider,MIT,2012-01-18 17:05:36,2023-02-15 17:55:47,2023-02-03 07:57:29,208.0,,179.0,26.0,92.0,40.0,25.0,336,,,,Provide OAuth2 access to your app.,,,16.0,https://pypi.org/project/django-oauth2-provider,6223.0,6223.0,17,True,3,,,,,,
123,django-template-partials,carltongibson/django-template-partials,django-template-partials,[],templates,https://github.com/carltongibson/django-template-partials,https://github.com/carltongibson/django-template-partials,MIT,2023-05-17 18:22:35,2024-04-08 17:05:57,2024-04-08 17:05:57,40.0,9.0,14.0,19.0,23.0,5.0,14.0,331,,,,Reusable named inline partials for the Django Template Language.,85.0,85.0,12.0,https://pypi.org/project/django-template-partials,10011.0,10011.0,17,True,3,,,,,,
124,django-sendsms,stefanfoulis/django-sendsms,django-sendsms,[],messaging,https://github.com/stefanfoulis/django-sendsms,https://github.com/stefanfoulis/django-sendsms,MIT,2011-08-10 06:40:48,2024-01-28 06:18:00,2021-12-27 22:42:18,132.0,,94.0,14.0,38.0,5.0,19.0,257,,,,A simple API to send SMS messages. It is modeled after the django email api.,368.0,368.0,19.0,https://pypi.org/project/django-sendsms,3978.0,3978.0,17,True,2,,,,,,
