,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,trending,github_release_downloads,new_addition,updated_github_id,gitlab_id,gitlab_url
0,pydantic,pydantic/pydantic,pydantic,[],pydantic-integration,https://github.com/pydantic/pydantic,https://github.com/pydantic/pydantic,MIT,2017-05-03 21:23:58,2023-08-18 16:16:43,2023-08-18 16:11:01,2381.0,538.0,1323.0,97.0,2894.0,353.0,2603.0,15335,2023-08-18 16:12:27,2.2.1,100.0,Data validation using Python type hints.,239056.0,239056.0,398.0,https://pypi.org/project/pydantic,90673940.0,90673940.0,45,True,1,,,,,,
1,celery,celery/celery,celery,[],task-queues,https://github.com/celery/celery,https://github.com/celery/celery,,2009-04-24 11:31:24,2023-08-18 15:23:38,2023-08-17 17:32:58,12282.0,89.0,4348.0,481.0,3018.0,567.0,4331.0,22026,2023-06-18 14:18:25,5.3.1,42.0,Distributed Task Queue (development branch).,109172.0,109172.0,1299.0,https://pypi.org/project/celery,7364742.0,7364742.0,44,True,1,,,,,,
2,django-rest-framework,encode/django-rest-framework,django-rest-framework,[],restful-api-drf,https://github.com/encode/django-rest-framework,https://github.com/encode/django-rest-framework,,2011-03-02 17:13:56,2023-08-18 09:23:14,2023-08-17 10:21:03,8712.0,29.0,6442.0,617.0,4560.0,68.0,3766.0,26155,2022-11-08 10:37:57,3.14.0,17.0,Web APIs for Django.,548119.0,548119.0,1376.0,https://pypi.org/project/django-rest-framework,100330.0,100330.0,41,True,1,,,,,,
3,django-cms,django-cms/django-cms,django-cms,[],cms-framework,https://github.com/django-cms/django-cms,https://github.com/django-cms/django-cms,BSD-3-Clause,2009-03-05 10:14:18,2023-08-15 11:17:49,2023-08-08 18:53:33,16206.0,12.0,2865.0,405.0,4145.0,96.0,3342.0,9459,2023-06-21 19:24:02,3.8.2,9.0,The easy-to-use and developer-friendly enterprise CMS powered by Django.,4941.0,4941.0,629.0,https://pypi.org/project/django-cms,43660.0,43660.0,39,True,1,,,,,,
4,wagtail,wagtail/wagtail,wagtail,[],cms-framework,https://github.com/wagtail/wagtail,https://github.com/wagtail/wagtail,BSD-3-Clause,2014-02-03 12:41:59,2023-08-19 08:13:45,2023-08-18 18:10:01,15729.0,542.0,3201.0,336.0,6062.0,826.0,3668.0,15286,2023-08-14 14:32:51,5.1.1,100.0,A Django content management system focused on flexibility and user experience.,6.0,6.0,828.0,https://pypi.org/project/wagtail,162475.0,162475.0,37,True,3,,,,,,
5,rq,rq/rq,rq,[],task-queues,https://github.com/rq/rq,https://github.com/rq/rq,,2011-11-14 10:53:48,2023-08-17 07:01:01,2023-08-17 01:44:46,1795.0,27.0,1338.0,209.0,844.0,148.0,925.0,9061,2023-06-21 01:53:02,1.15.1,27.0,Simple job queues for Python.,14282.0,14282.0,298.0,https://pypi.org/project/rq,1034067.0,1034067.0,37,True,2,,,,,,
6,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,MIT,2015-09-24 09:18:18,2023-08-08 12:54:50,2023-07-26 07:43:40,1753.0,11.0,789.0,146.0,530.0,100.0,874.0,7755,2023-07-26 06:47:55,3.3.0,59.0,GraphQL framework for Python.,18466.0,18466.0,205.0,https://pypi.org/project/graphene,1785422.0,1785422.0,37,True,1,,,,,,
7,django-extensions,django-extensions/django-extensions,django-extensions,[],management-commands,https://github.com/django-extensions/django-extensions,https://github.com/django-extensions/django-extensions,MIT,2009-03-21 16:11:19,2023-06-05 17:10:32,2023-06-05 17:09:24,3620.0,9.0,1096.0,103.0,963.0,148.0,719.0,6185,2023-06-07 11:23:14,3.2.3,5.0,This is a repository for collecting global custom management extensions for the Django Framework.,184315.0,184315.0,573.0,https://pypi.org/project/django-extensions,2814265.0,2814265.0,37,True,1,-1.0,,,,,
8,django-simple-history,jazzband/django-simple-history,django-simple-history,[],fields-versioning,https://github.com/jazzband/django-simple-history,https://github.com/jazzband/django-simple-history,BSD-3-Clause,2011-03-06 22:42:19,2023-08-19 01:39:52,2023-08-18 16:22:48,1277.0,59.0,420.0,40.0,708.0,122.0,400.0,1922,2023-08-17 22:55:48,3.4.0,35.0,Store model history and view/revert changes from admin site.,4336.0,4336.0,175.0,https://pypi.org/project/django-simple-history,1070059.0,1070059.0,37,True,1,,,,,,
9,django-debug-toolbar,jazzband/django-debug-toolbar,django-debug-toolbar,[],debugging,https://github.com/jazzband/django-debug-toolbar,https://github.com/jazzband/django-debug-toolbar,BSD-3-Clause,2008-08-28 06:58:04,2023-08-18 22:05:28,2023-08-18 22:05:28,2529.0,30.0,892.0,109.0,966.0,69.0,788.0,7603,2023-08-11 01:35:07,4.2,15.0,A configurable set of panels that display various debug information about the current request/response.,75756.0,75756.0,274.0,https://pypi.org/project/django-debug-toolbar,2089115.0,2089116.0,36,True,1,-1.0,212.0,,,,
10,django-import-export,django-import-export/django-import-export,django-import-export,[],admin-interface-actions,https://github.com/django-import-export/django-import-export,https://github.com/django-import-export/django-import-export,BSD-2-Clause,2012-11-15 13:12:22,2023-08-19 11:20:18,2023-07-20 15:21:48,1348.0,3.0,708.0,66.0,674.0,86.0,829.0,2729,2023-04-12 18:09:24,3.2.0,11.0,Django application and library for importing and exporting data with admin integration.,68088.0,68088.0,200.0,https://pypi.org/project/django-import-export,866996.0,866996.0,36,True,1,,,,,,
11,django-oscar,django-oscar/django-oscar,django-oscar,[],ecommerce-framework,https://github.com/django-oscar/django-oscar,https://github.com/django-oscar/django-oscar,BSD-3-Clause,2010-12-08 21:30:32,2023-08-09 08:53:35,2023-07-14 11:53:30,8933.0,28.0,2049.0,268.0,2673.0,75.0,1388.0,5823,2022-12-23 15:54:06,3.2,5.0,Domain-driven e-commerce for Django.,1012.0,1012.0,349.0,https://pypi.org/project/django-oscar,13605.0,13605.0,35,True,1,-1.0,,,,,
12,django-environ,joke2k/django-environ,django-environ,[],configuration,https://github.com/joke2k/django-environ,https://github.com/joke2k/django-environ,MIT,2013-04-02 13:50:07,2023-07-17 17:03:28,2023-03-02 22:09:52,588.0,,295.0,36.0,254.0,58.0,168.0,2802,2023-03-02 22:11:27,0.10.0,16.0,Django-environ allows you to utilize 12factor inspired environment variables to configure your Django application.,177298.0,177298.0,84.0,https://pypi.org/project/django-environ,1444784.0,1444784.0,35,True,1,,15.0,,,,
13,django-allauth,pennersr/django-allauth,django-allauth,[],authentication-authorization,https://github.com/pennersr/django-allauth,https://github.com/pennersr/django-allauth,MIT,2010-10-10 20:10:52,2023-08-17 07:25:45,2023-08-17 07:25:18,2647.0,115.0,2716.0,186.0,1371.0,140.0,1860.0,8163,,,,"Integrated set of Django applications addressing authentication, registration, account management as well as 3rd party..",10.0,10.0,646.0,https://pypi.org/project/django-allauth,725501.0,725501.0,34,True,1,2.0,,,,,
14,graphene-django,graphql-python/graphene-django,graphene-django,[],graphql-api,https://github.com/graphql-python/graphene-django,https://github.com/graphql-python/graphene-django,MIT,2016-09-17 23:26:25,2023-08-16 10:00:52,2023-08-11 15:24:58,943.0,33.0,712.0,72.0,596.0,126.0,661.0,4123,2023-08-09 22:12:46,3.1.5,48.0,"Build powerful, efficient, and flexible GraphQL APIs with seamless Django integration.",13457.0,13457.0,213.0,https://pypi.org/project/graphene-django,427419.0,427419.0,34,True,2,,,,,,
15,django-phonenumber-field,stefanfoulis/django-phonenumber-field,django-phonenumber-field,[],fields-phone-numbers,https://github.com/stefanfoulis/django-phonenumber-field,https://github.com/stefanfoulis/django-phonenumber-field,MIT,2011-08-31 17:52:05,2023-08-09 16:09:05,2023-08-09 16:09:04,567.0,6.0,293.0,24.0,358.0,8.0,198.0,1401,2023-04-26 20:43:40,7.1.0,9.0,A django model and form field for normalised phone numbers using python-phonenumbers.,22069.0,22069.0,114.0,https://pypi.org/project/django-phonenumber-field,745445.0,745445.0,34,True,1,,13.0,,,,
