,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,github_release_downloads,trending,gitlab_id,gitlab_url
83,django-bootstrap5,zostera/django-bootstrap5,django-bootstrap5,[],mvt-css-framework-integration,https://github.com/zostera/django-bootstrap5,https://github.com/zostera/django-bootstrap5,BSD-3-Clause,2021-03-15 13:32:45,2023-03-29 14:17:24,2022-12-16 20:13:43,1264.0,,44.0,7.0,383.0,34.0,40.0,226.0,,,,Bootstrap 5 for Django.,,,143.0,https://pypi.org/project/django-bootstrap5,39851.0,39851.0,19,True,3,,,,
84,django-click,GaretJax/django-click,django-click,[],management-commands,https://github.com/GaretJax/django-click,https://github.com/GaretJax/django-click,MIT,2015-09-10 22:48:53,2022-03-17 20:00:04,2022-03-17 20:00:04,120.0,,16.0,7.0,22.0,9.0,8.0,217.0,2021-09-07 19:36:52,2.3.0,3.0,Write Django management command using the click CLI library.,228.0,228.0,11.0,https://pypi.org/project/django-click,49002.0,49002.0,19,True,3,,,,
85,django-concurrency,saxix/django-concurrency,django-concurrency,[],locking,https://github.com/saxix/django-concurrency,https://github.com/saxix/django-concurrency,MIT,2012-03-20 01:05:04,2022-08-04 10:49:36,2022-08-04 10:49:36,662.0,,47.0,9.0,176.0,6.0,61.0,405.0,2022-03-04 14:07:54,2.4,2.0,Optimistic lock implementation for Django. Prevents users from doing concurrent editing.,,,24.0,https://pypi.org/project/django-concurrency,31500.0,31500.0,18,True,1,,,,
86,django-fsm-admin,gadventures/django-fsm-admin,django-fsm-admin,[],finite-state-machine,https://github.com/gadventures/django-fsm-admin,https://github.com/gadventures/django-fsm-admin,,2014-03-12 04:43:00,2022-10-25 08:27:00,2022-10-25 08:26:59,123.0,,78.0,30.0,66.0,17.0,20.0,195.0,,,,Mixin and template tags to integrate django-fsm transitions into the django admin.,303.0,303.0,32.0,https://pypi.org/project/django-fsm-admin,54928.0,54928.0,18,True,3,,,,
87,django-loci,openwisp/django-loci,django-loci,[],fields-addresses,https://github.com/openwisp/django-loci,https://github.com/openwisp/django-loci,BSD-3-Clause,2017-11-12 15:46:45,2023-03-31 20:48:50,2023-03-29 14:29:13,249.0,2.0,36.0,12.0,73.0,3.0,37.0,173.0,2022-04-20 19:29:39,1.0.1,15.0,Reusable Django app for storing geographic and indoor coordinates. Maintained by the OpenWISP Project.,9.0,9.0,27.0,https://pypi.org/project/django-loci,558.0,558.0,18,True,3,,,,
88,django-ninja-extra,eadwinCode/django-ninja-extra,django-ninja-extra,[],restful-api-ninja,https://github.com/eadwinCode/django-ninja-extra,https://github.com/eadwinCode/django-ninja-extra,MIT,2021-06-17 09:58:17,2023-03-19 12:48:44,2023-03-19 12:14:27,396.0,22.0,10.0,6.0,37.0,4.0,14.0,127.0,2023-03-11 08:09:15,0.18.7,20.0,Django Ninja Extra - Class-Based Utility and more for Django Ninja(Fast Django REST framework).,,,7.0,https://pypi.org/project/django-ninja-extra,15037.0,15037.0,18,True,2,,,,
89,django-phone-field,VeryApt/django-phone-field,django-phone-field,[],fields-phone-numbers,https://github.com/VeryApt/django-phone-field,https://github.com/VeryApt/django-phone-field,GPL-3.0,2018-02-22 21:40:32,2020-06-10 01:16:07,2020-06-10 01:10:54,35.0,,14.0,4.0,4.0,3.0,11.0,48.0,2020-06-10 01:16:07,1.8.1,8.0,Lightweight model and form field for phone numbers in Django.,2568.0,2568.0,4.0,https://pypi.org/project/django-phone-field,17906.0,17906.0,18,True,3,,,,
90,mixer,klen/mixer,mixer,[],example-data,https://github.com/klen/mixer,https://github.com/klen/mixer,,2013-05-19 13:49:50,2023-03-27 04:58:32,2022-03-23 14:37:36,860.0,,89.0,11.0,105.0,35.0,49.0,884.0,,,,"Mixer -- Is a fixtures replacement. Supported Django, Flask, SqlAlchemy and custom python objects.",,,43.0,https://pypi.org/project/mixer,118882.0,118882.0,17,True,3,,,,
91,django-test-plus,revsys/django-test-plus,django-test-plus,[],testing,https://github.com/revsys/django-test-plus,https://github.com/revsys/django-test-plus,BSD-3-Clause,2015-05-23 16:08:52,2023-01-25 16:19:23,2023-01-25 16:19:21,465.0,9.0,55.0,11.0,146.0,6.0,44.0,564.0,,,,Useful additions to Djangos default TestCase.,,,31.0,https://pypi.org/project/django-test-plus,45805.0,45805.0,17,True,3,,,,
92,django-cryptography,georgemarshall/django-cryptography,django-cryptography,[],encrpyted-fields,https://github.com/georgemarshall/django-cryptography,https://github.com/georgemarshall/django-cryptography,BSD-3-Clause,2016-03-02 07:55:01,2022-11-07 16:53:42,2022-05-25 05:52:12,140.0,,54.0,15.0,24.0,34.0,32.0,310.0,2022-04-06 04:41:14,1.1,13.0,Easily encrypt data in Django.,,,3.0,https://pypi.org/project/django-cryptography,78954.0,78954.0,17,True,2,,,,
