,name,homepage,resource,labels,category,description,projectrank,show,github_id,pypi_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank_placing,trending,updated_github_id,github_release_downloads,new_addition,gitlab_id,gitlab_url
23,pytest-django,https://github.com/pytest-dev/pytest-django,,[],testing,A Django plugin for pytest.,37,True,pytest-dev/pytest-django,pytest-django,https://github.com/pytest-dev/pytest-django,,2011-09-29 19:35:55,2025-04-07 08:36:01,2025-04-07 08:36:01,1311.0,22.0,337.0,38.0,641.0,158.0,394.0,1440.0,2025-04-03 19:26:13,4.11.1,26.0,90097.0,90097.0,153.0,https://pypi.org/project/pytest-django,5622924.0,5622924.0,1.0,,,,,,
24,graphene,https://github.com/graphql-python/graphene,,[],graphql-api,GraphQL framework for Python.,36,True,graphql-python/graphene,graphene,https://github.com/graphql-python/graphene,MIT,2015-09-24 09:18:18,2024-11-09 20:43:58,2024-11-09 20:43:17,1787.0,,805.0,140.0,571.0,90.0,911.0,8171.0,2024-11-09 20:43:58,3.4.3,63.0,27681.0,27681.0,211.0,https://pypi.org/project/graphene,13814607.0,13814607.0,1.0,-1.0,,,,,
25,django-oscar,https://github.com/django-oscar/django-oscar,,[],ecommerce-framework,Domain-driven e-commerce for Django.,36,True,django-oscar/django-oscar,django-oscar,https://github.com/django-oscar/django-oscar,BSD-3-Clause,2010-12-08 21:30:32,2025-04-30 20:17:34,2025-04-24 09:08:30,9172.0,19.0,2198.0,271.0,2939.0,91.0,1418.0,6383.0,2025-04-23 09:32:56,4.0,11.0,1168.0,1168.0,374.0,https://pypi.org/project/django-oscar,26989.0,26989.0,1.0,,,,,,
26,structlog,https://github.com/hynek/structlog,,[],logging,"Simple, powerful, and fast logging for Python.",36,True,hynek/structlog,structlog,https://github.com/hynek/structlog,,2013-08-13 15:55:58,2025-04-25 15:52:53,2025-04-25 15:52:52,1700.0,18.0,242.0,33.0,354.0,34.0,332.0,3927.0,2025-04-25 15:59:56,25.3.0,19.0,19321.0,19321.0,130.0,https://pypi.org/project/structlog,25843671.0,25843671.0,2.0,,,,,,
27,django-environ,https://github.com/joke2k/django-environ,,[],configuration,Django-environ allows you to utilize 12factor inspired environment variables to configure your Django application.,36,True,joke2k/django-environ,django-environ,https://github.com/joke2k/django-environ,MIT,2013-04-02 13:50:07,2025-04-28 18:01:52,2025-01-13 15:27:06,678.0,,313.0,36.0,303.0,65.0,191.0,3078.0,2025-01-16 22:05:33,0.12.0,20.0,270022.0,270022.0,97.0,https://pypi.org/project/django-environ,3397623.0,3397624.0,1.0,1.0,,144.0,,,
28,django-storages,https://github.com/jschneier/django-storages,,[],storage,https://django-storages.readthedocs.io/.,36,True,jschneier/django-storages,django-storages,https://github.com/jschneier/django-storages,BSD-3-Clause,2014-12-09 00:37:09,2025-04-28 01:00:05,2025-04-28 01:00:05,1164.0,15.0,826.0,41.0,770.0,109.0,627.0,2840.0,,,,213662.0,213662.0,281.0,https://pypi.org/project/django-storages,4969183.0,4969183.0,1.0,,,,,,
29,django-simple-history,https://github.com/jazzband/django-simple-history,,[],fields-versioning,Store model history and view/revert changes from admin site.,36,True,jazzband/django-simple-history,django-simple-history,https://github.com/jazzband/django-simple-history,BSD-3-Clause,2011-03-06 22:42:19,2025-04-30 17:28:23,2025-04-16 13:22:22,1412.0,14.0,468.0,43.0,869.0,147.0,462.0,2318.0,2025-01-26 23:57:27,3.9.0,40.0,6636.0,6636.0,187.0,https://pypi.org/project/django-simple-history,1412769.0,1412769.0,1.0,,,,,,
30,django-stubs,https://github.com/typeddjango/django-stubs,,[],type-stubs,PEP-484 stubs for Django.,36,True,typeddjango/django-stubs,django-stubs,https://github.com/typeddjango/django-stubs,MIT,2018-07-29 17:08:50,2025-04-30 05:46:37,2025-04-30 05:46:37,2039.0,125.0,402.0,17.0,1847.0,159.0,622.0,1725.0,2025-04-26 10:48:12,5.2.0,60.0,12839.0,12839.0,301.0,https://pypi.org/project/django-stubs,3098143.0,3098143.0,1.0,,,,,,
31,JumpServer (Community Edition),https://github.com/jumpserver/jumpserver,,[],pam-framework,JumpServer is an open-source Privileged Access Management (PAM) tool that provides DevOps and IT teams with on-demand..,35,True,jumpserver/jumpserver,,https://github.com/jumpserver/jumpserver,GPL-3.0,2014-07-04 03:54:59,2025-04-30 09:21:41,2025-04-30 03:13:34,12255.0,321.0,5378.0,661.0,8192.0,59.0,7008.0,27484.0,2025-04-17 15:00:27,4.9.0,100.0,21.0,21.0,172.0,,,2997.0,1.0,,,95906.0,,,
32,ariadne,https://github.com/mirumee/ariadne,,[],graphql-api,Python library for implementing GraphQL servers using schema-first approach.,35,True,mirumee/ariadne,ariadne,https://github.com/mirumee/ariadne,BSD-3-Clause,2018-07-09 09:46:17,2025-04-18 07:41:34,2025-04-18 07:38:22,1998.0,92.0,186.0,39.0,686.0,36.0,289.0,2270.0,2025-04-18 08:27:47,0.26.2,51.0,1881.0,1881.0,84.0,https://pypi.org/project/ariadne,627981.0,627981.0,2.0,,,47.0,,,
33,django-phonenumber-field,https://github.com/stefanfoulis/django-phonenumber-field,,[],fields-phone-numbers,A django model and form field for normalised phone numbers using python-phonenumbers.,35,True,stefanfoulis/django-phonenumber-field,django-phonenumber-field,https://github.com/stefanfoulis/django-phonenumber-field,MIT,2011-08-31 17:52:05,2025-04-10 15:46:24,2025-04-10 08:12:54,620.0,16.0,300.0,21.0,401.0,6.0,223.0,1516.0,2025-04-10 16:07:51,8.1.0,13.0,30907.0,30907.0,114.0,https://pypi.org/project/django-phonenumber-field,1665138.0,1665138.0,1.0,1.0,,33.0,,,
34,graphene-django,https://github.com/graphql-python/graphene-django,,[],graphql-api,"Build powerful, efficient, and flexible GraphQL APIs with seamless Django integration.",34,True,graphql-python/graphene-django,graphene-django,https://github.com/graphql-python/graphene-django,MIT,2016-09-17 23:26:25,2025-04-30 04:30:17,2025-03-13 08:29:45,972.0,3.0,737.0,67.0,640.0,145.0,683.0,4355.0,2025-03-13 08:30:22,3.2.3,53.0,15904.0,15904.0,225.0,https://pypi.org/project/graphene-django,627376.0,627376.0,2.0,,,,,,
35,DefectDojo,https://github.com/DefectDojo/django-DefectDojo,,[],security-framework,"DevSecOps, ASPM, Vulnerability Management. All on one platform.",34,True,DefectDojo/django-DefectDojo,,https://github.com/DefectDojo/django-DefectDojo,BSD-3-Clause,2015-02-19 17:53:47,2025-04-30 23:37:34,2025-04-28 15:13:28,11994.0,460.0,1607.0,207.0,9132.0,342.0,2629.0,3980.0,2025-04-28 15:24:37,2.45.3,100.0,,,504.0,,,19837.0,1.0,,,396743.0,,,
36,whitenoise,https://github.com/evansd/whitenoise,,[],static-file-serving,Radically simplified static file serving for Python web apps.,34,True,evansd/whitenoise,whitenoise,https://github.com/evansd/whitenoise,MIT,2013-08-08 11:02:06,2025-04-11 15:13:04,2025-04-11 15:13:03,873.0,12.0,147.0,25.0,391.0,25.0,221.0,2625.0,,,,510920.0,510920.0,69.0,https://pypi.org/project/whitenoise,3909148.0,3909148.0,1.0,,,,,,
37,saleor,https://github.com/saleor/saleor,,[],ecommerce-framework,"Saleor Core: the high performance, composable, headless commerce API.",33,True,saleor/saleor,saleor,https://github.com/saleor/saleor,BSD-3-Clause,2013-02-12 16:46:39,2025-04-30 17:41:24,2025-04-30 12:13:50,21879.0,146.0,5539.0,372.0,11914.0,176.0,4178.0,21479.0,2025-04-07 12:19:20,3.20.82,100.0,7.0,7.0,304.0,https://pypi.org/project/saleor,70.0,153.0,2.0,,,671.0,,,
38,transitions,https://github.com/pytransitions/transitions,,[],finite-state-machine,"A lightweight, object-oriented finite state machine implementation in Python with many extensions.",33,True,pytransitions/transitions,transitions,https://github.com/pytransitions/transitions,MIT,2014-10-12 20:59:09,2025-03-25 12:53:59,2025-03-25 12:53:59,1107.0,7.0,527.0,98.0,193.0,7.0,436.0,6014.0,2024-08-06 13:42:45,0.9.2,32.0,3986.0,3986.0,78.0,https://pypi.org/project/transitions,911517.0,911517.0,1.0,,,,,,
39,FastStream,https://github.com/ag2ai/faststream,,[],event-streaming,FastStream is a powerful and easy-to-use Python framework for building asynchronous services interacting with event..,33,True,ag2ai/faststream,faststream,https://github.com/ag2ai/faststream,Apache-2.0,2022-12-01 09:46:18,2025-04-28 14:15:41,2025-04-28 13:54:46,1168.0,69.0,223.0,25.0,1266.0,84.0,649.0,3866.0,2025-04-10 07:40:49,0.5.39,88.0,623.0,623.0,89.0,https://pypi.org/project/faststream,296688.0,296688.0,1.0,,,,,,
40,django-oauth-toolkit,https://github.com/jazzband/django-oauth-toolkit,,[],authentication-authorization,OAuth2 goodies for the Djangonauts!.,33,True,jazzband/django-oauth-toolkit,django-oauth-toolkit,https://github.com/jazzband/django-oauth-toolkit,,2013-05-20 15:46:18,2025-04-28 17:43:20,2025-04-28 17:43:15,1430.0,14.0,763.0,66.0,695.0,183.0,684.0,3235.0,2024-09-07 14:10:46,3.0.1,29.0,11197.0,11197.0,267.0,https://pypi.org/project/django-oauth-toolkit,949534.0,949534.0,1.0,,,,,,
41,django-reversion,https://github.com/etianen/django-reversion,,[],fields-versioning,django-reversion is an extension to the Django web framework that provides version control for model instances.,33,True,etianen/django-reversion,django-reversion,https://github.com/etianen/django-reversion,BSD-3-Clause,2010-05-31 15:32:25,2024-08-09 21:29:48,2024-08-09 21:29:45,1546.0,,459.0,55.0,319.0,18.0,635.0,3094.0,2024-08-09 21:30:11,5.1.0,17.0,7743.0,7743.0,193.0,https://pypi.org/project/django-reversion,687097.0,687097.0,2.0,,,,,,
42,logfire,https://github.com/pydantic/logfire,,[],apm,Uncomplicated Observability for Python and beyond!.,33,True,pydantic/logfire,logfire,https://github.com/pydantic/logfire,MIT,2024-04-23 11:50:23,2025-04-30 14:46:55,2025-04-29 13:17:16,1217.0,123.0,112.0,14.0,712.0,111.0,215.0,3057.0,2025-04-24 11:17:52,3.14.1,94.0,1259.0,1259.0,53.0,https://pypi.org/project/logfire,468753.0,468753.0,1.0,,,,,,
43,django-admin-interface,https://github.com/fabiocaccamo/django-admin-interface,,[],admin-interface,"djangos default admin interface with superpowers - customizable themes, popup windows replaced by modals and many..",33,True,fabiocaccamo/django-admin-interface,django-admin-interface,https://github.com/fabiocaccamo/django-admin-interface,MIT,2015-10-26 14:46:36,2025-05-01 00:13:01,2025-04-30 08:46:03,941.0,14.0,172.0,32.0,205.0,12.0,200.0,1924.0,2025-04-03 13:31:31,0.30.0,69.0,5047.0,5047.0,40.0,https://pypi.org/project/django-admin-interface,177045.0,177045.0,1.0,,,,,,
44,django-rq,https://github.com/rq/django-rq,,[],task-queues,A simple app that provides django integration for RQ (Redis Queue).,33,True,rq/django-rq,django-rq,https://github.com/rq/django-rq,MIT,2012-05-15 10:21:58,2025-04-28 07:29:47,2025-04-28 07:27:37,666.0,10.0,284.0,25.0,337.0,100.0,267.0,1875.0,2025-04-28 07:20:33,3.0.1,15.0,4062.0,4062.0,132.0,https://pypi.org/project/django-rq,386281.0,386281.0,2.0,,,,,,
45,django-celery-beat,https://github.com/celery/django-celery-beat,,[],task-queues,Celery Periodic Tasks backed by the Django ORM.,33,True,celery/django-celery-beat,django-celery-beat,https://github.com/celery/django-celery-beat,,2016-08-03 22:34:19,2025-04-28 16:47:02,2025-04-28 16:47:00,473.0,24.0,437.0,44.0,391.0,100.0,333.0,1795.0,2025-04-16 07:16:05,2.8.0,17.0,27116.0,27116.0,135.0,https://pypi.org/project/django-celery-beat,2482598.0,2482598.0,2.0,8.0,,4.0,,,
46,dj-database-url,https://github.com/jazzband/dj-database-url,,[],configuration,Use Database URLs in your Django Application.,33,True,jazzband/dj-database-url,dj-database-url,https://github.com/jazzband/dj-database-url,BSD-3-Clause,2012-04-30 17:20:23,2025-04-30 13:13:44,2025-04-30 13:13:38,318.0,7.0,199.0,32.0,165.0,4.0,94.0,1508.0,2024-10-23 10:01:03,2.3.0,8.0,304495.0,304495.0,73.0,https://pypi.org/project/dj-database-url,2169078.0,2169078.0,2.0,,,,,,
47,django-auditlog,https://github.com/jazzband/django-auditlog,,[],fields-versioning,A Django app that keeps a log of changes made to an object.,33,True,jazzband/django-auditlog,django-auditlog,https://github.com/jazzband/django-auditlog,MIT,2013-10-20 12:10:40,2025-04-30 09:20:28,2025-04-30 09:20:27,554.0,14.0,382.0,24.0,419.0,75.0,225.0,1228.0,2025-04-26 11:05:08,3.1.0,20.0,1499.0,1499.0,91.0,https://pypi.org/project/django-auditlog,461893.0,461896.0,2.0,,,505.0,,,
48,Paperless-ngx,https://github.com/paperless-ngx/paperless-ngx,,[],document-management-framework,"A community-supported supercharged version of paperless: scan, index and archive all your physical documents.",32,True,paperless-ngx/paperless-ngx,,https://github.com/paperless-ngx/paperless-ngx,GPL-3.0,2022-02-12 21:56:52,2025-04-30 20:03:36,2025-04-30 08:48:02,10155.0,274.0,1567.0,121.0,2957.0,,1961.0,27008.0,2025-04-19 23:02:17,2.15.3,100.0,,,397.0,,,5398.0,1.0,,,161969.0,,,
49,netbox,https://github.com/netbox-community/netbox,,[],network-automation-system,The premier source of truth powering network automation. Open source under Apache 2. Try NetBox Cloud free:..,32,True,netbox-community/netbox,,https://github.com/netbox-community/netbox,Apache-2.0,2016-02-29 14:15:46,2025-04-30 18:32:46,2025-04-30 18:31:30,13754.0,277.0,2666.0,411.0,3675.0,313.0,10793.0,17428.0,2025-04-30 18:32:46,4.2.9,100.0,,,401.0,,,,1.0,,,,,,
50,Garden,https://github.com/garden-io/garden,,[],others,"Automation for Kubernetes development and testing. Spin up production-like environments for development, testing, and..",32,True,garden-io/garden,,https://github.com/garden-io/garden,MPL-2.0,2017-12-03 02:10:59,2025-04-30 17:45:17,2025-04-29 16:59:04,7530.0,289.0,281.0,38.0,5525.0,204.0,1452.0,3483.0,2025-04-25 12:31:05,0.14.3,100.0,3.0,3.0,117.0,,,110453.0,1.0,,,3203147.0,True,,
51,social-app-django,https://github.com/python-social-auth/social-app-django,,[],authentication-authorization,Python Social Auth - Application - Django.,32,True,python-social-auth/social-app-django,social-app-django,https://github.com/python-social-auth/social-app-django,BSD-3-Clause,2016-09-24 18:06:40,2025-04-30 06:53:08,2025-04-30 06:52:24,2492.0,56.0,374.0,31.0,366.0,72.0,208.0,2081.0,2025-02-13 13:07:15,5.4.3,8.0,50499.0,50499.0,333.0,https://pypi.org/project/social-app-django,,,2.0,,,,,,
52,django-anymail,https://github.com/anymail/django-anymail,,[],emails,"Django email backends and webhooks for Amazon SES, Brevo (Sendinblue), MailerSend, Mailgun, Mailjet, Postmark, Postal,..",32,True,anymail/django-anymail,django-anymail,https://github.com/anymail/django-anymail,BSD-3-Clause,2016-03-10 02:55:09,2025-04-03 21:11:32,2025-04-03 21:11:26,930.0,12.0,133.0,22.0,165.0,4.0,229.0,1761.0,2025-04-03 21:03:40,13.0,61.0,7505.0,7505.0,67.0,https://pypi.org/project/django-anymail,846909.0,846910.0,1.0,,,168.0,,,
53,django-jazzmin,https://github.com/farridav/django-jazzmin,,[],admin-interface,Jazzy theme for Django.,32,True,farridav/django-jazzmin,django-jazzmin,https://github.com/farridav/django-jazzmin,MIT,2020-05-11 19:50:44,2025-03-06 04:29:43,2025-01-11 13:37:30,1132.0,,293.0,37.0,325.0,121.0,168.0,1734.0,2024-10-08 17:40:29,3.0.1,32.0,16353.0,16353.0,76.0,https://pypi.org/project/django-jazzmin,252080.0,252080.0,2.0,,,,,,
54,django-bootstrap4,https://github.com/zostera/django-bootstrap4,,[],mvt-bootstrap-css-framework-integration,Bootstrap 4 integration with Django.,32,True,zostera/django-bootstrap4,django-bootstrap4,https://github.com/zostera/django-bootstrap4,BSD-3-Clause,2017-04-25 15:55:15,2025-03-17 09:38:40,2025-03-01 14:05:53,1278.0,3.0,215.0,36.0,648.0,17.0,144.0,1028.0,2021-05-20 08:44:02,3.0.1,2.0,186917.0,186917.0,139.0,https://pypi.org/project/django-bootstrap4,179272.0,179272.0,1.0,,,,,,
55,django-ninja,https://github.com/vitalik/django-ninja,,[],restful-api-ninja,"Fast, Async-ready, Openapi, type hints based framework for building APIs.",31,True,vitalik/django-ninja,django-ninja,https://github.com/vitalik/django-ninja,MIT,2020-05-19 08:48:53,2025-04-20 15:39:06,2025-04-20 15:39:06,1312.0,56.0,482.0,71.0,398.0,328.0,575.0,8053.0,2025-04-08 18:27:43,1.4.1,46.0,,,162.0,https://pypi.org/project/django-ninja,777424.0,777424.0,1.0,,,,,,
56,dramatiq,https://github.com/Bogdanp/dramatiq,,[],task-queues,A fast and reliable background task processing library for Python 3.,31,True,Bogdanp/dramatiq,dramatiq,https://github.com/Bogdanp/dramatiq,LGPL-3.0,2017-05-30 11:55:29,2025-04-28 04:01:43,2025-04-28 04:01:37,1136.0,25.0,324.0,58.0,301.0,59.0,342.0,4590.0,2024-10-26 05:08:38,1.17.1,27.0,1408.0,1408.0,119.0,https://pypi.org/project/dramatiq,314547.0,314547.0,3.0,,,54.0,,,
57,django-guardian,https://github.com/django-guardian/django-guardian,,[],authentication-authorization,Per object permissions for Django.,31,True,django-guardian/django-guardian,django-guardian,https://github.com/django-guardian/django-guardian,,2010-06-04 23:15:37,2025-02-02 10:22:34,2025-02-02 10:22:33,1174.0,2.0,551.0,77.0,375.0,116.0,353.0,3717.0,2025-01-24 09:03:29,2.0.0,6.0,7381.0,7381.0,171.0,https://pypi.org/project/django-guardian,511731.0,511731.0,2.0,-3.0,,,,,
58,django-bootstrap3,https://github.com/zostera/django-bootstrap3,,[],mvt-bootstrap-css-framework-integration,Bootstrap 3 integration with Django.,31,True,zostera/django-bootstrap3,django-bootstrap3,https://github.com/zostera/django-bootstrap3,BSD-3-Clause,2013-08-13 13:48:04,2025-04-30 05:33:35,2025-04-30 05:33:33,1158.0,9.0,670.0,102.0,772.0,,297.0,2336.0,,,,19382.0,19382.0,100.0,https://pypi.org/project/django-bootstrap3,122228.0,122228.0,2.0,,,,,,
59,django-two-factor-auth,https://github.com/jazzband/django-two-factor-auth,,[],authentication-authorization,Complete Two-Factor Authentication for Django providing the easiest integration into most Django projects.,31,True,jazzband/django-two-factor-auth,django-two-factor-auth,https://github.com/jazzband/django-two-factor-auth,MIT,2012-09-11 13:25:14,2025-04-28 17:17:03,2025-04-19 10:33:02,864.0,37.0,429.0,37.0,380.0,85.0,293.0,1778.0,2023-04-05 21:44:13,1.15.1,34.0,2112.0,2112.0,109.0,https://pypi.org/project/django-two-factor-auth,390902.0,390902.0,2.0,-1.0,,,,,
60,django-constance,https://github.com/jazzband/django-constance,,[],configuration,Dynamic Django settings.,31,True,jazzband/django-constance,django-constance,https://github.com/jazzband/django-constance,BSD-3-Clause,2010-09-20 12:42:29,2025-02-06 10:27:44,2025-02-04 21:11:22,708.0,5.0,294.0,33.0,311.0,18.0,288.0,1768.0,2025-02-06 10:27:44,4.3.2,14.0,2309.0,2309.0,150.0,https://pypi.org/project/django-constance,373673.0,373673.0,2.0,-1.0,,,,,
61,dj-stripe,https://github.com/dj-stripe/dj-stripe,,[],payment-subscriptions,dj-stripe automatically syncs your Stripe Data to your local database as pre-implemented Django Models allowing you to..,31,True,dj-stripe/dj-stripe,dj-stripe,https://github.com/dj-stripe/dj-stripe,MIT,2013-08-05 15:31:30,2025-04-30 15:28:18,2025-03-27 18:55:08,3335.0,1.0,482.0,30.0,1037.0,68.0,964.0,1702.0,2025-01-12 16:54:39,2.9.0,71.0,1191.0,1191.0,130.0,https://pypi.org/project/dj-stripe,119295.0,119295.0,1.0,,,,,,
