,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,updated_github_id,github_release_downloads,trending,new_addition,gitlab_id,gitlab_url
0,pydantic,pydantic/pydantic,pydantic,[],pydantic-integration,https://github.com/pydantic/pydantic,https://github.com/pydantic/pydantic,MIT,2017-05-03 21:23:58,2025-03-27 10:02:33,2025-03-26 22:02:21,3532.0,140.0,2030.0,130.0,4378.0,453.0,4545.0,23028.0,2025-01-24 01:32:59,2.10.6,100.0,Data validation using Python type hints.,723849.0,723849.0,610.0,https://pypi.org/project/pydantic,302559261.0,302559261.0,46,True,1.0,,,,,,
1,celery,celery/celery,celery,[],task-queues,https://github.com/celery/celery,https://github.com/celery/celery,,2009-04-24 11:31:24,2025-03-27 05:09:30,2025-03-27 05:09:30,12805.0,62.0,4611.0,468.0,3535.0,668.0,4433.0,25919.0,2024-04-17 20:32:41,5.4.0,57.0,Distributed Task Queue (development branch).,164280.0,164280.0,1406.0,https://pypi.org/project/celery,15762986.0,15762986.0,43,True,1.0,,,,,,
2,wagtail,wagtail/wagtail,wagtail,[],cms-framework,https://github.com/wagtail/wagtail,https://github.com/wagtail/wagtail,BSD-3-Clause,2014-02-03 12:41:59,2025-03-27 07:00:15,2025-03-27 06:57:02,18633.0,314.0,3984.0,338.0,7351.0,873.0,4364.0,18964.0,2025-02-21 16:27:54,6.4.1,100.0,A Django content management system focused on flexibility and user experience.,11319.0,11319.0,979.0,https://pypi.org/project/wagtail,310776.0,310776.0,42,True,1.0,,,,,,
3,django-cms,django-cms/django-cms,django-cms,[],cms-framework,https://github.com/django-cms/django-cms,https://github.com/django-cms/django-cms,BSD-3-Clause,2009-03-05 10:14:18,2025-03-27 11:44:54,2025-03-27 11:44:54,16256.0,56.0,3078.0,395.0,4519.0,76.0,3503.0,10395.0,2024-11-13 07:54:35,4.1.4,23.0,The easy-to-use and developer-friendly enterprise CMS powered by Django.,5408.0,5408.0,581.0,https://pypi.org/project/django-cms,93449.0,93449.0,41,True,3.0,,,,,,
4,django-debug-toolbar,jazzband/django-debug-toolbar,django-debug-toolbar,[],debugging,https://github.com/django-commons/django-debug-toolbar,https://github.com/django-commons/django-debug-toolbar,BSD-3-Clause,2008-08-28 06:58:04,2025-03-25 06:38:44,2025-03-25 06:38:41,2737.0,46.0,944.0,112.0,1156.0,69.0,879.0,8196.0,2025-03-20 16:17:37,5.1.0,27.0,A configurable set of panels that display various debug information about the current request/response.,101014.0,101014.0,308.0,https://pypi.org/project/django-debug-toolbar,3514514.0,3514515.0,41,True,1.0,django-commons/django-debug-toolbar,249.0,,,,
5,django-allauth,pennersr/django-allauth,django-allauth,[],authentication-authorization,https://github.com/pennersr/django-allauth,https://github.com/pennersr/django-allauth,MIT,2010-10-10 20:10:52,2025-03-27 14:04:14,2025-03-27 13:58:11,3701.0,116.0,2982.0,200.0,1624.0,1.0,2392.0,9841.0,,,,"Integrated set of Django applications addressing authentication, registration, account management as well as 3rd party..",252950.0,252950.0,757.0,https://pypi.org/project/django-allauth,1180869.0,1180869.0,40,True,1.0,,,,,,
6,sentry,getsentry/sentry,,[],monitoring-framework,https://github.com/getsentry/sentry,https://github.com/getsentry/sentry,,2010-08-30 22:06:41,2025-03-27 14:59:41,2025-03-27 14:46:12,81925.0,4454.0,4238.0,687.0,71848.0,2127.0,12785.0,40392.0,2025-03-17 17:13:24,25.3.0,100.0,Developer-first error tracking and performance monitoring.,533.0,533.0,909.0,,,443.0,39,True,1.0,,39028.0,,,,
7,django-rest-framework,encode/django-rest-framework,django-rest-framework,[],restful-api-drf,https://github.com/encode/django-rest-framework,https://github.com/encode/django-rest-framework,,2011-03-02 17:13:56,2025-03-25 20:09:42,2025-03-25 20:09:42,8847.0,17.0,6777.0,630.0,4766.0,,,28958.0,2024-12-28 10:24:43,3.15.2,19.0,Web APIs for Django.,797552.0,797552.0,1428.0,https://pypi.org/project/django-rest-framework,119008.0,119008.0,39,True,1.0,,,,,,
8,loguru,Delgan/loguru,loguru,[],logging,https://github.com/Delgan/loguru,https://github.com/Delgan/loguru,MIT,2017-08-15 17:22:32,2025-03-01 20:21:06,2025-03-01 20:19:59,942.0,44.0,718.0,142.0,240.0,211.0,869.0,21213.0,2024-12-06 11:25:42,0.7.3,22.0,Python logging made (stupidly) simple.,122322.0,122322.0,66.0,https://pypi.org/project/loguru,18985982.0,18985982.0,39,True,1.0,,,,,,
9,django-extensions,django-extensions/django-extensions,django-extensions,[],management-commands,https://github.com/django-extensions/django-extensions,https://github.com/django-extensions/django-extensions,MIT,2009-03-21 16:11:19,2025-01-17 19:34:21,2025-01-17 19:34:21,3630.0,3.0,1130.0,101.0,1006.0,180.0,730.0,6661.0,2023-06-07 11:23:14,3.2.3,5.0,This is a repository for collecting global custom management extensions for the Django Framework.,250983.0,250983.0,579.0,https://pypi.org/project/django-extensions,4743905.0,4743905.0,38,True,1.0,,,,,,
10,django-import-export,django-import-export/django-import-export,django-import-export,[],admin-interface-actions,https://github.com/django-import-export/django-import-export,https://github.com/django-import-export/django-import-export,BSD-2-Clause,2012-11-15 13:12:22,2025-03-17 19:47:17,2025-03-17 19:47:17,1575.0,18.0,763.0,61.0,918.0,20.0,1080.0,3164.0,2025-02-25 12:37:54,4.3.7,52.0,Django application and library for importing and exporting data with admin integration.,117436.0,117436.0,232.0,https://pypi.org/project/django-import-export,1395482.0,1395482.0,38,True,1.0,,,,,,
11,rq,rq/rq,rq,[],task-queues,https://github.com/rq/rq,https://github.com/rq/rq,,2011-11-14 10:53:48,2025-03-25 19:49:32,2025-03-22 02:23:26,1930.0,19.0,1409.0,204.0,968.0,212.0,976.0,10086.0,2025-03-22 02:34:39,2.2,33.0,Simple job queues for Python.,19238.0,19238.0,334.0,https://pypi.org/project/rq,1877418.0,1877418.0,37,True,2.0,,,,,,
12,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,MIT,2015-09-24 09:18:18,2024-11-09 20:43:58,2024-11-09 20:43:17,1787.0,,805.0,140.0,571.0,91.0,910.0,8157.0,2024-11-09 20:43:58,3.4.3,63.0,GraphQL framework for Python.,26880.0,26880.0,211.0,https://pypi.org/project/graphene,12684862.0,12684862.0,37,True,1.0,,,,,,
13,structlog,hynek/structlog,structlog,[],logging,https://github.com/hynek/structlog,https://github.com/hynek/structlog,,2013-08-13 15:55:58,2025-03-11 17:34:27,2025-03-11 17:34:25,1694.0,44.0,239.0,33.0,351.0,34.0,328.0,3856.0,2025-03-11 17:40:25,25.2.0,18.0,"Simple, powerful, and fast logging for Python.",18044.0,18044.0,129.0,https://pypi.org/project/structlog,26810676.0,26810676.0,37,True,2.0,,,2.0,,,
14,pytest-django,pytest-dev/pytest-django,pytest-django,[],testing,https://github.com/pytest-dev/pytest-django,https://github.com/pytest-dev/pytest-django,,2011-09-29 19:35:55,2025-03-06 23:42:18,2025-03-06 23:42:18,1303.0,14.0,338.0,39.0,632.0,158.0,389.0,1430.0,2025-02-10 14:56:10,4.10.0,24.0,A Django plugin for pytest.,88190.0,88190.0,153.0,https://pypi.org/project/pytest-django,5434315.0,5434315.0,37,True,1.0,,,,,,
15,django-oscar,django-oscar/django-oscar,django-oscar,[],ecommerce-framework,https://github.com/django-oscar/django-oscar,https://github.com/django-oscar/django-oscar,BSD-3-Clause,2010-12-08 21:30:32,2025-03-10 08:48:20,2025-03-07 10:36:50,9157.0,20.0,2198.0,270.0,2927.0,93.0,1416.0,6360.0,2024-09-20 11:17:48,3.2.5,10.0,Domain-driven e-commerce for Django.,1156.0,1156.0,373.0,https://pypi.org/project/django-oscar,22591.0,22591.0,36,True,1.0,,,,,,
16,django-storages,jschneier/django-storages,django-storages,[],storage,https://github.com/jschneier/django-storages,https://github.com/jschneier/django-storages,BSD-3-Clause,2014-12-09 00:37:09,2025-02-27 05:19:32,2025-02-27 05:19:32,1158.0,10.0,826.0,41.0,761.0,104.0,627.0,2820.0,,,,https://django-storages.readthedocs.io/.,205552.0,205552.0,279.0,https://pypi.org/project/django-storages,4849828.0,4849828.0,36,True,1.0,,,,,,
17,django-simple-history,jazzband/django-simple-history,django-simple-history,[],fields-versioning,https://github.com/jazzband/django-simple-history,https://github.com/jazzband/django-simple-history,BSD-3-Clause,2011-03-06 22:42:19,2025-03-24 17:20:32,2025-03-13 19:24:27,1406.0,16.0,468.0,43.0,863.0,145.0,460.0,2299.0,2025-01-26 23:57:27,3.9.0,40.0,Store model history and view/revert changes from admin site.,6460.0,6460.0,186.0,https://pypi.org/project/django-simple-history,1391662.0,1391662.0,36,True,1.0,,,,,,
18,django-stubs,typeddjango/django-stubs,django-stubs,[],type-stubs,https://github.com/typeddjango/django-stubs,https://github.com/typeddjango/django-stubs,MIT,2018-07-29 17:08:50,2025-03-27 07:12:45,2025-03-27 07:12:43,1990.0,95.0,396.0,17.0,1797.0,154.0,618.0,1696.0,2025-02-07 09:41:45,5.1.3,59.0,PEP-484 stubs for Django.,12559.0,12559.0,297.0,https://pypi.org/project/django-stubs,2170683.0,2170683.0,36,True,1.0,,,,True,,
19,JumpServer (Community Edition),jumpserver/jumpserver,,[],pam-framework,https://github.com/jumpserver/jumpserver,https://github.com/jumpserver/jumpserver,GPL-3.0,2014-07-04 03:54:59,2025-03-27 10:34:13,2025-03-27 10:34:11,12130.0,216.0,5326.0,655.0,8061.0,66.0,6933.0,26283.0,2025-03-27 09:47:52,3.10.18,100.0,An open-source PAM tool alternative to CyberArk.,21.0,21.0,171.0,,,3110.0,35,True,1.0,,93303.0,,,,
20,ariadne,mirumee/ariadne,ariadne,[],graphql-api,https://github.com/mirumee/ariadne,https://github.com/mirumee/ariadne,BSD-3-Clause,2018-07-09 09:46:17,2025-03-05 08:37:30,2025-03-05 08:37:30,1991.0,100.0,186.0,39.0,685.0,34.0,288.0,2257.0,2025-02-19 15:03:04,0.26.1,50.0,Python library for implementing GraphQL servers using schema-first approach.,1849.0,1849.0,84.0,https://pypi.org/project/ariadne,761500.0,761500.0,35,True,2.0,,35.0,,,,
21,graphene-django,graphql-python/graphene-django,graphene-django,[],graphql-api,https://github.com/graphql-python/graphene-django,https://github.com/graphql-python/graphene-django,MIT,2016-09-17 23:26:25,2025-03-13 08:30:22,2025-03-13 08:29:45,972.0,3.0,738.0,68.0,636.0,144.0,683.0,4343.0,2025-03-13 08:30:22,3.2.3,53.0,"Build powerful, efficient, and flexible GraphQL APIs with seamless Django integration.",15779.0,15779.0,225.0,https://pypi.org/project/graphene-django,683460.0,683460.0,34,True,2.0,,,2.0,,,
22,DefectDojo,DefectDojo/django-DefectDojo,,[],security-framework,https://github.com/DefectDojo/django-DefectDojo,https://github.com/DefectDojo/django-DefectDojo,BSD-3-Clause,2015-02-19 17:53:47,2025-03-27 12:48:06,2025-03-27 00:10:55,11787.0,429.0,1594.0,207.0,8913.0,346.0,2607.0,3939.0,2025-03-24 15:15:58,2.44.3,100.0,"DevSecOps, ASPM, Vulnerability Management. All on one platform.",,,501.0,,,18708.0,34,True,1.0,,355468.0,,,,
23,django-guardian,django-guardian/django-guardian,django-guardian,[],authentication-authorization,https://github.com/django-guardian/django-guardian,https://github.com/django-guardian/django-guardian,,2010-06-04 23:15:37,2025-02-02 10:22:34,2025-02-02 10:22:33,1174.0,65.0,551.0,77.0,374.0,116.0,353.0,3703.0,2025-01-24 09:03:29,2.0.0,6.0,Per object permissions for Django.,7306.0,7306.0,171.0,https://pypi.org/project/django-guardian,403598.0,403598.0,34,True,1.0,,,,,,
