,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,trending,github_release_downloads,new_addition,updated_github_id,gitlab_id,gitlab_url
0,pydantic,pydantic/pydantic,pydantic,[],pydantic-integration,https://github.com/pydantic/pydantic,https://github.com/pydantic/pydantic,MIT,2017-05-03 21:23:58,2024-05-26 05:50:20,2024-05-22 14:54:32,2911.0,127.0,1678.0,114.0,3560.0,397.0,3642.0,19103.0,2024-04-23 13:11:29,2.7.1,100.0,Data validation using Python type hints.,412138.0,412138.0,526.0,https://pypi.org/project/pydantic,191015607.0,191015607.0,46,True,1.0,1.0,,,,,
1,celery,celery/celery,celery,[],task-queues,https://github.com/celery/celery,https://github.com/celery/celery,,2009-04-24 11:31:24,2024-05-26 06:59:23,2024-05-25 16:34:19,12541.0,63.0,4450.0,472.0,3360.0,645.0,4387.0,23728.0,2024-04-17 20:32:41,5.4.0,48.0,Distributed Task Queue (development branch).,133813.0,133813.0,1351.0,https://pypi.org/project/celery,10729993.0,10729993.0,44,True,1.0,,,,,,
2,django-rest-framework,encode/django-rest-framework,django-rest-framework,[],restful-api-drf,https://github.com/encode/django-rest-framework,https://github.com/encode/django-rest-framework,,2011-03-02 17:13:56,2024-05-23 07:42:37,2024-05-07 07:05:03,8797.0,49.0,6606.0,621.0,4698.0,50.0,3837.0,27602.0,2024-05-06 08:38:52,3.15.1,18.0,Web APIs for Django.,671346.0,671346.0,1403.0,https://pypi.org/project/django-rest-framework,114980.0,114980.0,43,True,1.0,1.0,,,,,
3,django-cms,django-cms/django-cms,django-cms,[],cms-framework,https://github.com/django-cms/django-cms,https://github.com/django-cms/django-cms,BSD-3-Clause,2009-03-05 10:14:18,2024-05-26 07:34:27,2024-05-24 14:07:54,16102.0,86.0,2982.0,394.0,4348.0,120.0,3389.0,9957.0,2024-05-18 19:41:23,3.11.6,16.0,The easy-to-use and developer-friendly enterprise CMS powered by Django.,5185.0,5185.0,565.0,https://pypi.org/project/django-cms,71902.0,71902.0,41,True,1.0,,,,,,
4,django-allauth,pennersr/django-allauth,django-allauth,[],authentication-authorization,https://github.com/pennersr/django-allauth,https://github.com/pennersr/django-allauth,MIT,2010-10-10 20:10:52,2024-05-25 12:51:45,2024-05-25 12:49:07,3262.0,282.0,2871.0,191.0,1532.0,45.0,2215.0,8978.0,,,,"Integrated set of Django applications addressing authentication, registration, account management as well as 3rd party..",220487.0,220487.0,710.0,https://pypi.org/project/django-allauth,842830.0,842830.0,41,True,1.0,,,,,,
5,sentry,getsentry/sentry,,[],m-framework,https://github.com/getsentry/sentry,https://github.com/getsentry/sentry,,2010-08-30 22:06:41,2024-05-24 22:18:49,2024-05-24 22:18:48,69482.0,4197.0,3942.0,686.0,58287.0,2280.0,9889.0,37175.0,2024-05-15 18:18:26,24.5.0,100.0,Developer-first error tracking and performance monitoring.,689.0,689.0,841.0,,,502.0,39,True,1.0,,46256.0,True,,,
6,django-import-export,django-import-export/django-import-export,django-import-export,[],admin-interface-actions,https://github.com/django-import-export/django-import-export,https://github.com/django-import-export/django-import-export,BSD-2-Clause,2012-11-15 13:12:22,2024-05-24 16:14:29,2024-05-24 11:23:51,1456.0,44.0,739.0,65.0,807.0,21.0,1002.0,2924.0,2024-05-23 18:32:22,4.0.5,34.0,Django application and library for importing and exporting data with admin integration.,97340.0,97340.0,209.0,https://pypi.org/project/django-import-export,1275206.0,1275206.0,39,True,1.0,,,,,,
7,wagtail,wagtail/wagtail,wagtail,[],cms-framework,https://github.com/wagtail/wagtail,https://github.com/wagtail/wagtail,BSD-3-Clause,2014-02-03 12:41:59,2024-05-26 00:13:56,2024-05-21 11:39:42,17447.0,431.0,3637.0,337.0,6765.0,842.0,4052.0,17373.0,2024-05-21 11:34:29,6.1.1,100.0,A Django content management system focused on flexibility and user experience.,8.0,8.0,914.0,https://pypi.org/project/wagtail,233345.0,233345.0,37,True,3.0,,,,,,
8,rq,rq/rq,rq,[],task-queues,https://github.com/rq/rq,https://github.com/rq/rq,,2011-11-14 10:53:48,2024-05-26 02:37:55,2024-05-26 02:37:55,1867.0,34.0,1371.0,207.0,899.0,183.0,953.0,9565.0,2024-05-01 07:14:48,1.16.2,30.0,Simple job queues for Python.,16580.0,16580.0,315.0,https://pypi.org/project/rq,1357193.0,1357193.0,37,True,2.0,,,,,,
9,django-debug-toolbar,jazzband/django-debug-toolbar,django-debug-toolbar,[],debugging,https://github.com/jazzband/django-debug-toolbar,https://github.com/jazzband/django-debug-toolbar,BSD-3-Clause,2008-08-28 06:58:04,2024-05-20 17:31:38,2024-05-14 13:20:31,2586.0,18.0,911.0,112.0,1027.0,69.0,815.0,7935.0,2024-02-01 19:35:16,4.3,16.0,A configurable set of panels that display various debug information about the current request/response.,88631.0,88631.0,286.0,https://pypi.org/project/django-debug-toolbar,2697338.0,2697339.0,37,True,1.0,,214.0,,,,
