,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,github_release_downloads,new_addition,trending,gitlab_id,gitlab_url
50,model_bakery,model-bakers/model_bakery,model_bakery,[],testing,https://github.com/model-bakers/model_bakery,https://github.com/model-bakers/model_bakery,,2019-10-08 12:49:08,2023-01-02 08:01:10,2023-01-02 08:01:09,273.0,30.0,72.0,12.0,262.0,21.0,93.0,627.0,2022-10-24 06:11:08,1.9.0,10.0,Object factory for Django.,,,42.0,https://pypi.org/project/model_bakery,228157.0,228157.0,21,True,3,,,,,
51,django-guid,snok/django-guid,django-guid,[],logging,https://github.com/snok/django-guid,https://github.com/snok/django-guid,BSD-3-Clause,2019-12-20 10:25:27,2022-12-09 10:41:13,2022-12-09 10:40:59,186.0,10.0,16.0,8.0,71.0,1.0,19.0,300.0,2022-05-06 13:06:01,3.3.0,15.0,"Inject an ID into every log message from a Django request. ASGI compatible, integrates with Sentry, and works with..",58.0,58.0,8.0,https://pypi.org/project/django-guid,35385.0,35385.0,21,True,1,,,,,
52,django-slack,lamby/django-slack,django-slack,[],messaging,https://github.com/lamby/django-slack,https://github.com/lamby/django-slack,BSD-3-Clause,2014-12-10 20:34:18,2022-09-02 07:58:43,2022-09-02 07:57:38,269.0,,54.0,7.0,52.0,8.0,54.0,227.0,,,,"Slack integration for Django, using the templating engine to generate messages.",303.0,303.0,27.0,https://pypi.org/project/django-slack,39234.0,39234.0,21,True,1,,,,,
53,django-graphql-auth,PedroBern/django-graphql-auth,django-graphql-auth,[],graphql-api,https://github.com/PedroBern/django-graphql-auth,https://github.com/PedroBern/django-graphql-auth,MIT,2020-01-15 16:36:01,2022-06-17 09:46:13,2022-06-17 09:46:13,276.0,,81.0,20.0,56.0,59.0,44.0,301.0,,,,Django registration and authentication with GraphQL.,521.0,521.0,16.0,https://pypi.org/project/django-graphql-auth,9680.0,9680.0,20,True,3,,,,,
54,django-dirtyfields,romgar/django-dirtyfields,django-dirtyfields,[],fields-versioning,https://github.com/romgar/django-dirtyfields,https://github.com/romgar/django-dirtyfields,BSD-3-Clause,2010-09-09 06:54:09,2022-12-10 08:58:49,2022-11-07 12:22:50,591.0,4.0,96.0,13.0,138.0,11.0,57.0,566.0,,,,Tracking dirty fields on a Django model.,,,40.0,https://pypi.org/project/django-dirtyfields,91979.0,91979.0,19,True,3,,,,,
55,djantic,jordaneremieff/djantic,djantic,[],pydantic-integration,https://github.com/jordaneremieff/djantic,https://github.com/jordaneremieff/djantic,MIT,2020-08-02 12:06:11,2022-12-31 17:36:10,2022-08-25 12:03:51,113.0,,25.0,5.0,29.0,8.0,27.0,317.0,2022-04-14 10:14:45,0.7.0,15.0,Pydantic model support for Django.,40.0,40.0,4.0,https://pypi.org/project/djantic,3321.0,3321.0,19,True,3,,,,,
56,django-click,GaretJax/django-click,django-click,[],management-commands,https://github.com/GaretJax/django-click,https://github.com/GaretJax/django-click,MIT,2015-09-10 22:48:53,2022-03-17 20:00:04,2022-03-17 20:00:04,120.0,,17.0,7.0,22.0,9.0,8.0,215.0,2021-09-07 19:36:52,2.3.0,3.0,Write Django management command using the click CLI library.,206.0,206.0,11.0,https://pypi.org/project/django-click,25180.0,25180.0,19,True,3,,,,,
57,django-fernet-fields,orcasgit/django-fernet-fields,django-fernet-fields,[],encrpyted-fields,https://github.com/orcasgit/django-fernet-fields,https://github.com/orcasgit/django-fernet-fields,BSD-3-Clause,2015-05-25 18:10:29,2022-12-26 07:25:25,2019-05-10 16:41:45,129.0,,47.0,6.0,17.0,9.0,6.0,178.0,,,,Fernet symmetric encryption for Django model fields.,513.0,513.0,9.0,https://pypi.org/project/django-fernet-fields,55056.0,55056.0,19,True,1,,,,,
58,django-test-plus,revsys/django-test-plus,django-test-plus,[],testing,https://github.com/revsys/django-test-plus,https://github.com/revsys/django-test-plus,BSD-3-Clause,2015-05-23 16:08:52,2022-12-07 02:01:00,2022-10-08 04:18:12,456.0,3.0,55.0,11.0,140.0,5.0,44.0,546.0,,,,Useful additions to Djangos default TestCase.,,,30.0,https://pypi.org/project/django-test-plus,29525.0,29525.0,18,True,3,,,,,
59,django-concurrency,saxix/django-concurrency,django-concurrency,[],concurrent-data-access,https://github.com/saxix/django-concurrency,https://github.com/saxix/django-concurrency,MIT,2012-03-20 01:05:04,2022-08-04 10:49:36,2022-08-04 10:49:36,662.0,,46.0,9.0,176.0,6.0,60.0,394.0,2022-03-04 14:07:54,2.4,2.0,Optimistic lock implementation for Django. Prevents users from doing concurrent editing.,,,24.0,https://pypi.org/project/django-concurrency,18557.0,18557.0,18,True,1,,,,,
60,django-extra-settings,fabiocaccamo/django-extra-settings,django-extra-settings,[],configuration,https://github.com/fabiocaccamo/django-extra-settings,https://github.com/fabiocaccamo/django-extra-settings,MIT,2020-02-12 10:59:54,2023-01-01 00:05:39,2022-12-31 17:51:53,161.0,40.0,16.0,4.0,31.0,2.0,19.0,280.0,2022-12-13 22:59:21,0.7.0,15.0,config and manage typed extra settings using just the django admin.,,,9.0,https://pypi.org/project/django-extra-settings,4649.0,4649.0,18,True,3,,,,,
61,django-audit-log,vvangelovski/django-audit-log,django-audit-log,[],fields-versioning,https://github.com/vvangelovski/django-audit-log,https://github.com/vvangelovski/django-audit-log,,2011-02-25 12:40:16,2022-12-26 07:34:28,2018-03-12 09:11:28,102.0,,81.0,8.0,30.0,27.0,16.0,228.0,2015-01-23 12:59:33,0.6.0,2.0,Audit log for your Django models.,225.0,225.0,10.0,https://pypi.org/project/django-audit-log,1309.0,1309.0,18,True,3,,,,,
62,django-phone-field,VeryApt/django-phone-field,django-phone-field,[],fields-phone-numbers,https://github.com/VeryApt/django-phone-field,https://github.com/VeryApt/django-phone-field,GPL-3.0,2018-02-22 21:40:32,2020-06-10 01:16:07,2020-06-10 01:10:54,35.0,,14.0,4.0,4.0,3.0,11.0,48.0,2020-06-10 01:16:07,1.8.1,8.0,Lightweight model and form field for phone numbers in Django.,2397.0,2397.0,4.0,https://pypi.org/project/django-phone-field,11378.0,11378.0,18,True,3,,,,,
63,django-cryptography,georgemarshall/django-cryptography,django-cryptography,[],encrpyted-fields,https://github.com/georgemarshall/django-cryptography,https://github.com/georgemarshall/django-cryptography,BSD-3-Clause,2016-03-02 07:55:01,2022-11-07 16:53:42,2022-05-25 05:52:12,140.0,,53.0,15.0,24.0,34.0,31.0,297.0,2022-04-06 04:41:14,1.1,13.0,Easily encrypt data in Django.,,,3.0,https://pypi.org/project/django-cryptography,53371.0,53371.0,17,True,2,,,,,
