,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,github_release_downloads,new_addition,trending,gitlab_id,gitlab_url
0,pydantic,pydantic/pydantic,pydantic,[],pydantic-integration,https://github.com/pydantic/pydantic,https://github.com/pydantic/pydantic,MIT,2017-05-03 21:23:58,2023-01-01 21:06:46,2023-01-01 21:06:45,1487.0,51.0,1098.0,86.0,1815.0,531.0,1584.0,12055.0,2022-12-30 09:59:41,1.10.4,94.0,Data parsing and validation using Python type hints.,123873.0,123873.0,336.0,https://pypi.org/project/pydantic,40179142.0,40179142.0,44,True,1,,,,,
1,django-rest-framework,encode/django-rest-framework,django-rest-framework,[],restful-api-drf,https://github.com/encode/django-rest-framework,https://github.com/encode/django-rest-framework,,2011-03-02 17:13:56,2023-01-02 03:44:56,2022-12-10 16:50:41,8639.0,50.0,6229.0,618.0,4458.0,71.0,3724.0,24708.0,2022-11-08 10:37:57,3.14.0,17.0,Web APIs for Django.,411689.0,411689.0,1332.0,https://pypi.org/project/django-rest-framework,68048.0,68048.0,43,True,1,,,,,
2,celery,celery/celery,celery,[],task-queues,https://github.com/celery/celery,https://github.com/celery/celery,,2009-04-24 11:31:24,2022-12-29 14:33:48,2022-12-26 18:31:19,12100.0,91.0,4229.0,475.0,2804.0,527.0,4262.0,20717.0,2022-08-01 11:20:41,5.3.0b1,37.0,Distributed Task Queue (development branch).,82025.0,82025.0,1257.0,https://pypi.org/project/celery,4881623.0,4881623.0,43,True,1,,,,,
3,wagtail,wagtail/wagtail,wagtail,[],cms-framework,https://github.com/wagtail/wagtail,https://github.com/wagtail/wagtail,BSD-3-Clause,2014-02-03 12:41:59,2023-01-01 21:39:02,2022-12-27 22:15:10,14294.0,377.0,2873.0,340.0,5504.0,829.0,3337.0,13767.0,2022-11-11 17:17:59,4.1.1,100.0,A Django content management system focused on flexibility and user experience.,7624.0,7624.0,768.0,https://pypi.org/project/wagtail,99173.0,99173.0,42,True,1,,,,,
4,django-cms,django-cms/django-cms,django-cms,[],cms-framework,https://github.com/django-cms/django-cms,https://github.com/django-cms/django-cms,BSD-3-Clause,2009-03-05 10:14:18,2023-01-01 10:45:40,2022-12-29 13:03:36,16070.0,27.0,2775.0,412.0,4020.0,103.0,3303.0,9063.0,2022-12-13 14:27:49,3.11.1,3.0,The easy-to-use and developer-friendly enterprise CMS powered by Django.,4649.0,4649.0,615.0,https://pypi.org/project/django-cms,38946.0,38946.0,39,True,3,,,,,
5,django-allauth,pennersr/django-allauth,django-allauth,[],authentication,https://github.com/pennersr/django-allauth,https://github.com/pennersr/django-allauth,MIT,2010-10-10 20:10:52,2022-12-31 22:51:12,2022-12-29 20:19:15,2505.0,39.0,2603.0,191.0,1304.0,272.0,1642.0,7666.0,,,,"Integrated set of Django applications addressing authentication, registration, account management as well as 3rd party..",123312.0,123312.0,615.0,https://pypi.org/project/django-allauth,485699.0,485699.0,38,True,1,,,,,
6,rq,rq/rq,rq,[],task-queues,https://github.com/rq/rq,https://github.com/rq/rq,,2011-11-14 10:53:48,2022-12-28 23:59:07,2022-12-28 23:58:58,1678.0,10.0,1307.0,214.0,727.0,190.0,804.0,8684.0,2022-09-25 08:03:45,1.11.1,21.0,Simple job queues for Python.,11756.0,11756.0,277.0,https://pypi.org/project/rq,604347.0,604347.0,37,True,2,,,,,
7,django-debug-toolbar,jazzband/django-debug-toolbar,django-debug-toolbar,[],debugging,https://github.com/jazzband/django-debug-toolbar,https://github.com/jazzband/django-debug-toolbar,BSD-3-Clause,2008-08-28 06:58:04,2022-12-28 15:37:34,2022-12-28 15:31:57,2436.0,31.0,865.0,107.0,900.0,75.0,749.0,7314.0,2022-12-03 18:09:12,3.8.1,12.0,A configurable set of panels that display various debug information about the current request/response.,59624.0,59624.0,264.0,https://pypi.org/project/django-debug-toolbar,1331295.0,1331296.0,37,True,1,178.0,,,,
8,django-extensions,django-extensions/django-extensions,django-extensions,[],management-commands,https://github.com/django-extensions/django-extensions,https://github.com/django-extensions/django-extensions,MIT,2009-03-21 16:11:19,2022-12-27 10:29:07,2022-12-27 10:29:07,3607.0,6.0,1077.0,104.0,948.0,127.0,709.0,5969.0,2022-09-09 11:10:54,3.2.1,4.0,This is a repository for collecting global custom management extensions for the Django Framework.,124724.0,124724.0,571.0,https://pypi.org/project/django-extensions,1631611.0,1631611.0,37,True,1,,,,,
9,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,MIT,2015-09-24 09:18:18,2022-12-29 06:30:17,2022-12-25 21:59:05,1736.0,15.0,771.0,144.0,512.0,104.0,864.0,7514.0,2022-12-11 20:07:51,3.2.1,57.0,GraphQL framework for Python.,14752.0,14752.0,196.0,https://pypi.org/project/graphene,1732888.0,1732888.0,36,True,1,,,,,
10,django-oscar,django-oscar/django-oscar,django-oscar,[],ecommerce-framework,https://github.com/django-oscar/django-oscar,https://github.com/django-oscar/django-oscar,BSD-3-Clause,2010-12-08 21:30:32,2023-01-01 11:01:18,2022-12-23 15:46:03,8844.0,21.0,1957.0,267.0,2585.0,140.0,1300.0,5575.0,2022-12-23 15:54:06,3.2,5.0,Domain-driven e-commerce for Django.,948.0,948.0,335.0,https://pypi.org/project/django-oscar,15503.0,15503.0,36,True,1,,,,,
11,django-simple-history,jazzband/django-simple-history,django-simple-history,[],fields-versioning,https://github.com/jazzband/django-simple-history,https://github.com/jazzband/django-simple-history,BSD-3-Clause,2011-03-06 22:42:19,2022-12-30 17:01:00,2022-12-09 22:08:34,1152.0,35.0,387.0,38.0,596.0,106.0,387.0,1749.0,2022-09-28 13:53:24,3.2.0,33.0,Store model history and view/revert changes from admin site.,3433.0,3433.0,168.0,https://pypi.org/project/django-simple-history,568978.0,568978.0,35,True,1,,,,,
12,django-reversion,etianen/django-reversion,django-reversion,[],fields-versioning,https://github.com/etianen/django-reversion,https://github.com/etianen/django-reversion,BSD-3-Clause,2010-05-31 15:32:25,2022-12-29 13:46:46,2022-11-12 14:44:37,1490.0,5.0,445.0,57.0,302.0,15.0,614.0,2816.0,2022-11-12 14:45:12,5.0.4,8.0,django-reversion is an extension to the Django web framework that provides version control for model instances.,6629.0,6629.0,185.0,https://pypi.org/project/django-reversion,180414.0,180414.0,34,True,2,,,,,
13,django-environ,joke2k/django-environ,django-environ,[],configuration,https://github.com/joke2k/django-environ,https://github.com/joke2k/django-environ,MIT,2013-04-02 13:50:07,2022-12-22 17:03:26,2022-06-15 09:59:27,517.0,,277.0,36.0,217.0,58.0,154.0,2673.0,2022-06-15 15:03:09,0.9.0,15.0,Django-environ allows you to utilize 12factor inspired environment variables to configure your Django application.,113965.0,113965.0,76.0,https://pypi.org/project/django-environ,939769.0,939769.0,34,True,1,7.0,,,,
14,graphene-django,graphql-python/graphene-django,graphene-django,[],graphql-api,https://github.com/graphql-python/graphene-django,https://github.com/graphql-python/graphene-django,MIT,2016-09-17 23:26:25,2022-12-24 22:09:13,2022-12-24 22:09:13,889.0,6.0,693.0,72.0,554.0,137.0,626.0,3994.0,2022-09-26 12:12:07,3.0.0,41.0,Integrate GraphQL into your Django project.,9080.0,9080.0,202.0,https://pypi.org/project/graphene-django,261984.0,261984.0,33,True,2,,,,,
15,strawberry,strawberry-graphql/strawberry,strawberry,[],graphql-api,https://github.com/strawberry-graphql/strawberry,https://github.com/strawberry-graphql/strawberry,MIT,2018-12-21 08:56:55,2022-12-31 10:55:52,2022-12-23 16:35:16,2504.0,153.0,339.0,44.0,1742.0,231.0,381.0,2831.0,2022-12-23 16:35:36,0.151.2,100.0,A GraphQL library for Python that leverages type annotations.,899.0,899.0,168.0,https://pypi.org/project/strawberry,267.0,321.0,32,True,2,381.0,,,,
16,django-rq,rq/django-rq,django-rq,[],task-queues,https://github.com/rq/django-rq,https://github.com/rq/django-rq,MIT,2012-05-15 10:21:58,2022-11-19 11:25:44,2022-11-19 09:20:48,578.0,10.0,253.0,28.0,258.0,72.0,233.0,1598.0,2022-11-05 02:02:30,2.6.0,7.0,A simple app that provides django integration for RQ (Redis Queue).,2195.0,2195.0,110.0,https://pypi.org/project/django-rq,125892.0,125892.0,32,True,3,,,,,
17,django-ninja,vitalik/django-ninja,django-ninja,[],restful-api-ninja,https://github.com/vitalik/django-ninja,https://github.com/vitalik/django-ninja,MIT,2020-05-19 08:48:53,2022-12-29 15:12:24,2022-12-29 15:12:24,740.0,29.0,240.0,61.0,176.0,136.0,279.0,3816.0,2022-12-17 15:27:31,0.20.0,26.0,"Fast, Async-ready, Openapi, type hints based framework for building APIs.",931.0,931.0,70.0,https://pypi.org/project/django-ninja,53328.0,53328.0,31,True,1,,,,,
18,saleor,saleor/saleor,saleor,[],ecommerce-framework,https://github.com/saleor/saleor,https://github.com/saleor/saleor,BSD-3-Clause,2013-02-12 16:46:39,2023-01-02 09:48:00,2023-01-02 08:48:22,20134.0,160.0,4715.0,387.0,7198.0,332.0,3045.0,17744.0,2023-01-02 09:48:02,3.8.23,100.0,"A modular, high performance, headless e-commerce platform built with Python, GraphQL, Django, and React.",2.0,2.0,259.0,https://pypi.org/project/saleor,19.0,19.0,30,True,2,,,,,
19,django-q,Koed00/django-q,django-q,[],task-queues,https://github.com/Koed00/django-q,https://github.com/Koed00/django-q,MIT,2015-06-14 12:37:08,2022-12-09 05:54:42,2021-06-26 12:04:16,1246.0,,217.0,55.0,307.0,260.0,145.0,1659.0,2021-06-10 16:52:14,1.3.9,78.0,A multiprocessing distributed task queue for Django.,1094.0,1094.0,62.0,https://pypi.org/project/django-q,60521.0,60521.0,30,True,3,,,,,
20,django-constance,jazzband/django-constance,django-constance,[],configuration,https://github.com/jazzband/django-constance,https://github.com/jazzband/django-constance,BSD-3-Clause,2010-09-20 12:42:29,2022-12-01 10:58:35,2022-10-13 17:16:31,623.0,3.0,278.0,34.0,247.0,30.0,229.0,1520.0,2022-08-11 11:56:06,2.9.1,1.0,Dynamic Django settings.,1234.0,1234.0,137.0,https://pypi.org/project/django-constance,142649.0,142649.0,30,True,2,,,,,
21,django-jazzmin,farridav/django-jazzmin,django-jazzmin,[],admin-interface,https://github.com/farridav/django-jazzmin,https://github.com/farridav/django-jazzmin,MIT,2020-05-11 19:50:44,2022-12-14 19:06:24,2022-11-03 13:11:18,1029.0,20.0,186.0,33.0,245.0,76.0,137.0,1184.0,2022-11-03 13:23:16,2.6.0,28.0,Jazzy theme for Django.,2719.0,2719.0,61.0,https://pypi.org/project/django-jazzmin,53131.0,53131.0,30,True,1,,,,,
22,django-dbbackup,jazzband/django-dbbackup,django-dbbackup,[],management-commands,https://github.com/jazzband/django-dbbackup,https://github.com/jazzband/django-dbbackup,BSD-3-Clause,2014-12-29 02:39:34,2022-12-26 19:13:14,2022-12-12 10:26:16,471.0,5.0,178.0,21.0,213.0,55.0,205.0,685.0,2022-09-27 23:25:03,4.0.2,3.0,Management commands to help backup and restore your project database and media files.,1174.0,1174.0,64.0,https://pypi.org/project/django-dbbackup,52939.0,52939.0,29,True,3,,,,,
23,django-grappelli,sehmaschine/django-grappelli,django-grappelli,[],admin-interface,https://github.com/sehmaschine/django-grappelli,https://github.com/sehmaschine/django-grappelli,,2010-03-26 12:25:59,2022-12-29 19:50:53,2022-11-22 14:03:04,1875.0,5.0,635.0,95.0,319.0,5.0,685.0,3374.0,,,,A jazzy skin for the Django Admin-Interface (official repository).,5208.0,5208.0,82.0,https://pypi.org/project/django-grappelli,119551.0,119551.0,28,True,3,,,,,
24,django-fsm,viewflow/django-fsm,django-fsm,[],finite-state-machine,https://github.com/viewflow/django-fsm,https://github.com/viewflow/django-fsm,MIT,2010-05-31 14:03:48,2022-10-21 04:39:31,2022-08-15 10:45:43,336.0,,254.0,43.0,140.0,18.0,135.0,2116.0,2022-03-25 12:30:10,2.8.0,4.0,Django friendly finite state machine support.,1202.0,1202.0,64.0,https://pypi.org/project/django-fsm,173959.0,173959.0,28,True,1,,,,,
25,django-auditlog,jazzband/django-auditlog,django-auditlog,[],fields-versioning,https://github.com/jazzband/django-auditlog,https://github.com/jazzband/django-auditlog,MIT,2013-10-20 12:10:40,2022-12-30 11:12:36,2022-12-30 07:28:55,439.0,33.0,307.0,21.0,282.0,42.0,166.0,710.0,,,15.0,A Django app that keeps a log of changes made to an object.,562.0,562.0,63.0,https://pypi.org/project/django-auditlog,62168.0,62170.0,28,True,2,282.0,,,,
26,django-guardian,django-guardian/django-guardian,django-guardian,[],authorization,https://github.com/django-guardian/django-guardian,https://github.com/django-guardian/django-guardian,,2010-06-04 23:15:37,2022-10-02 18:27:44,2022-03-25 21:42:47,1062.0,,530.0,85.0,348.0,121.0,321.0,3308.0,,,,Per object permissions for Django.,5200.0,5200.0,159.0,https://pypi.org/project/django-guardian,327559.0,327559.0,27,True,1,,,,,
27,djangorestframework-simplejwt,jazzband/djangorestframework-simplejwt,djangorestframework-simplejwt,[],restful-api-drf,https://github.com/jazzband/djangorestframework-simplejwt,https://github.com/jazzband/djangorestframework-simplejwt,MIT,2017-05-05 17:41:35,2022-12-26 19:16:22,2022-12-20 07:24:40,589.0,9.0,520.0,53.0,276.0,84.0,297.0,3253.0,2022-10-20 16:55:17,5.2.2,9.0,A JSON Web Token authentication plugin for the Django REST Framework.,,,92.0,https://pypi.org/project/djangorestframework-simplejwt,824446.0,824446.0,27,True,3,,,,,
28,django-phonenumber-field,stefanfoulis/django-phonenumber-field,django-phonenumber-field,[],fields-phone-numbers,https://github.com/stefanfoulis/django-phonenumber-field,https://github.com/stefanfoulis/django-phonenumber-field,MIT,2011-08-31 17:52:05,2022-12-06 08:06:55,2022-12-06 08:03:10,546.0,3.0,284.0,23.0,342.0,6.0,193.0,1314.0,2022-12-06 08:08:13,7.0.1,7.0,A django model and form field for normalised phone numbers using python-phonenumbers.,,,109.0,https://pypi.org/project/django-phonenumber-field,457798.0,457798.0,27,True,1,6.0,,,,
29,django-graphql-jwt,flavors/django-graphql-jwt,django-graphql-jwt,[],graphql-api,https://github.com/flavors/django-graphql-jwt,https://github.com/flavors/django-graphql-jwt,MIT,2017-11-05 15:29:56,2022-12-09 05:55:42,2021-08-11 20:56:04,541.0,,142.0,20.0,95.0,46.0,168.0,781.0,2021-08-11 20:57:06,0.3.4,26.0,JSON Web Token (JWT) authentication for Graphene Django.,3297.0,3297.0,23.0,https://pypi.org/project/django-graphql-jwt,88299.0,88299.0,27,True,3,,,,,
30,django-rest-passwordreset,anexia-it/django-rest-passwordreset,django-rest-passwordreset,[],restful-api-drf,https://github.com/anexia-it/django-rest-passwordreset,https://github.com/anexia-it/django-rest-passwordreset,BSD-3-Clause,2017-03-13 19:06:30,2022-12-07 20:25:02,2022-11-02 17:21:20,153.0,4.0,121.0,9.0,76.0,23.0,72.0,363.0,2022-09-15 12:29:55,1.3.0,18.0,"An extension of django rest framework, providing a configurable password reset strategy.",2055.0,2055.0,33.0,https://pypi.org/project/django-rest-passwordreset,227592.0,227592.0,27,True,3,,,,,
31,mezzanine,stephenmcd/mezzanine,mezzanine,[],cms-framework,https://github.com/stephenmcd/mezzanine,https://github.com/stephenmcd/mezzanine,BSD-2-Clause,2010-05-29 12:16:55,2022-11-02 08:25:54,2022-11-02 08:25:54,5304.0,1.0,1546.0,257.0,978.0,38.0,1008.0,4557.0,2022-05-12 12:48:08,6.0.0,9.0,CMS framework for Django.,,,326.0,https://pypi.org/project/mezzanine,2112.0,2112.0,26,True,3,,,,,
32,django-shop,awesto/django-shop,django-shop,[],ecommerce-framework,https://github.com/awesto/django-shop,https://github.com/awesto/django-shop,BSD-3-Clause,2010-11-19 11:15:48,2022-04-08 09:00:09,2021-02-28 18:04:57,5402.0,,945.0,171.0,500.0,85.0,292.0,2934.0,,,,A Django based shop system.,206.0,206.0,96.0,https://pypi.org/project/django-shop,6238.0,6238.0,26,True,3,,,,,
33,django-storages,jschneier/django-storages,django-storages,[],storage,https://github.com/jschneier/django-storages,https://github.com/jschneier/django-storages,BSD-3-Clause,2014-12-09 00:37:09,2023-01-01 23:56:07,2023-01-01 23:56:07,1021.0,13.0,738.0,41.0,600.0,161.0,444.0,2309.0,,,,https://django-storages.readthedocs.io/.,,,236.0,https://pypi.org/project/django-storages,1586546.0,1586546.0,26,True,1,,True,,,
34,django-celery-beat,celery/django-celery-beat,django-celery-beat,[],task-queues,https://github.com/celery/django-celery-beat,https://github.com/celery/django-celery-beat,,2016-08-03 22:34:19,2022-12-26 17:14:59,2022-12-26 14:39:53,336.0,27.0,361.0,47.0,238.0,64.0,285.0,1276.0,2022-10-19 13:41:57,2.4.0,13.0,Celery Periodic Tasks backed by the Django ORM.,,,103.0,https://pypi.org/project/django-celery-beat,638485.0,638485.0,26,True,3,,,,,
35,django-cas-ng,django-cas-ng/django-cas-ng,django-cas-ng,[],authentication,https://github.com/django-cas-ng/django-cas-ng,https://github.com/django-cas-ng/django-cas-ng,MIT,2014-05-23 22:52:34,2022-11-18 17:19:04,2022-11-18 17:19:04,636.0,15.0,155.0,19.0,179.0,2.0,147.0,347.0,2022-01-09 02:06:44,4.3.0,26.0,"Django CAS 1.0/2.0/3.0 client authentication library, support Django 2.0, 2.1, 2.2, 3.0 and Python 3.5+.",380.0,380.0,83.0,https://pypi.org/project/django-cas-ng,10595.0,10599.0,26,True,3,441.0,,,,
36,strawberry-graphql-django,strawberry-graphql/strawberry-graphql-django,strawberry-graphql-django,[],graphql-api,https://github.com/strawberry-graphql/strawberry-graphql-django,https://github.com/strawberry-graphql/strawberry-graphql-django,MIT,2020-10-30 17:12:01,2023-01-01 10:00:53,2022-12-26 16:04:48,322.0,70.0,48.0,14.0,99.0,56.0,68.0,220.0,2022-11-16 22:56:41,0.8.2,14.0,Strawberry GraphQL Django extension.,121.0,121.0,38.0,https://pypi.org/project/strawberry-graphql-django,20356.0,20356.0,26,True,3,,,,,
37,shuup,shuup/shuup,shuup,[],ecommerce-framework,https://github.com/shuup/shuup,https://github.com/shuup/shuup,,2015-06-03 12:53:21,2022-12-08 08:17:15,2021-08-18 22:32:03,7104.0,,961.0,118.0,2190.0,142.0,291.0,1971.0,2021-08-17 18:55:57,2.14.3,100.0,E-Commerce Platform.,117.0,117.0,67.0,https://pypi.org/project/shuup,1107.0,1119.0,25,True,3,504.0,,,,
