,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,trending,github_release_downloads,gitlab_id,gitlab_url
0,pydantic,pydantic/pydantic,pydantic,[],pydantic-integration,https://github.com/pydantic/pydantic,https://github.com/pydantic/pydantic,MIT,2017-05-03 21:23:58,2023-01-31 20:34:29,2023-01-31 12:47:16,1502.0,57.0,1113.0,84.0,1838.0,550.0,1613.0,12283.0,2022-12-30 09:59:41,1.10.4,94.0,Data parsing and validation using Python type hints.,134034.0,134034.0,343.0,https://pypi.org/project/pydantic,44401350.0,44401350.0,44,True,1,,,,
1,django-rest-framework,encode/django-rest-framework,django-rest-framework,[],restful-api-drf,https://github.com/encode/django-rest-framework,https://github.com/encode/django-rest-framework,,2011-03-02 17:13:56,2023-01-31 21:15:13,2023-01-28 11:18:58,8652.0,49.0,6263.0,617.0,4473.0,68.0,3731.0,24899.0,2022-11-08 10:37:57,3.14.0,17.0,Web APIs for Django.,429239.0,429239.0,1338.0,https://pypi.org/project/django-rest-framework,80873.0,80873.0,43,True,1,,,,
2,celery,celery/celery,celery,[],task-queues,https://github.com/celery/celery,https://github.com/celery/celery,,2009-04-24 11:31:24,2023-01-31 13:20:35,2023-01-31 13:20:35,12111.0,64.0,4250.0,476.0,2824.0,533.0,4273.0,20866.0,2022-08-01 11:20:41,5.3.0b1,37.0,Distributed Task Queue (development branch).,84584.0,84584.0,1259.0,https://pypi.org/project/celery,5781894.0,5781894.0,42,True,1,-1.0,,,
3,django-cms,django-cms/django-cms,django-cms,[],cms-framework,https://github.com/django-cms/django-cms,https://github.com/django-cms/django-cms,BSD-3-Clause,2009-03-05 10:14:18,2023-01-31 13:51:51,2023-01-27 12:13:59,16080.0,21.0,2780.0,409.0,4040.0,97.0,3315.0,9100.0,2022-12-13 14:27:49,3.11.1,3.0,The easy-to-use and developer-friendly enterprise CMS powered by Django.,4699.0,4699.0,619.0,https://pypi.org/project/django-cms,42237.0,42237.0,39,True,1,,,,
4,django-allauth,pennersr/django-allauth,django-allauth,[],authentication,https://github.com/pennersr/django-allauth,https://github.com/pennersr/django-allauth,MIT,2010-10-10 20:10:52,2023-01-24 07:06:11,2023-01-02 12:14:18,2506.0,39.0,2620.0,189.0,1312.0,277.0,1648.0,7731.0,,,,"Integrated set of Django applications addressing authentication, registration, account management as well as 3rd party..",130233.0,130233.0,615.0,https://pypi.org/project/django-allauth,655196.0,655196.0,38,True,1,,,,
5,wagtail,wagtail/wagtail,wagtail,[],cms-framework,https://github.com/wagtail/wagtail,https://github.com/wagtail/wagtail,BSD-3-Clause,2014-02-03 12:41:59,2023-01-31 18:38:10,2023-01-30 14:47:16,14568.0,475.0,2930.0,338.0,5594.0,833.0,3397.0,14053.0,2022-11-11 17:17:59,4.1.1,100.0,A Django content management system focused on flexibility and user experience.,5.0,5.0,776.0,https://pypi.org/project/wagtail,132656.0,132656.0,37,True,3,-5.0,,,
6,rq,rq/rq,rq,[],task-queues,https://github.com/rq/rq,https://github.com/rq/rq,,2011-11-14 10:53:48,2023-01-31 23:03:47,2023-01-31 23:03:47,1695.0,26.0,1305.0,212.0,744.0,137.0,867.0,8734.0,2023-01-15 11:23:44,1.12.0,22.0,Simple job queues for Python.,12082.0,12082.0,278.0,https://pypi.org/project/rq,730648.0,730648.0,37,True,2,,,,
7,django-debug-toolbar,jazzband/django-debug-toolbar,django-debug-toolbar,[],debugging,https://github.com/jazzband/django-debug-toolbar,https://github.com/jazzband/django-debug-toolbar,BSD-3-Clause,2008-08-28 06:58:04,2023-01-30 19:46:05,2023-01-29 11:22:16,2447.0,31.0,868.0,106.0,906.0,63.0,764.0,7339.0,2022-12-03 18:09:12,3.8.1,12.0,A configurable set of panels that display various debug information about the current request/response.,61258.0,61258.0,266.0,https://pypi.org/project/django-debug-toolbar,1570614.0,1570615.0,37,True,1,,178.0,,
8,django-extensions,django-extensions/django-extensions,django-extensions,[],management-commands,https://github.com/django-extensions/django-extensions,https://github.com/django-extensions/django-extensions,MIT,2009-03-21 16:11:19,2023-01-28 16:22:21,2022-12-27 10:29:07,3607.0,6.0,1081.0,104.0,953.0,132.0,710.0,5989.0,2022-09-09 11:10:54,3.2.1,4.0,This is a repository for collecting global custom management extensions for the Django Framework.,131415.0,131415.0,571.0,https://pypi.org/project/django-extensions,2122070.0,2122070.0,37,True,1,,,,
9,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,MIT,2015-09-24 09:18:18,2023-01-25 18:40:56,2022-12-25 21:59:05,1736.0,13.0,772.0,145.0,514.0,104.0,866.0,7549.0,2022-12-11 20:07:51,3.2.1,57.0,GraphQL framework for Python.,15167.0,15167.0,196.0,https://pypi.org/project/graphene,2093154.0,2093154.0,36,True,1,,,,
10,django-oscar,django-oscar/django-oscar,django-oscar,[],ecommerce-framework,https://github.com/django-oscar/django-oscar,https://github.com/django-oscar/django-oscar,BSD-3-Clause,2010-12-08 21:30:32,2023-01-30 11:27:56,2022-12-23 15:46:03,8844.0,13.0,1966.0,269.0,2590.0,141.0,1300.0,5609.0,2022-12-23 15:54:06,3.2,5.0,Domain-driven e-commerce for Django.,962.0,962.0,335.0,https://pypi.org/project/django-oscar,18253.0,18253.0,36,True,1,,,,
11,django-import-export,django-import-export/django-import-export,django-import-export,[],admin-interface-actions,https://github.com/django-import-export/django-import-export,https://github.com/django-import-export/django-import-export,BSD-2-Clause,2012-11-15 13:12:22,2023-01-31 18:44:22,2023-01-31 18:44:22,1309.0,8.0,691.0,66.0,638.0,100.0,779.0,2607.0,2022-03-31 16:50:53,2.8.0,5.0,Django application and library for importing and exporting data with admin integration.,26819.0,26819.0,189.0,https://pypi.org/project/django-import-export,673368.0,673368.0,35,True,1,,,,
