,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,updated_github_id,github_release_downloads,trending,new_addition,gitlab_id,gitlab_url
141,django-react-boilerplate,vintasoftware/django-react-boilerplate,,[],project-templates,https://github.com/vintasoftware/django-react-boilerplate,https://github.com/vintasoftware/django-react-boilerplate,MIT,2016-07-19 20:37:29,2025-02-25 18:13:18,2025-02-25 18:10:47,1180.0,8.0,500.0,61.0,381.0,26.0,271.0,2083.0,,,,"Django 5, React, Bootstrap 5 with Python 3 and Webpack project boilerplate.",,,52.0,,,,19,True,1.0,,,,,,
142,django-rules,dfunckt/django-rules,django-rules,[],authorization,https://github.com/dfunckt/django-rules,https://github.com/dfunckt/django-rules,MIT,2014-03-06 20:46:57,2024-09-02 16:01:04,2024-09-02 15:58:32,214.0,,145.0,38.0,82.0,27.0,86.0,1887.0,2024-09-02 16:01:04,3.5.0,22.0,"Awesome Django authorization, without the database.",,,32.0,https://pypi.org/project/django-rules,169.0,169.0,19,True,1.0,,,,,,
143,django-controlcenter,byashimov/django-controlcenter,django-controlcenter,[],admin-interface,https://github.com/byashimov/django-controlcenter,https://github.com/byashimov/django-controlcenter,BSD-3-Clause,2016-03-01 15:35:59,2023-08-06 17:01:12,2023-08-06 17:00:07,200.0,,83.0,46.0,37.0,10.0,24.0,990.0,,,,Set of widgets to build dashboards for Django projects.,90.0,90.0,18.0,https://pypi.org/project/django-controlcenter,5567.0,5567.0,19,True,3.0,,,,,,
144,django-admin-sortable,jazzband/django-admin-sortable,django-admin-sortable,[],admin-interface-actions,https://github.com/jazzband/django-admin-sortable,https://github.com/jazzband/django-admin-sortable,,2011-08-31 19:31:13,2023-04-21 08:57:53,2022-03-13 00:03:22,621.0,,133.0,17.0,121.0,10.0,132.0,568.0,,,,Generic drag-and-drop ordering for objects and tabular inlines in Django Admin.,731.0,731.0,80.0,https://pypi.org/project/django-admin-sortable,33655.0,33655.0,19,True,3.0,,,,,,
145,djantic,jordaneremieff/djantic,djantic,[],pydantic-integration,https://github.com/jordaneremieff/djantic,https://github.com/jordaneremieff/djantic,MIT,2020-08-02 12:06:11,2024-03-15 10:03:00,2023-02-13 12:15:42,120.0,,32.0,7.0,38.0,13.0,28.0,461.0,2022-04-14 10:14:45,0.7.0,15.0,Pydantic model support for Django.,80.0,80.0,4.0,https://pypi.org/project/djantic,7754.0,7754.0,19,True,2.0,,,,,,
146,inertia-django,inertiajs/inertia-django,inertia-django,[],templates,https://github.com/inertiajs/inertia-django,https://github.com/inertiajs/inertia-django,MIT,2022-08-11 14:47:08,2025-02-13 18:23:18,2025-02-13 18:23:11,59.0,19.0,36.0,10.0,31.0,10.0,27.0,398.0,,,,The Django adapter for Inertia.js.,130.0,130.0,12.0,https://pypi.org/project/inertia-django,5003.0,5003.0,19,True,3.0,,,,,,
147,django-fixture-magic,davedash/django-fixture-magic,django-fixture-magic,[],example-data,https://github.com/davedash/django-fixture-magic,https://github.com/davedash/django-fixture-magic,BSD-3-Clause,2010-03-05 00:50:02,2023-10-26 14:29:00,2023-10-26 14:28:50,128.0,,88.0,8.0,57.0,12.0,23.0,388.0,,,,Utilities to extract and manipulate Django Fixtures.,171.0,171.0,36.0,https://pypi.org/project/django-fixture-magic,20111.0,20111.0,19,True,3.0,,,,,,
148,django-custom-user,jcugat/django-custom-user,django-custom-user,[],custom-user,https://github.com/jcugat/django-custom-user,https://github.com/jcugat/django-custom-user,BSD-3-Clause,2013-04-09 11:08:02,2023-02-15 19:27:54,2022-12-09 23:59:04,116.0,,60.0,17.0,58.0,1.0,23.0,317.0,,,,Custom user model for Django with the same behaviour as the default User class but with email instead of username.,282.0,282.0,12.0,https://pypi.org/project/django-custom-user,9804.0,9804.0,19,True,2.0,,,,,,
149,silver,silverapp/silver,silver,[],payment-subscriptions,https://github.com/silverapp/silver,https://github.com/silverapp/silver,,2014-10-07 11:39:38,2025-01-21 10:45:12,2025-01-21 10:45:07,1863.0,4.0,76.0,22.0,310.0,51.0,337.0,304.0,,,,Automated billing and payments for Django with a REST API.,11.0,11.0,24.0,https://pypi.org/project/silver,303.0,303.0,19,True,2.0,,,,,,
150,django-rich,adamchainz/django-rich,django-rich,[],management-commands,https://github.com/adamchainz/django-rich,https://github.com/adamchainz/django-rich,MIT,2021-11-25 12:48:29,2025-02-19 12:08:55,2025-02-19 12:08:53,301.0,16.0,10.0,5.0,236.0,4.0,9.0,127.0,,,,Extensions for using Rich with Django.,175.0,175.0,6.0,https://pypi.org/project/django-rich,80485.0,80485.0,19,True,3.0,,,,,,
