,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,github_release_downloads,trending,updated_github_id,new_addition,gitlab_id,gitlab_url
0,pydantic,pydantic/pydantic,pydantic,[],pydantic-integration,https://github.com/pydantic/pydantic,https://github.com/pydantic/pydantic,MIT,2017-05-03 21:23:58,2023-08-23 18:42:09,2023-08-23 18:42:07,2398.0,532.0,1328.0,97.0,2915.0,338.0,2634.0,15387,2023-08-23 18:25:22,2.2.2,100.0,Data validation using Python type hints.,241328.0,241328.0,399.0,https://pypi.org/project/pydantic,92503451.0,92503451.0,45,True,1,,,,,,
1,celery,celery/celery,celery,[],task-queues,https://github.com/celery/celery,https://github.com/celery/celery,,2009-04-24 11:31:24,2023-08-22 12:46:33,2023-08-22 12:46:33,12286.0,84.0,4354.0,481.0,3023.0,567.0,4333.0,22052,2023-06-18 14:18:25,5.3.1,42.0,Distributed Task Queue (development branch).,109462.0,109462.0,1300.0,https://pypi.org/project/celery,7422557.0,7422557.0,44,True,1,,,,,,
2,django-rest-framework,encode/django-rest-framework,django-rest-framework,[],restful-api-drf,https://github.com/encode/django-rest-framework,https://github.com/encode/django-rest-framework,,2011-03-02 17:13:56,2023-08-23 12:39:45,2023-08-17 10:21:03,8712.0,28.0,6443.0,617.0,4563.0,68.0,3766.0,26179,2022-11-08 10:37:57,3.14.0,17.0,Web APIs for Django.,550249.0,550249.0,1376.0,https://pypi.org/project/django-rest-framework,101508.0,101508.0,41,True,1,,,,,,
3,django-cms,django-cms/django-cms,django-cms,[],cms-framework,https://github.com/django-cms/django-cms,https://github.com/django-cms/django-cms,BSD-3-Clause,2009-03-05 10:14:18,2023-08-23 14:27:19,2023-08-23 12:24:42,16207.0,12.0,2868.0,404.0,4148.0,96.0,3342.0,9462,2023-06-21 19:24:02,3.8.2,9.0,The easy-to-use and developer-friendly enterprise CMS powered by Django.,4944.0,4944.0,629.0,https://pypi.org/project/django-cms,44734.0,44734.0,39,True,1,,,,,,
4,wagtail,wagtail/wagtail,wagtail,[],cms-framework,https://github.com/wagtail/wagtail,https://github.com/wagtail/wagtail,BSD-3-Clause,2014-02-03 12:41:59,2023-08-23 16:56:37,2023-08-22 16:14:44,15749.0,524.0,3207.0,336.0,6072.0,833.0,3670.0,15311,2023-08-14 14:32:51,5.1.1,100.0,A Django content management system focused on flexibility and user experience.,6.0,6.0,828.0,https://pypi.org/project/wagtail,163423.0,163423.0,37,True,3,,,,,,
5,rq,rq/rq,rq,[],task-queues,https://github.com/rq/rq,https://github.com/rq/rq,,2011-11-14 10:53:48,2023-08-17 07:01:01,2023-08-17 01:44:46,1795.0,18.0,1338.0,209.0,844.0,148.0,925.0,9067,2023-06-21 01:53:02,1.15.1,27.0,Simple job queues for Python.,14314.0,14314.0,298.0,https://pypi.org/project/rq,1016866.0,1016866.0,37,True,2,,,,,,
6,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,MIT,2015-09-24 09:18:18,2023-08-22 18:45:41,2023-07-26 07:43:40,1753.0,10.0,790.0,146.0,531.0,100.0,874.0,7759,2023-07-26 06:47:55,3.3.0,59.0,GraphQL framework for Python.,18505.0,18505.0,205.0,https://pypi.org/project/graphene,1810434.0,1810434.0,37,True,1,,,,,,
7,django-extensions,django-extensions/django-extensions,django-extensions,[],management-commands,https://github.com/django-extensions/django-extensions,https://github.com/django-extensions/django-extensions,MIT,2009-03-21 16:11:19,2023-06-05 17:10:32,2023-06-05 17:09:24,3620.0,8.0,1096.0,103.0,963.0,150.0,719.0,6187,2023-06-07 11:23:14,3.2.3,5.0,This is a repository for collecting global custom management extensions for the Django Framework.,185176.0,185176.0,573.0,https://pypi.org/project/django-extensions,2819029.0,2819029.0,37,True,1,,,,,,
8,django-simple-history,jazzband/django-simple-history,django-simple-history,[],fields-versioning,https://github.com/jazzband/django-simple-history,https://github.com/jazzband/django-simple-history,BSD-3-Clause,2011-03-06 22:42:19,2023-08-22 19:08:25,2023-08-22 19:08:17,1280.0,60.0,421.0,40.0,710.0,121.0,401.0,1927,2023-08-17 22:55:48,3.4.0,35.0,Store model history and view/revert changes from admin site.,4349.0,4349.0,175.0,https://pypi.org/project/django-simple-history,1100880.0,1100880.0,37,True,1,,,,,,
9,django-debug-toolbar,jazzband/django-debug-toolbar,django-debug-toolbar,[],debugging,https://github.com/jazzband/django-debug-toolbar,https://github.com/jazzband/django-debug-toolbar,BSD-3-Clause,2008-08-28 06:58:04,2023-08-21 20:19:58,2023-08-20 18:26:39,2530.0,23.0,892.0,109.0,968.0,69.0,788.0,7608,2023-08-11 01:35:07,4.2,15.0,A configurable set of panels that display various debug information about the current request/response.,75976.0,75976.0,274.0,https://pypi.org/project/django-debug-toolbar,2090409.0,2090410.0,36,True,1,212.0,,,,,
10,django-import-export,django-import-export/django-import-export,django-import-export,[],admin-interface-actions,https://github.com/django-import-export/django-import-export,https://github.com/django-import-export/django-import-export,BSD-2-Clause,2012-11-15 13:12:22,2023-08-19 11:20:18,2023-07-20 15:21:48,1348.0,3.0,708.0,66.0,674.0,86.0,829.0,2736,2023-04-12 18:09:24,3.2.0,11.0,Django application and library for importing and exporting data with admin integration.,68800.0,68800.0,200.0,https://pypi.org/project/django-import-export,893423.0,893423.0,36,True,1,,,,,,
11,django-oscar,django-oscar/django-oscar,django-oscar,[],ecommerce-framework,https://github.com/django-oscar/django-oscar,https://github.com/django-oscar/django-oscar,BSD-3-Clause,2010-12-08 21:30:32,2023-08-23 13:41:28,2023-07-14 11:53:30,8933.0,28.0,2050.0,268.0,2674.0,75.0,1388.0,5832,2022-12-23 15:54:06,3.2,5.0,Domain-driven e-commerce for Django.,1012.0,1012.0,349.0,https://pypi.org/project/django-oscar,13591.0,13591.0,35,True,1,,,,,,
