,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,github_release_downloads,trending,updated_github_id,new_addition,gitlab_id,gitlab_url
0,pydantic,pydantic/pydantic,pydantic,[],pydantic-integration,https://github.com/pydantic/pydantic,https://github.com/pydantic/pydantic,MIT,2017-05-03 21:23:58,2023-09-29 16:03:18,2023-09-29 13:23:03,2514.0,363.0,1367.0,99.0,3076.0,340.0,2840.0,15830,2023-09-27 17:38:44,2.4.2,100.0,Data validation using Python type hints.,259904.0,259904.0,415.0,https://pypi.org/project/pydantic,111154180.0,111154180.0,45,True,1,,,,,,
1,celery,celery/celery,celery,[],task-queues,https://github.com/celery/celery,https://github.com/celery/celery,,2009-04-24 11:31:24,2023-09-29 15:44:01,2023-09-25 15:16:06,12329.0,74.0,4372.0,475.0,3072.0,577.0,4347.0,22275,2023-09-03 20:03:56,5.3.4,43.0,Distributed Task Queue (development branch).,112247.0,112247.0,1309.0,https://pypi.org/project/celery,7449539.0,7449539.0,44,True,1,,,,,,
2,django-rest-framework,encode/django-rest-framework,django-rest-framework,[],restful-api-drf,https://github.com/encode/django-rest-framework,https://github.com/encode/django-rest-framework,,2011-03-02 17:13:56,2023-09-29 15:33:51,2023-09-29 09:06:16,8716.0,18.0,6498.0,632.0,4586.0,68.0,3769.0,26417,2022-11-08 10:37:57,3.14.0,17.0,Web APIs for Django.,570059.0,570059.0,1377.0,https://pypi.org/project/django-rest-framework,106463.0,106463.0,41,True,1,,,,,,
3,django-cms,django-cms/django-cms,django-cms,[],cms-framework,https://github.com/django-cms/django-cms,https://github.com/django-cms/django-cms,BSD-3-Clause,2009-03-05 10:14:18,2023-09-26 04:55:25,2023-09-22 08:18:18,16212.0,12.0,2886.0,406.0,4168.0,101.0,3342.0,9515,2023-09-08 06:28:31,3.11.4,11.0,The easy-to-use and developer-friendly enterprise CMS powered by Django.,4979.0,4979.0,633.0,https://pypi.org/project/django-cms,68396.0,68396.0,40,True,1,,,,,,
4,django-extensions,django-extensions/django-extensions,django-extensions,[],management-commands,https://github.com/django-extensions/django-extensions,https://github.com/django-extensions/django-extensions,MIT,2009-03-21 16:11:19,2023-09-22 18:53:06,2023-06-05 17:09:24,3620.0,,1103.0,103.0,965.0,154.0,719.0,6212,2023-06-07 11:23:14,3.2.3,5.0,This is a repository for collecting global custom management extensions for the Django Framework.,193294.0,193294.0,573.0,https://pypi.org/project/django-extensions,2935474.0,2935474.0,38,True,1,,,,,,
5,wagtail,wagtail/wagtail,wagtail,[],cms-framework,https://github.com/wagtail/wagtail,https://github.com/wagtail/wagtail,BSD-3-Clause,2014-02-03 12:41:59,2023-09-30 13:28:36,2023-09-29 06:41:14,15972.0,499.0,3281.0,335.0,6170.0,844.0,3707.0,15835,2023-09-28 11:40:20,4.1.8,100.0,A Django content management system focused on flexibility and user experience.,6.0,6.0,838.0,https://pypi.org/project/wagtail,171367.0,171367.0,37,True,3,,,,,,
6,django-debug-toolbar,jazzband/django-debug-toolbar,django-debug-toolbar,[],debugging,https://github.com/jazzband/django-debug-toolbar,https://github.com/jazzband/django-debug-toolbar,BSD-3-Clause,2008-08-28 06:58:04,2023-09-26 05:30:36,2023-09-26 05:30:36,2535.0,17.0,895.0,110.0,973.0,71.0,791.0,7631,2023-08-11 01:35:07,4.2,15.0,A configurable set of panels that display various debug information about the current request/response.,77628.0,77628.0,277.0,https://pypi.org/project/django-debug-toolbar,2132797.0,2132798.0,37,True,1,212.0,,,,,
7,django-import-export,django-import-export/django-import-export,django-import-export,[],admin-interface-actions,https://github.com/django-import-export/django-import-export,https://github.com/django-import-export/django-import-export,BSD-2-Clause,2012-11-15 13:12:22,2023-09-30 23:01:32,2023-09-30 23:01:32,1375.0,30.0,712.0,66.0,696.0,52.0,874.0,2756,2023-09-14 14:15:35,3.3.1,14.0,Django application and library for importing and exporting data with admin integration.,75826.0,75826.0,202.0,https://pypi.org/project/django-import-export,802213.0,802213.0,37,True,1,,,,,,
8,django-simple-history,jazzband/django-simple-history,django-simple-history,[],fields-versioning,https://github.com/jazzband/django-simple-history,https://github.com/jazzband/django-simple-history,BSD-3-Clause,2011-03-06 22:42:19,2023-09-28 17:40:24,2023-09-28 17:40:17,1304.0,75.0,426.0,40.0,732.0,112.0,422.0,1953,2023-08-17 22:55:48,3.4.0,35.0,Store model history and view/revert changes from admin site.,4467.0,4467.0,179.0,https://pypi.org/project/django-simple-history,1026408.0,1026408.0,37,True,1,,,,,,
9,rq,rq/rq,rq,[],task-queues,https://github.com/rq/rq,https://github.com/rq/rq,,2011-11-14 10:53:48,2023-09-30 06:10:31,2023-09-23 10:35:29,1796.0,7.0,1339.0,208.0,852.0,156.0,928.0,9138,2023-06-21 01:53:02,1.15.1,27.0,Simple job queues for Python.,14599.0,14599.0,299.0,https://pypi.org/project/rq,1307052.0,1307052.0,36,True,2,,-1.0,,,,
