,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,updated_github_id,github_release_downloads,new_addition,trending,gitlab_id,gitlab_url
116,django-mailbox,coddingtonbear/django-mailbox,django-mailbox,[],emails,https://github.com/coddingtonbear/django-mailbox,https://github.com/coddingtonbear/django-mailbox,MIT,2012-06-27 15:58:50,2025-01-11 12:47:24,2025-01-11 12:47:24,549.0,2.0,160.0,22.0,135.0,21.0,139.0,364,,,,"Import mail from POP3, IMAP, local email mailboxes or directly from Postfix or Exim4 into your Django application..",211.0,211.0,55.0,https://pypi.org/project/django-mailbox,9731.0,9731.0,23,True,3.0,,,,,,
117,django-loci,openwisp/django-loci,django-loci,[],fields-addresses,https://github.com/openwisp/django-loci,https://github.com/openwisp/django-loci,BSD-3-Clause,2017-11-12 15:46:45,2025-02-06 21:36:14,2025-02-06 21:35:59,292.0,12.0,44.0,10.0,112.0,2.0,39.0,185,2025-01-27 18:16:39,1.1.2,18.0,Reusable Django app for storing geographic and indoor coordinates. Maintained by the OpenWISP Project.,15.0,15.0,30.0,https://pypi.org/project/django-loci,1677.0,1677.0,23,True,2.0,,,,,,
118,wemake-django-template,wemake-services/wemake-django-template,,[],reusable-app-templates,https://github.com/wemake-services/wemake-django-template,https://github.com/wemake-services/wemake-django-template,MIT,2017-09-14 09:23:23,2025-02-10 17:05:51,2025-02-10 17:05:49,2629.0,68.0,216.0,35.0,2235.0,26.0,514.0,2048,2023-09-05 07:57:33,goodbye-3.9,3.0,Bleeding edge django template focused on code quality and security.,,,50.0,,,,22,True,1.0,,,,,,
119,django-getpaid,django-getpaid/django-getpaid,django-getpaid,[],payment-subscriptions,https://github.com/django-getpaid/django-getpaid,https://github.com/django-getpaid/django-getpaid,MIT,2012-07-15 15:11:34,2021-12-12 18:31:41,2021-12-12 18:31:33,405.0,,107.0,21.0,93.0,3.0,58.0,441,2020-04-19 09:05:46,2.0.0,6.0,Django payments processor.,49.0,49.0,30.0,https://pypi.org/project/django-getpaid,4307.0,4307.0,22,True,2.0,,,,,,
120,django-slack,lamby/django-slack,django-slack,[],messaging,https://github.com/lamby/django-slack,https://github.com/lamby/django-slack,BSD-3-Clause,2014-12-10 20:34:18,2024-05-10 15:34:04,2024-05-10 15:34:04,273.0,,55.0,8.0,54.0,9.0,54.0,242,,,,"Slack integration for Django, using the templating engine to generate messages.",429.0,429.0,29.0,https://pypi.org/project/django-slack,84397.0,84397.0,22,True,1.0,,,,,,
121,django-allauth-2fa,valohai/django-allauth-2fa,django-allauth-2fa,[],authentication-authorization,https://github.com/valohai/django-allauth-2fa,https://github.com/valohai/django-allauth-2fa,,2015-04-04 12:31:29,2025-02-10 19:37:41,2025-01-16 06:47:14,395.0,2.0,49.0,11.0,130.0,13.0,61.0,218,2025-01-16 06:52:15,0.12.0,4.0,Two-factor authentication for Django Allauth.,238.0,238.0,32.0,https://pypi.org/project/django-allauth-2fa,56428.0,56428.0,22,True,3.0,,28.0,,,,
122,django-minio-storage,py-pa/django-minio-storage,django-minio-storage,[],storage,https://github.com/py-pa/django-minio-storage,https://github.com/py-pa/django-minio-storage,MIT,2016-07-11 10:36:18,2024-03-25 08:58:28,2023-12-19 06:54:50,227.0,,54.0,7.0,59.0,12.0,71.0,155,2023-08-30 20:53:31,0.5.7,8.0,A django storage driver for minio.,325.0,325.0,18.0,https://pypi.org/project/django-minio-storage,24799.0,24799.0,22,True,3.0,,,,,,
123,django-bootstrap-v5,zelenij/django-bootstrap-v5,django-bootstrap-v5,[],mvt-bootstrap-css-framework-integration,https://github.com/zelenij/django-bootstrap-v5,https://github.com/zelenij/django-bootstrap-v5,BSD-3-Clause,2020-12-10 11:47:38,2024-02-01 02:40:27,2024-01-07 14:31:05,937.0,,42.0,5.0,12.0,8.0,16.0,103,,,,Bootstrap 5 integration with Django.,9571.0,9571.0,138.0,https://pypi.org/project/django-bootstrap-v5,61498.0,61498.0,22,True,3.0,,,,,,
124,librephotos,LibrePhotos/librephotos,,[],photo-management-framework,https://github.com/LibrePhotos/librephotos,https://github.com/LibrePhotos/librephotos,MIT,2020-11-11 23:08:19,2025-02-07 02:46:37,2025-02-07 02:45:52,2187.0,55.0,317.0,61.0,637.0,271.0,613.0,7134,,,,A self-hosted open source photo management service. This is the repository of the backend.,,,77.0,,,,21,True,1.0,,,,,,
125,Gerapy,Gerapy/Gerapy,,[],crawler-management-system,https://github.com/Gerapy/Gerapy,https://github.com/Gerapy/Gerapy,MIT,2017-06-30 03:58:27,2024-10-29 22:08:29,2024-09-07 00:49:42,631.0,,638.0,125.0,100.0,65.0,150.0,3388,2023-07-19 18:55:56,0.9.13,16.0,"Distributed Crawler Management Framework Based on Scrapy, Scrapyd, Django and Vue.js.",147.0,147.0,17.0,,,,21,True,1.0,,,,,,
