,name,homepage,resource,labels,category,description,projectrank,show,github_id,pypi_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank_placing,updated_github_id,github_release_downloads,trending,gitlab_id,gitlab_url
0,Codefresh GitOps Platform,https://codefresh.io/,True,[],k8s-cicd-saas,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Garden Cloud,https://app.garden.io/login,True,[],k8s-cicd-saas,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,atatus APM,https://www.atatus.com/application-monitoring/,True,[],aps,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,CheckMK Cloud SaaS,https://checkmk.com/product/checkmk-cloud-saas,True,[],aps,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,DataDog APM,https://www.datadoghq.com/product/apm/,True,[],aps,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Honeycomb Observability Platform,https://www.honeycomb.io/platform,True,[],aps,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Pydantic Logfire,https://pydantic.dev/logfire,True,[],aps,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Paessler Application Monitoring,https://www.paessler.com/application-monitoring,True,[],aps,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Scout APM,https://www.scoutapm.com/,True,[],aps,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Sentry APM,https://sentry.io/for/performance/,True,[],aps,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Solarwinds Observability SaaS,https://www.solarwinds.com/solarwinds-observability,True,[],aps,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,pydantic,https://github.com/pydantic/pydantic,,[],pydantic-integration,Data validation using Python type hints.,46,True,pydantic/pydantic,pydantic,https://github.com/pydantic/pydantic,MIT,2017-05-03 21:23:58,2025-10-30 17:37:41,2025-10-30 15:32:06,3747.0,108.0,2268.0,133.0,4666.0,499.0,4910.0,25614.0,2025-10-17 15:03:32,2.12.3,100.0,918539.0,918539.0,652.0,https://pypi.org/project/pydantic,525360907.0,525360907.0,1.0,,,,,
12,celery,https://github.com/celery/celery,,[],task-queues,Distributed Task Queue (development branch).,45,True,celery/celery,celery,https://github.com/celery/celery,,2009-04-24 11:31:24,2025-10-31 22:09:12,2025-10-29 09:55:06,12926.0,67.0,4735.0,455.0,3712.0,677.0,4497.0,27458.0,2025-06-01 11:08:20,5.5.3,63.0,181526.0,181526.0,1445.0,https://pypi.org/project/celery,29165026.0,29165026.0,1.0,,,,,
13,django-rest-framework,https://github.com/encode/django-rest-framework,,[],restful-api-drf,Web APIs for Django.,42,True,encode/django-rest-framework,django-rest-framework,https://github.com/encode/django-rest-framework,,2011-03-02 17:13:56,2025-10-30 18:02:25,2025-10-30 18:02:24,8912.0,38.0,6892.0,609.0,4855.0,44.0,3901.0,29626.0,2025-08-06 17:56:01,3.16.1,21.0,850949.0,850949.0,1459.0,https://pypi.org/project/django-rest-framework,150137.0,150137.0,1.0,,,,,
14,wagtail,https://github.com/wagtail/wagtail,,[],cms-framework,A Django content management system focused on flexibility and user experience.,42,True,wagtail/wagtail,wagtail,https://github.com/wagtail/wagtail,BSD-3-Clause,2014-02-03 12:41:59,2025-10-29 20:34:38,2025-10-29 20:34:06,19416.0,221.0,4152.0,334.0,7680.0,855.0,4538.0,19763.0,2025-10-23 16:08:51,7.1.2,100.0,11729.0,11729.0,1027.0,https://pypi.org/project/wagtail,409372.0,409372.0,1.0,,,,,
15,django-cms,https://github.com/django-cms/django-cms,,[],cms-framework,The easy-to-use and developer-friendly enterprise CMS powered by Django.,40,True,django-cms/django-cms,django-cms,https://github.com/django-cms/django-cms,BSD-3-Clause,2009-03-05 10:14:18,2025-10-31 17:10:27,2025-10-31 17:10:19,16351.0,40.0,3115.0,386.0,4682.0,25.0,3584.0,10575.0,2025-10-03 18:56:00,5.0.4,33.0,5482.0,5482.0,592.0,https://pypi.org/project/django-cms,91738.0,91738.0,3.0,,,,,
