,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,updated_github_id,github_release_downloads,trending,gitlab_id,gitlab_url
14,pytest-django,pytest-dev/pytest-django,pytest-django,[],testing,https://github.com/pytest-dev/pytest-django,https://github.com/pytest-dev/pytest-django,,2011-09-29 19:35:55,2025-02-10 14:52:09,2025-02-10 14:48:47,1301.0,12.0,338.0,40.0,629.0,158.0,388.0,1421.0,2025-02-10 14:56:10,4.10.0,24.0,A Django plugin for pytest.,86544.0,86544.0,153.0,https://pypi.org/project/pytest-django,5293806.0,5293806.0,37,True,1.0,,,,,
15,django-storages,jschneier/django-storages,django-storages,[],storage,https://github.com/jschneier/django-storages,https://github.com/jschneier/django-storages,BSD-3-Clause,2014-12-09 00:37:09,2025-02-18 15:55:40,2025-02-18 15:55:39,1157.0,10.0,822.0,42.0,759.0,104.0,626.0,2802.0,,,,https://django-storages.readthedocs.io/.,194146.0,194146.0,278.0,https://pypi.org/project/django-storages,4871328.0,4871328.0,36,True,1.0,,,,,
16,django-simple-history,jazzband/django-simple-history,django-simple-history,[],fields-versioning,https://github.com/jazzband/django-simple-history,https://github.com/jazzband/django-simple-history,BSD-3-Clause,2011-03-06 22:42:19,2025-02-19 17:38:28,2025-02-16 14:24:43,1400.0,16.0,466.0,44.0,854.0,145.0,456.0,2277.0,2025-01-26 23:57:27,3.9.0,40.0,Store model history and view/revert changes from admin site.,6307.0,6307.0,186.0,https://pypi.org/project/django-simple-history,1704857.0,1704857.0,36,True,1.0,,,,,
17,structlog,hynek/structlog,structlog,[],logging,https://github.com/hynek/structlog,https://github.com/hynek/structlog,,2013-08-13 15:55:58,2025-02-19 09:47:36,2025-02-19 09:47:36,1685.0,39.0,232.0,34.0,345.0,30.0,324.0,3789.0,2025-01-16 13:03:28,25.1.0,17.0,"Simple, powerful, and fast logging for Python.",16960.0,16960.0,128.0,https://pypi.org/project/structlog,37052863.0,37052863.0,35,True,2.0,,,,,
18,ariadne,mirumee/ariadne,ariadne,[],graphql-api,https://github.com/mirumee/ariadne,https://github.com/mirumee/ariadne,BSD-3-Clause,2018-07-09 09:46:17,2025-02-19 14:59:05,2025-02-19 14:57:10,1979.0,106.0,183.0,40.0,681.0,34.0,287.0,2239.0,2025-02-19 15:03:04,0.26.1,50.0,Python library for implementing GraphQL servers using schema-first approach.,1811.0,1811.0,84.0,https://pypi.org/project/ariadne,548140.0,548140.0,35,True,2.0,,26.0,,,
19,JumpServer (Community Edition),jumpserver/jumpserver,,[],pam-framework,https://github.com/jumpserver/jumpserver,https://github.com/jumpserver/jumpserver,GPL-3.0,2014-07-04 03:54:59,2025-02-21 09:46:58,2025-02-21 09:46:56,11955.0,143.0,5316.0,657.0,7903.0,37.0,6898.0,26115.0,2025-02-20 08:00:58,4.7.0,100.0,An open-source PAM tool alternative to CyberArk.,21.0,21.0,171.0,,,3046.0,34,True,1.0,,91380.0,,,
20,DefectDojo,DefectDojo/django-DefectDojo,,[],security-framework,https://github.com/DefectDojo/django-DefectDojo,https://github.com/DefectDojo/django-DefectDojo,BSD-3-Clause,2015-02-19 17:53:47,2025-02-22 09:25:23,2025-02-21 20:20:36,11577.0,367.0,1570.0,210.0,8718.0,342.0,2581.0,3888.0,2025-02-18 15:40:49,2.43.3,100.0,"DevSecOps, ASPM, Vulnerability Management. All on one platform.",,,496.0,,,16598.0,34,True,1.0,,315363.0,,,
21,django-guardian,django-guardian/django-guardian,django-guardian,[],authentication-authorization,https://github.com/django-guardian/django-guardian,https://github.com/django-guardian/django-guardian,,2010-06-04 23:15:37,2025-02-02 10:22:34,2025-02-02 10:22:33,1174.0,66.0,549.0,78.0,372.0,116.0,353.0,3693.0,2025-01-24 09:03:29,2.0.0,6.0,Per object permissions for Django.,7224.0,7224.0,171.0,https://pypi.org/project/django-guardian,370249.0,370249.0,34,True,1.0,,,,,
22,django-oauth-toolkit,jazzband/django-oauth-toolkit,django-oauth-toolkit,[],authentication-authorization,https://github.com/jazzband/django-oauth-toolkit,https://github.com/jazzband/django-oauth-toolkit,,2013-05-20 15:46:18,2025-02-10 18:47:49,2025-02-10 18:47:45,1419.0,16.0,761.0,68.0,679.0,183.0,683.0,3208.0,2024-09-07 14:10:46,3.0.1,29.0,OAuth2 goodies for the Djangonauts!.,10863.0,10863.0,267.0,https://pypi.org/project/django-oauth-toolkit,965878.0,965878.0,34,True,1.0,,,,,
23,django-environ,joke2k/django-environ,django-environ,[],configuration,https://github.com/joke2k/django-environ,https://github.com/joke2k/django-environ,MIT,2013-04-02 13:50:07,2025-02-03 17:12:03,2025-01-13 15:27:06,678.0,1.0,312.0,37.0,299.0,65.0,191.0,3054.0,2025-01-16 22:05:33,0.12.0,20.0,Django-environ allows you to utilize 12factor inspired environment variables to configure your Django application.,248223.0,248223.0,97.0,https://pypi.org/project/django-environ,3195582.0,3195583.0,34,True,1.0,,144.0,,,
24,whitenoise,evansd/whitenoise,whitenoise,[],static-file-serving,https://github.com/evansd/whitenoise,https://github.com/evansd/whitenoise,MIT,2013-08-08 11:02:06,2025-02-19 12:16:45,2025-02-19 12:08:59,869.0,15.0,148.0,25.0,389.0,25.0,219.0,2597.0,,,,Radically simplified static file serving for Python web apps.,479987.0,479987.0,69.0,https://pypi.org/project/whitenoise,4016023.0,4016023.0,34,True,1.0,,,,,
25,django-jazzmin,farridav/django-jazzmin,django-jazzmin,[],admin-interface,https://github.com/farridav/django-jazzmin,https://github.com/farridav/django-jazzmin,MIT,2020-05-11 19:50:44,2025-01-14 22:34:10,2025-01-11 13:37:30,1132.0,31.0,288.0,37.0,320.0,119.0,168.0,1698.0,2024-10-08 17:40:29,3.0.1,32.0,Jazzy theme for Django.,14941.0,14941.0,76.0,https://pypi.org/project/django-jazzmin,280069.0,280069.0,34,True,1.0,,,,,
26,saleor,saleor/saleor,saleor,[],ecommerce-framework,https://github.com/saleor/saleor,https://github.com/saleor/saleor,BSD-3-Clause,2013-02-12 16:46:39,2025-02-21 15:54:43,2025-02-21 12:24:36,21769.0,112.0,5448.0,375.0,11664.0,294.0,4050.0,21151.0,2025-02-20 09:15:50,3.20.71,100.0,"Saleor Core: the high performance, composable, headless commerce API.",6.0,6.0,303.0,https://pypi.org/project/saleor,39.0,152.0,33,True,2.0,,679.0,,,
27,django-reversion,etianen/django-reversion,django-reversion,[],fields-versioning,https://github.com/etianen/django-reversion,https://github.com/etianen/django-reversion,BSD-3-Clause,2010-05-31 15:32:25,2024-08-09 21:29:48,2024-08-09 21:29:45,1546.0,,460.0,56.0,318.0,17.0,635.0,3077.0,2024-08-09 21:30:11,5.1.0,17.0,django-reversion is an extension to the Django web framework that provides version control for model instances.,7662.0,7662.0,193.0,https://pypi.org/project/django-reversion,629153.0,629153.0,33,True,2.0,,,,,
28,django-admin-interface,fabiocaccamo/django-admin-interface,django-admin-interface,[],admin-interface,https://github.com/fabiocaccamo/django-admin-interface,https://github.com/fabiocaccamo/django-admin-interface,MIT,2015-10-26 14:46:36,2025-02-21 13:58:57,2025-02-21 13:58:55,930.0,10.0,171.0,32.0,197.0,10.0,199.0,1886.0,2025-01-17 19:52:23,0.29.4,68.0,"djangos default admin interface with superpowers - customizable themes, popup windows replaced by modals and many..",4838.0,4838.0,39.0,https://pypi.org/project/django-admin-interface,171618.0,171618.0,33,True,2.0,,,,,
29,django-constance,jazzband/django-constance,django-constance,[],configuration,https://github.com/jazzband/django-constance,https://github.com/jazzband/django-constance,BSD-3-Clause,2010-09-20 12:42:29,2025-02-06 10:27:44,2025-02-04 21:11:22,708.0,20.0,291.0,34.0,310.0,12.0,286.0,1744.0,2025-02-06 10:27:44,4.3.2,14.0,Dynamic Django settings.,2263.0,2263.0,150.0,https://pypi.org/project/django-constance,388662.0,388662.0,33,True,2.0,,,,,
30,dj-stripe,dj-stripe/dj-stripe,dj-stripe,[],payment-subscriptions,https://github.com/dj-stripe/dj-stripe,https://github.com/dj-stripe/dj-stripe,MIT,2013-08-05 15:31:30,2025-02-01 21:48:49,2025-01-07 18:00:54,3334.0,24.0,480.0,31.0,1032.0,63.0,963.0,1682.0,2025-01-12 16:54:39,2.9.0,71.0,dj-stripe automatically syncs your Stripe Data to your local database as pre-implemented Django Models allowing you to..,1147.0,1147.0,129.0,https://pypi.org/project/dj-stripe,117026.0,117026.0,33,True,1.0,,,,,
31,dj-database-url,jazzband/dj-database-url,dj-database-url,[],configuration,https://github.com/jazzband/dj-database-url,https://github.com/jazzband/dj-database-url,BSD-3-Clause,2012-04-30 17:20:23,2025-02-17 17:37:20,2025-02-16 07:53:52,312.0,2.0,199.0,33.0,165.0,4.0,93.0,1501.0,2024-10-23 10:01:03,2.3.0,8.0,Use Database URLs in your Django Application.,296866.0,296866.0,73.0,https://pypi.org/project/dj-database-url,2373651.0,2373651.0,33,True,2.0,,,,,
32,django-phonenumber-field,stefanfoulis/django-phonenumber-field,django-phonenumber-field,[],fields-phone-numbers,https://github.com/stefanfoulis/django-phonenumber-field,https://github.com/stefanfoulis/django-phonenumber-field,MIT,2011-08-31 17:52:05,2025-02-21 08:12:50,2025-02-21 08:12:50,613.0,9.0,298.0,22.0,398.0,8.0,221.0,1501.0,2024-06-24 13:48:07,8.0.0,12.0,A django model and form field for normalised phone numbers using python-phonenumbers.,29926.0,29926.0,114.0,https://pypi.org/project/django-phonenumber-field,1760795.0,1760795.0,33,True,1.0,,33.0,,,
33,django-waffle,django-waffle/django-waffle,django-waffle,[],feature-flipper,https://github.com/jazzband/django-waffle,https://github.com/jazzband/django-waffle,BSD-3-Clause,2011-01-23 17:42:09,2025-02-17 11:37:04,2025-01-22 08:04:46,463.0,10.0,240.0,24.0,332.0,40.0,176.0,1153.0,2024-11-15 17:30:58,4.2.0,25.0,A feature flipper for Django.,1536.0,1536.0,122.0,https://pypi.org/project/django-waffle,781700.0,781700.0,33,True,1.0,jazzband/django-waffle,,,,
34,Paperless-ngx,paperless-ngx/paperless-ngx,,[],document-management-framework,https://github.com/paperless-ngx/paperless-ngx,https://github.com/paperless-ngx/paperless-ngx,GPL-3.0,2022-02-12 21:56:52,2025-02-22 15:27:45,2025-02-22 15:27:44,9948.0,262.0,1457.0,123.0,2771.0,,1854.0,25230.0,2025-01-31 16:20:11,2.14.7,100.0,"A community-supported supercharged version of paperless: scan, index and archive all your physical documents.",,,390.0,,,4907.0,32,True,1.0,,142306.0,,,
35,netbox,netbox-community/netbox,,[],network-automation-system,https://github.com/netbox-community/netbox,https://github.com/netbox-community/netbox,Apache-2.0,2016-02-29 14:15:46,2025-02-21 21:52:31,2025-02-21 20:34:15,13519.0,191.0,2621.0,412.0,3465.0,356.0,10444.0,16934.0,2025-02-21 20:36:02,4.2.4,100.0,The premier source of truth powering network automation. Open source under Apache 2. Try NetBox Cloud free:..,,,395.0,,,,32,True,1.0,,,,,
36,transitions,pytransitions/transitions,transitions,[],finite-state-machine,https://github.com/pytransitions/transitions,https://github.com/pytransitions/transitions,MIT,2014-10-12 20:59:09,2024-08-23 09:02:43,2024-08-13 12:28:13,1100.0,,520.0,99.0,192.0,10.0,432.0,5925.0,2024-08-06 13:42:45,0.9.2,32.0,"A lightweight, object-oriented finite state machine implementation in Python with many extensions.",3897.0,3897.0,77.0,https://pypi.org/project/transitions,804906.0,804906.0,32,True,1.0,,,,,
37,graphene-django,graphql-python/graphene-django,graphene-django,[],graphql-api,https://github.com/graphql-python/graphene-django,https://github.com/graphql-python/graphene-django,MIT,2016-09-17 23:26:25,2025-02-17 07:14:53,2024-12-27 05:46:47,969.0,1.0,739.0,70.0,636.0,145.0,682.0,4336.0,2024-06-12 02:55:27,3.2.2,52.0,"Build powerful, efficient, and flexible GraphQL APIs with seamless Django integration.",15657.0,15657.0,224.0,https://pypi.org/project/graphene-django,591308.0,591308.0,32,True,2.0,,,,,
38,django-bootstrap3,zostera/django-bootstrap3,django-bootstrap3,[],mvt-bootstrap-css-framework-integration,https://github.com/zostera/django-bootstrap3,https://github.com/zostera/django-bootstrap3,BSD-3-Clause,2013-08-13 13:48:04,2025-01-27 10:12:45,2024-12-11 09:07:59,1149.0,12.0,670.0,103.0,763.0,,297.0,2342.0,,,,Bootstrap 3 integration with Django.,19303.0,19303.0,100.0,https://pypi.org/project/django-bootstrap3,130951.0,130951.0,32,True,1.0,,,,,
39,social-app-django,python-social-auth/social-app-django,social-app-django,[],authentication-authorization,https://github.com/python-social-auth/social-app-django,https://github.com/python-social-auth/social-app-django,BSD-3-Clause,2016-09-24 18:06:40,2025-02-20 16:16:43,2025-02-20 16:16:41,2447.0,45.0,373.0,33.0,331.0,128.0,173.0,2057.0,2025-02-13 13:07:15,5.4.3,8.0,Python Social Auth - Application - Django.,48722.0,48722.0,333.0,https://pypi.org/project/social-app-django,,,32,True,2.0,,,,,
40,django-celery-beat,celery/django-celery-beat,django-celery-beat,[],task-queues,https://github.com/celery/django-celery-beat,https://github.com/celery/django-celery-beat,,2016-08-03 22:34:19,2025-02-17 16:54:03,2025-02-17 16:54:00,452.0,14.0,423.0,45.0,367.0,104.0,321.0,1755.0,2024-08-21 10:01:33,2.7.0,16.0,Celery Periodic Tasks backed by the Django ORM.,25420.0,25420.0,132.0,https://pypi.org/project/django-celery-beat,2366828.0,2366828.0,32,True,3.0,,,,,
41,django-anymail,anymail/django-anymail,django-anymail,[],emails,https://github.com/anymail/django-anymail,https://github.com/anymail/django-anymail,BSD-3-Clause,2016-03-10 02:55:09,2025-02-22 19:14:49,2025-02-22 19:14:45,924.0,12.0,132.0,23.0,162.0,4.0,228.0,1721.0,2024-09-09 19:29:32,12.0,60.0,"Django email backends and webhooks for Amazon SES, Brevo (Sendinblue), MailerSend, Mailgun, Mailjet, Postmark, Postal,..",7233.0,7233.0,67.0,https://pypi.org/project/django-anymail,840772.0,840773.0,32,True,1.0,,161.0,,,
42,django-bootstrap4,zostera/django-bootstrap4,django-bootstrap4,[],mvt-bootstrap-css-framework-integration,https://github.com/zostera/django-bootstrap4,https://github.com/zostera/django-bootstrap4,BSD-3-Clause,2017-04-25 15:55:15,2025-01-27 09:58:09,2024-12-11 07:36:02,1275.0,4.0,215.0,37.0,644.0,17.0,144.0,1026.0,2021-05-20 08:44:02,3.0.1,2.0,Bootstrap 4 integration with Django.,169758.0,169758.0,139.0,https://pypi.org/project/django-bootstrap4,201153.0,201153.0,32,True,1.0,,,,,
43,logfire,pydantic/logfire,logfire,[],apm,https://github.com/pydantic/logfire,https://github.com/pydantic/logfire,MIT,2024-04-23 11:50:23,2025-02-22 12:58:43,2025-02-22 12:56:15,1131.0,178.0,94.0,14.0,614.0,84.0,180.0,2722.0,2025-02-22 12:58:43,3.6.2,79.0,Uncomplicated Observability for Python and beyond!.,743.0,743.0,47.0,https://pypi.org/project/logfire,270808.0,270808.0,31,True,1.0,,,,,
44,django-rq,rq/django-rq,django-rq,[],task-queues,https://github.com/rq/django-rq,https://github.com/rq/django-rq,MIT,2012-05-15 10:21:58,2025-01-14 22:32:19,2025-01-04 01:36:37,656.0,1.0,283.0,26.0,331.0,100.0,263.0,1864.0,2024-11-03 09:14:46,2.10.3,14.0,A simple app that provides django integration for RQ (Redis Queue).,3870.0,3870.0,130.0,https://pypi.org/project/django-rq,342428.0,342428.0,31,True,3.0,,,,,
45,django-two-factor-auth,jazzband/django-two-factor-auth,django-two-factor-auth,[],authentication-authorization,https://github.com/jazzband/django-two-factor-auth,https://github.com/jazzband/django-two-factor-auth,MIT,2012-09-11 13:25:14,2025-02-10 17:45:11,2025-01-10 03:28:47,825.0,4.0,426.0,38.0,372.0,86.0,287.0,1739.0,2023-04-05 21:44:13,1.15.1,34.0,Complete Two-Factor Authentication for Django providing the easiest integration into most Django projects.,1923.0,1923.0,105.0,https://pypi.org/project/django-two-factor-auth,477887.0,477887.0,31,True,2.0,,,,,
46,django-tenants,django-tenants/django-tenants,django-tenants,[],multiple-tenants,https://github.com/django-tenants/django-tenants,https://github.com/django-tenants/django-tenants,MIT,2015-06-09 19:48:59,2025-02-19 10:42:24,2025-02-19 08:48:00,1093.0,24.0,347.0,58.0,355.0,237.0,438.0,1610.0,2024-08-27 13:29:44,3.7.0,48.0,Django tenants using PostgreSQL Schemas.,1091.0,1091.0,114.0,https://pypi.org/project/django-tenants,133433.0,133433.0,31,True,1.0,,,,,
47,django-auditlog,jazzband/django-auditlog,django-auditlog,[],fields-versioning,https://github.com/jazzband/django-auditlog,https://github.com/jazzband/django-auditlog,MIT,2013-10-20 12:10:40,2025-02-19 14:59:33,2025-02-19 14:59:30,541.0,5.0,381.0,25.0,405.0,76.0,220.0,1187.0,2024-04-12 09:55:11,3.0.0,19.0,A Django app that keeps a log of changes made to an object.,1352.0,1352.0,86.0,https://pypi.org/project/django-auditlog,451276.0,451279.0,31,True,2.0,,491.0,,,
48,django-q,Koed00/django-q,django-q,[],task-queues,https://github.com/Koed00/django-q,https://github.com/Koed00/django-q,MIT,2015-06-14 12:37:08,2024-08-13 12:14:42,2021-06-26 12:04:16,1246.0,,236.0,52.0,313.0,279.0,154.0,1856.0,2021-06-10 16:52:14,1.3.9,78.0,A multiprocessing distributed task queue for Django.,1871.0,1871.0,62.0,https://pypi.org/project/django-q,85158.0,85158.0,30,True,3.0,,,,,
49,django-ses,django-ses/django-ses,django-ses,[],emails,https://github.com/django-ses/django-ses,https://github.com/django-ses/django-ses,MIT,2011-01-25 19:41:40,2025-01-31 00:17:08,2025-01-31 00:16:51,384.0,12.0,217.0,17.0,199.0,49.0,101.0,1034.0,2024-11-26 19:17:50,4.3.0,52.0,A Django email backend for Amazons Simple Email Service.,3289.0,3289.0,84.0,https://pypi.org/project/django-ses,703451.0,703451.0,30,True,2.0,,,,,
50,django-ninja,vitalik/django-ninja,django-ninja,[],restful-api-ninja,https://github.com/vitalik/django-ninja,https://github.com/vitalik/django-ninja,MIT,2020-05-19 08:48:53,2025-01-12 12:16:22,2025-01-12 12:16:22,1248.0,27.0,464.0,72.0,383.0,333.0,548.0,7772.0,2024-08-15 09:14:29,1.3.0,43.0,"Fast, Async-ready, Openapi, type hints based framework for building APIs.",,,154.0,https://pypi.org/project/django-ninja,697429.0,697429.0,29,True,1.0,,,,,
51,Open edX,openedx/edx-platform,,[],education-framework,https://github.com/openedx/edx-platform,https://github.com/openedx/edx-platform,AGPL-3.0,2013-05-30 20:20:38,2025-02-21 21:14:06,2025-02-21 19:43:04,66461.0,286.0,3615.0,430.0,35585.0,213.0,456.0,7602.0,2015-03-02 21:13:51,named-release/birch,4.0,"The Open edX LMS & Studio, powering education sites around the world!.",3.0,3.0,1437.0,,,,29,True,1.0,,,,,
52,djangorestframework-simplejwt,jazzband/djangorestframework-simplejwt,djangorestframework-simplejwt,[],restful-api-drf,https://github.com/jazzband/djangorestframework-simplejwt,https://github.com/jazzband/djangorestframework-simplejwt,MIT,2017-05-05 17:41:35,2025-02-21 04:17:26,2025-02-21 04:16:47,656.0,25.0,629.0,57.0,381.0,122.0,364.0,4101.0,2025-01-07 08:23:01,5.4.0,12.0,A JSON Web Token authentication plugin for the Django REST Framework.,,,127.0,https://pypi.org/project/djangorestframework-simplejwt,3481774.0,3481774.0,29,True,2.0,,,,,
53,django-fsm,viewflow/django-fsm,django-fsm,[],finite-state-machine,https://github.com/viewflow/django-fsm,https://github.com/viewflow/django-fsm,MIT,2010-05-31 14:03:48,2024-04-16 12:13:04,2024-04-16 12:13:00,353.0,,283.0,46.0,146.0,1.0,156.0,2340.0,2024-04-09 07:55:47,3.0.0,5.0,Django friendly finite state machine support.,1783.0,1783.0,70.0,https://pypi.org/project/django-fsm,383198.0,383198.0,29,True,2.0,,,,,
54,django-dbbackup,jazzband/django-dbbackup,django-dbbackup,[],management-commands,https://github.com/jazzband/django-dbbackup,https://github.com/jazzband/django-dbbackup,BSD-3-Clause,2014-12-29 02:39:34,2025-02-17 21:28:00,2025-02-17 21:27:57,509.0,5.0,196.0,23.0,255.0,67.0,224.0,1019.0,2024-08-23 22:20:38,4.2.1,6.0,Management commands to help backup and restore your project database and media files.,2269.0,2269.0,77.0,https://pypi.org/project/django-dbbackup,159804.0,159804.0,29,True,2.0,,,,,
55,strawberry-graphql-django,strawberry-graphql/strawberry-graphql-django,strawberry-graphql-django,[],graphql-api,https://github.com/strawberry-graphql/strawberry-django,https://github.com/strawberry-graphql/strawberry-django,MIT,2020-10-30 17:12:01,2025-02-16 10:24:59,2025-02-16 10:23:25,846.0,47.0,129.0,15.0,361.0,83.0,263.0,434.0,2025-02-16 10:24:59,0.56.0,100.0,Strawberry GraphQL Django extension.,550.0,550.0,99.0,https://pypi.org/project/strawberry-graphql-django,276010.0,276010.0,29,True,3.0,strawberry-graphql/strawberry-django,,,,
56,django-material,viewflow/django-material,django-material,[],admin-interface,https://github.com/viewflow/django-material,https://github.com/viewflow/django-material,BSD-3-Clause,2015-01-16 07:17:33,2024-02-08 05:51:10,2024-02-08 05:50:41,888.0,,413.0,90.0,121.0,20.0,393.0,2489.0,2017-10-27 11:20:04,1.1.0,5.0,Material Design for Django.,1845.0,1845.0,41.0,https://pypi.org/project/django-material,16595.0,16595.0,28,True,2.0,,,,,
57,django-cacheops,Suor/django-cacheops,django-cacheops,[],caching,https://github.com/Suor/django-cacheops,https://github.com/Suor/django-cacheops,BSD-3-Clause,2011-06-04 12:25:47,2025-01-10 08:20:03,2025-01-10 08:19:57,1246.0,2.0,218.0,39.0,148.0,15.0,326.0,2154.0,,,,A slick ORM cache with automatic granular event-driven invalidation.,1427.0,1427.0,69.0,https://pypi.org/project/django-cacheops,208843.0,208843.0,28,True,1.0,,,,,
58,django-htmx,adamchainz/django-htmx,django-htmx,[],templates,https://github.com/adamchainz/django-htmx,https://github.com/adamchainz/django-htmx,MIT,2020-10-18 17:12:47,2025-02-19 12:08:54,2025-02-19 12:08:50,524.0,21.0,138.0,39.0,431.0,4.0,75.0,1732.0,,,,Extensions for using Django with htmx.,3828.0,3828.0,24.0,https://pypi.org/project/django-htmx,350314.0,350314.0,28,True,1.0,,,,,
59,tach,gauge-sh/tach,tach,[],development,https://github.com/gauge-sh/tach,https://github.com/gauge-sh/tach,MIT,2024-01-31 20:12:23,2025-02-20 22:56:17,2025-02-20 22:56:14,2124.0,476.0,41.0,12.0,531.0,15.0,86.0,1515.0,2025-02-20 18:33:16,0.26.1,100.0,"A Python tool to visualize + enforce dependencies, using modular architecture Open source Installable via pip Able to..",41.0,41.0,18.0,https://pypi.org/project/tach,387710.0,387710.0,28,True,1.0,,,,,
60,django-cachalot,noripyt/django-cachalot,django-cachalot,[],caching,https://github.com/noripyt/django-cachalot,https://github.com/noripyt/django-cachalot,BSD-3-Clause,2014-09-26 13:08:06,2025-01-16 03:51:43,2025-01-16 03:51:42,648.0,1.0,146.0,25.0,97.0,32.0,139.0,1299.0,2024-11-04 18:30:39,2.7.0,23.0,"No effort, no worry, maximum performance.",899.0,899.0,38.0,https://pypi.org/project/django-cachalot,119020.0,119020.0,28,True,1.0,,,,,
61,django-configurations,jazzband/django-configurations,django-configurations,[],configuration,https://github.com/jazzband/django-configurations,https://github.com/jazzband/django-configurations,BSD-3-Clause,2012-07-21 13:56:20,2024-11-18 23:53:14,2024-11-18 23:53:09,512.0,,140.0,22.0,193.0,51.0,156.0,1117.0,2023-11-30 10:00:09,2.5.1,11.0,A helper for organizing Django project settings by relying on well established programming patterns.,3254.0,3254.0,74.0,https://pypi.org/project/django-configurations,296612.0,296612.0,28,True,3.0,,,,,
62,model_bakery,model-bakers/model_bakery,model_bakery,[],testing,https://github.com/model-bakers/model_bakery,https://github.com/model-bakers/model_bakery,,2019-10-08 12:49:08,2025-02-11 20:24:15,2025-02-11 20:22:32,415.0,13.0,92.0,11.0,361.0,28.0,121.0,875.0,2025-02-11 20:24:16,1.20.3,35.0,Object factory for Django.,4799.0,4799.0,61.0,https://pypi.org/project/model_bakery,767134.0,767134.0,28,True,2.0,,,,,
63,model-bakery,model-bakers/model_bakery,model-bakery/,[],fake-data,https://github.com/model-bakers/model_bakery,https://github.com/model-bakers/model_bakery,,2019-10-08 12:49:08,2025-02-11 20:24:15,2025-02-11 20:22:32,415.0,13.0,92.0,11.0,361.0,28.0,121.0,875.0,2025-02-11 20:24:16,1.20.3,35.0,Object factory for Django.,4799.0,4799.0,61.0,https://pypi.org/project/model-bakery/,767134.0,767134.0,28,True,1.0,,,,,
64,django-graphql-jwt,flavors/django-graphql-jwt,django-graphql-jwt,[],graphql-api,https://github.com/flavors/django-graphql-jwt,https://github.com/flavors/django-graphql-jwt,MIT,2017-11-05 15:29:56,2023-12-20 11:55:00,2023-08-04 09:45:28,555.0,,156.0,15.0,102.0,63.0,171.0,822.0,2023-08-04 09:46:09,0.4.0,27.0,JSON Web Token (JWT) authentication for Graphene Django.,5432.0,5432.0,26.0,https://pypi.org/project/django-graphql-jwt,110120.0,110120.0,28,True,3.0,,,,,
65,django-oidc-provider,juanifioren/django-oidc-provider,django-oidc-provider,[],authentication-authorization,https://github.com/juanifioren/django-oidc-provider,https://github.com/juanifioren/django-oidc-provider,MIT,2014-12-15 19:53:50,2025-02-18 15:01:43,2024-12-06 16:39:50,1075.0,11.0,219.0,17.0,225.0,48.0,157.0,432.0,2024-12-06 16:44:57,0.8.3,24.0,OpenID Connect and OAuth2 provider implementation for Djangonauts.,387.0,387.0,74.0,https://pypi.org/project/django-oidc-provider,14957.0,14957.0,28,True,2.0,,,,,
66,django-bootstrap5,zostera/django-bootstrap5,django-bootstrap5,[],mvt-bootstrap-css-framework-integration,https://github.com/zostera/django-bootstrap5,https://github.com/zostera/django-bootstrap5,BSD-3-Clause,2021-03-15 13:32:45,2025-01-24 20:59:04,2024-12-16 07:56:52,1478.0,12.0,85.0,15.0,637.0,36.0,69.0,419.0,,,,Bootstrap 5 for Django.,8591.0,8591.0,151.0,https://pypi.org/project/django-bootstrap5,168726.0,168726.0,28,True,3.0,,,,,
67,plane,makeplane/plane,,[],project-management-framework,https://github.com/makeplane/plane,https://github.com/makeplane/plane,AGPL-3.0,2022-11-19 12:55:01,2025-02-21 13:55:04,2025-02-21 11:44:28,5523.0,439.0,1918.0,123.0,5399.0,417.0,699.0,32498.0,2024-12-10 16:22:15,0.24.1,39.0,"Open Source JIRA, Linear, Monday, and Asana Alternative. Plane helps you track your issues, epics, and cycles the..",,,106.0,,,31.0,27,True,1.0,,777.0,,,
68,Mobile Security Framework (MobSF),MobSF/Mobile-Security-Framework-MobSF,,[],security-framework,https://github.com/MobSF/Mobile-Security-Framework-MobSF,https://github.com/MobSF/Mobile-Security-Framework-MobSF,GPL-3.0,2015-01-31 04:36:01,2025-02-05 19:39:20,2025-02-05 19:39:20,2003.0,18.0,3202.0,582.0,922.0,11.0,1499.0,18075.0,2025-01-24 00:41:05,4.3.0,47.0,"Mobile Security Framework (MobSF) is an automated, all-in-one mobile application (Android/iOS/Windows) pen-testing,..",3.0,3.0,100.0,,,,27,True,3.0,,,27.0,,
69,InvenTree,inventree/InvenTree,,[],inventory-management-system,https://github.com/inventree/InvenTree,https://github.com/inventree/InvenTree,MIT,2017-03-23 01:44:10,2025-02-22 12:38:08,2025-02-22 12:33:35,16374.0,295.0,839.0,72.0,5593.0,198.0,2603.0,4731.0,2025-02-20 00:13:06,0.17.7,100.0,Open Source Inventory Management System.,,,99.0,,,20.0,27,True,1.0,,1088.0,,,
