,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,updated_github_id,github_release_downloads,trending,gitlab_id,gitlab_url
224,django-address-model,agusmakmun/django-address-model,django-address-model,[],fields-addresses,https://github.com/agusmakmun/django-address-model,https://github.com/agusmakmun/django-address-model,MIT,2019-08-10 11:31:13,2020-11-18 09:48:51,2020-11-18 09:46:12,14.0,,5.0,2.0,1.0,2.0,,14.0,2020-11-18 09:49:40,1.0.4,1.0,"django abstract model that provide the complete address, eg: no, na/rt, ca/rw, village/desa, sub district/kecamatan,..",8.0,8.0,,https://pypi.org/project/django-address-model,128.0,128.0,8,False,3.0,,,,,
225,django-loguru,tarsil/django-loguru,django-loguru,[],logging,https://github.com/tarsil/django-loguru,https://github.com/tarsil/django-loguru,MIT,2021-11-29 14:24:04,2022-05-23 15:41:31,2022-05-23 15:41:31,10.0,,2.0,2.0,1.0,1.0,,10.0,,,,A middleware to log the requests and responses using loguru.,18.0,18.0,2.0,https://pypi.org/project/django-loguru,1590.0,1590.0,8,False,3.0,,,,,
226,django-webpack-starter,khadegd/django-webpack-starter,,[],project-templates,https://github.com/khadegd/django-webpack-starter,https://github.com/khadegd/django-webpack-starter,MIT,2017-10-12 03:03:24,2023-01-06 01:57:21,2020-11-05 16:12:57,30.0,,2.0,1.0,49.0,1.0,2.0,59.0,2020-11-05 16:16:12,1.2.1,2.0,"Django Webpack starter template for using Webpack 5 with Django 3.1 & Bootstrap 4. Yes, it can hot-reload.",,,,,,,7,True,3.0,,,,,
227,django-app-template,mlavin/django-app-template,,[],reusable-app-templates,https://github.com/mlavin/django-app-template,https://github.com/mlavin/django-app-template,BSD-2-Clause,2012-08-09 00:36:55,2014-06-29 18:45:14,2014-06-29 18:45:08,19.0,,15.0,8.0,2.0,2.0,3.0,54.0,,,,A handy template for creating a new reusable Django application.,,,4.0,,,,7,False,3.0,,,,,
228,django-ninja-auth,mugartec/django-ninja-auth,django-ninja-auth,[],restful-api-ninja,https://github.com/mugartec/django-ninja-auth,https://github.com/mugartec/django-ninja-auth,WTFPL,2021-07-21 19:04:17,2023-09-27 22:24:48,2023-08-17 16:58:21,24.0,,5.0,2.0,5.0,2.0,3.0,35.0,,,,,,,6.0,https://pypi.org/project/django-ninja-auth,211.0,211.0,7,False,3.0,,,,,
229,django-stripe-subscriptions,duplxey/django-stripe-subscriptions,django-stripe-subscriptions,[],payment-subscriptions,https://github.com/duplxey/django-stripe-subscriptions,https://github.com/duplxey/django-stripe-subscriptions,MIT,2020-09-15 21:07:04,2022-07-20 22:36:54,2022-07-20 22:36:53,29.0,,11.0,4.0,4.0,3.0,1.0,35.0,,,,How to handle subscription payments with Django and Stripe.,,,3.0,https://pypi.org/project/django-stripe-subscriptions,,,7,True,3.0,,,,,
230,eventsourcing-eventstoredb,pyeventsourcing/eventsourcing-eventstoredb,eventsourcing-eventstoredb,[],event-sourcing,https://github.com/pyeventsourcing/eventsourcing-eventstoredb,https://github.com/pyeventsourcing/eventsourcing-eventstoredb,BSD-3-Clause,2021-07-15 13:43:52,2024-11-08 03:13:07,2024-11-08 03:12:53,44.0,,1.0,1.0,2.0,,,17.0,,,,Python package for eventsourcing with EventStoreDB.,3.0,3.0,2.0,https://pypi.org/project/eventsourcing-eventstoredb,421.0,421.0,7,False,3.0,,,,,
231,Linaro Automated Validation Architecture (LAVA),,,[],test-automation-system,,https://gitlab.com/lava/lava,,2023-07-10 08:22:03,2023-07-10 08:22:03,,,,39.0,,,112.0,328.0,14.0,,,8.0,LAVA is a continuous integration system for deploying operating systems onto physical and virtual hardware for running..,,,,,,,7,False,3.0,,,,lava/lava,https://gitlab.com/lava/lava
232,django-reusable-app-template,bitlabstudio/django-reusable-app-template,,[],reusable-app-templates,https://github.com/bitlabstudio/django-reusable-app-template,https://github.com/bitlabstudio/django-reusable-app-template,,2013-06-08 12:05:01,2016-12-20 09:09:58,2016-12-20 09:09:10,91.0,,17.0,7.0,13.0,1.0,7.0,96.0,,,,"A template for kickstarting reusable Django apps, ready to be published on pypi.python.org, ready for test driven..",,,9.0,,,,6,False,3.0,,,,,
233,django-base-template,Alex-CodeLab/django-base-template,,[],project-templates,https://github.com/Alex-CodeLab/django-base-template,https://github.com/Alex-CodeLab/django-base-template,,2015-07-26 18:36:02,2023-06-30 12:58:29,2023-06-30 12:58:29,101.0,,19.0,7.0,3.0,,5.0,71.0,2016-10-13 18:56:19,1.10,1.0,"Project Template for Django + Bootstrap3 + pre-configured apps (like Allauth, django_compressor ). Probably the..",,,3.0,,,,6,True,3.0,,,,,
