,name,github_id,pypi_id,labels,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,license,trending,github_release_downloads,updated_github_id,gitlab_id,gitlab_url
58,django-address,furious-luke/django-address,django-address,[],fields-addresses,https://github.com/furious-luke/django-address,https://github.com/furious-luke/django-address,2011-04-16 01:58:58,2023-04-21 21:38:54,2022-05-05 01:23:36,216.0,,153.0,20.0,67.0,40.0,84.0,407,2022-05-06 20:00:17,0.2.8,7.0,A Django address model and field. Addresses may be specified by address components or by performing an automatic..,363.0,363.0,22.0,https://pypi.org/project/django-address,13069.0,13069.0,24,True,1,BSD-3-Clause,,,,,
59,django-cas-ng,django-cas-ng/django-cas-ng,django-cas-ng,[],authentication,https://github.com/django-cas-ng/django-cas-ng,https://github.com/django-cas-ng/django-cas-ng,2014-05-23 22:52:34,2023-06-27 18:23:38,2023-06-27 18:23:37,640.0,2.0,158.0,18.0,181.0,2.0,147.0,350,2022-01-09 02:06:44,4.3.0,26.0,"Django CAS 1.0/2.0/3.0 client authentication library, support Django 2.0, 2.1, 2.2, 3.0 and Python 3.5+.",446.0,446.0,83.0,https://pypi.org/project/django-cas-ng,16605.0,16609.0,24,True,3,MIT,,530.0,,,
60,shuup,shuup/shuup,shuup,[],ecommerce-framework,https://github.com/shuup/shuup,https://github.com/shuup/shuup,2015-06-03 12:53:21,2022-12-08 08:17:15,2021-08-18 22:32:03,7104.0,,1001.0,118.0,2190.0,143.0,291.0,2059,2021-08-17 18:55:57,2.14.3,100.0,E-Commerce Platform.,127.0,127.0,67.0,https://pypi.org/project/shuup,939.0,951.0,23,True,3,,,575.0,,,
61,django-tailwind,timonweb/django-tailwind,django-tailwind,[],mvt-css-framework-integration,https://github.com/timonweb/django-tailwind,https://github.com/timonweb/django-tailwind,2019-04-11 19:49:28,2023-06-28 15:24:08,2023-06-22 20:06:50,276.0,17.0,81.0,15.0,44.0,6.0,126.0,1081,,,,Django + Tailwind CSS =.,2117.0,2117.0,18.0,https://pypi.org/project/django-tailwind,30404.0,30404.0,23,True,3,MIT,,,,,
62,django-admin-tools,django-admin-tools/django-admin-tools,django-admin-tools,[],admin-interface,https://github.com/django-admin-tools/django-admin-tools,https://github.com/django-admin-tools/django-admin-tools,2015-06-20 11:09:46,2023-02-22 09:57:31,2021-12-12 15:43:02,561.0,,108.0,24.0,48.0,18.0,60.0,761,,,,Extends the Django Admin to include a extensible dashboard and navigation menu.,1363.0,1363.0,81.0,https://pypi.org/project/django-admin-tools,43134.0,43134.0,23,True,3,MIT,,,,,
63,django-easy-audit,soynatan/django-easy-audit,django-easy-audit,[],fields-versioning,https://github.com/soynatan/django-easy-audit,https://github.com/soynatan/django-easy-audit,2016-10-23 06:55:16,2023-06-28 14:33:22,2023-06-13 14:37:11,272.0,8.0,143.0,15.0,127.0,61.0,69.0,560,2023-06-13 14:40:10,1.3.5,50.0,"Yet another Django audit log app, hopefully the simplest one.",183.0,183.0,45.0,https://pypi.org/project/django-easy-audit,40321.0,40321.0,23,True,3,GPL-3.0,,,,,
64,viewflow,viewflow/viewflow,viewflow,[],finite-state-machine,https://github.com/viewflow/viewflow,https://github.com/viewflow/viewflow,2013-09-10 10:16:35,2023-06-30 11:32:42,2023-06-30 11:32:34,116.0,20.0,372.0,103.0,92.0,30.0,260.0,2398,2017-05-29 17:10:27,1.0.0,2.0,Reusable workflow library for Django.,267.0,267.0,2.0,https://pypi.org/project/viewflow,71.0,71.0,22,True,3,AGPL-3.0,,,,,
65,django-organizations,bennylope/django-organizations,django-organizations,[],authorization,https://github.com/bennylope/django-organizations,https://github.com/bennylope/django-organizations,2012-02-02 02:38:49,2023-05-23 16:27:10,2023-05-23 16:27:10,728.0,1.0,192.0,36.0,93.0,16.0,130.0,1128,2022-10-25 22:24:10,2.1.0,14.0,Multi-user accounts for Django projects.,,,47.0,https://pypi.org/project/django-organizations,30801.0,30801.0,22,True,3,BSD-2-Clause,,,,,
66,django-extra-settings,fabiocaccamo/django-extra-settings,django-extra-settings,[],configuration,https://github.com/fabiocaccamo/django-extra-settings,https://github.com/fabiocaccamo/django-extra-settings,2020-02-12 10:59:54,2023-06-30 10:08:23,2023-06-28 06:22:02,254.0,27.0,24.0,5.0,68.0,3.0,20.0,352,2023-03-07 14:28:17,0.9.1,19.0,config and manage typed extra settings using just the django admin.,51.0,51.0,11.0,https://pypi.org/project/django-extra-settings,7281.0,7281.0,22,True,3,MIT,,,,,
67,django-slack,lamby/django-slack,django-slack,[],messaging,https://github.com/lamby/django-slack,https://github.com/lamby/django-slack,2014-12-10 20:34:18,2023-03-02 08:08:32,2023-03-02 08:07:43,272.0,,55.0,8.0,53.0,9.0,54.0,232,,,,"Slack integration for Django, using the templating engine to generate messages.",339.0,339.0,28.0,https://pypi.org/project/django-slack,63515.0,63515.0,22,True,1,BSD-3-Clause,,,,,
