,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,new_addition,github_release_downloads
0,wagtail,wagtail/wagtail,wagtail,[],cms-framework,https://github.com/wagtail/wagtail,https://github.com/wagtail/wagtail,BSD-3-Clause,2014-02-03 12:41:59,2022-10-05 18:38:26,2022-10-05 18:38:14,13942,606.0,2705,330,5194,800.0,3163.0,12791,2022-09-23 11:29:35,4.0.2,100.0,A Django content management system focused on flexibility and user experience.,7197.0,7197.0,707,https://pypi.org/project/wagtail,124564,124564,42,True,1,,
1,django-rest-framework,encode/django-rest-framework,django-rest-framework,[],restful-api,https://github.com/encode/django-rest-framework,https://github.com/encode/django-rest-framework,,2011-03-02 17:13:56,2022-10-05 10:02:00,2022-10-05 10:02:00,8590,41.0,6136,615,4408,96.0,3675.0,24214,2021-05-31 07:29:11,3.12.4,14.0,Web APIs for Django.,370562.0,370562.0,1299,https://pypi.org/project/django-rest-framework,74069,74069,41,True,1,,
2,celery,celery/celery,celery,[],task-queues,https://github.com/celery/celery,https://github.com/celery/celery,,2009-04-24 11:31:24,2022-10-05 06:30:13,2022-09-28 15:40:50,12009,37.0,4198,477,2699,511.0,4236.0,20194,2022-08-01 11:20:41,5.3.0b1,37.0,Distributed Task Queue (development branch).,76600.0,76600.0,1239,https://pypi.org/project/celery,6243174,6243174,41,True,1,True,
3,django-extensions,django-extensions/django-extensions,django-extensions,[],management-commands,https://github.com/django-extensions/django-extensions,https://github.com/django-extensions/django-extensions,MIT,2009-03-21 16:11:19,2022-09-09 11:10:16,2022-09-09 11:10:06,3601,20.0,1070,105,939,121.0,705.0,5880,2022-09-09 11:10:54,3.2.1,4.0,This is a repository for collecting global custom management extensions for the Django Framework.,107378.0,107378.0,568,https://pypi.org/project/django-extensions,2052831,2052831,38,True,1,True,
4,django-cms,django-cms/django-cms,django-cms,[],cms-framework,https://github.com/django-cms/django-cms,https://github.com/django-cms/django-cms,BSD-3-Clause,2009-03-05 10:14:18,2022-10-05 13:16:16,2022-09-27 08:54:04,16043,11.0,2739,411,3971,115.0,3282.0,8910,,,,The easy-to-use and developer-friendly enterprise CMS powered by Django.,4536.0,4536.0,609,https://pypi.org/project/django-cms,74013,74013,37,True,3,True,
5,rq,rq/rq,rq,[],task-queues,https://github.com/rq/rq,https://github.com/rq/rq,,2011-11-14 10:53:48,2022-10-02 10:00:16,2022-10-01 09:48:30,1668,26.0,1289,212,712,186.0,795.0,8535,2022-09-25 08:03:45,1.11.1,21.0,Simple job queues for Python.,11105.0,11105.0,272,https://pypi.org/project/rq,824478,824478,37,True,2,True,
6,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,MIT,2015-09-24 09:18:18,2022-09-30 19:53:10,2022-09-19 08:17:31,1721,28.0,763,145,499,110.0,848.0,7406,2022-09-08 09:26:24,3.1.1,55.0,GraphQL framework for Python.,13846.0,13846.0,189,https://pypi.org/project/graphene,1467586,1467586,36,True,1,,
7,django-debug-toolbar,jazzband/django-debug-toolbar,django-debug-toolbar,[],debugging,https://github.com/jazzband/django-debug-toolbar,https://github.com/jazzband/django-debug-toolbar,BSD-3-Clause,2008-08-28 06:58:04,2022-09-26 18:31:06,2022-09-25 23:55:42,2405,33.0,848,107,870,73.0,735.0,7205,2022-09-25 16:02:28,3.7,10.0,A configurable set of panels that display various debug information about the current request/response.,56019.0,56019.0,259,https://pypi.org/project/django-debug-toolbar,1587068,1587069,36,True,1,True,178.0
8,django-oscar,django-oscar/django-oscar,django-oscar,[],ecommerce-framework,https://github.com/django-oscar/django-oscar,https://github.com/django-oscar/django-oscar,BSD-3-Clause,2010-12-08 21:30:32,2022-10-01 11:01:25,2022-09-30 12:03:09,8823,15.0,1924,266,2546,135.0,1294.0,5473,2021-07-29 04:15:39,3.1,4.0,Domain-driven e-commerce for Django.,904.0,904.0,333,https://pypi.org/project/django-oscar,17205,17205,35,True,1,True,
9,django-environ,joke2k/django-environ,django-environ,[],configuration,https://github.com/joke2k/django-environ,https://github.com/joke2k/django-environ,MIT,2013-04-02 13:50:07,2022-10-04 17:19:24,2022-06-15 09:59:27,517,,271,35,212,56.0,152.0,2618,2022-06-15 15:03:09,0.9.0,15.0,Django-environ allows you to utilize 12factor inspired environment variables to configure your Django application.,94387.0,94387.0,76,https://pypi.org/project/django-environ,1086816,1086816,35,True,1,True,5.0
