,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,new_addition,github_release_downloads
10,graphene-django,graphql-python/graphene-django,graphene-django,[],graphql-api,https://github.com/graphql-python/graphene-django,https://github.com/graphql-python/graphene-django,MIT,2016-09-17 23:26:25,2022-09-26 14:36:04,2022-09-26 12:08:32,883,23.0,678,74,540,129.0,625.0,3931,2022-09-26 12:12:07,3.0.0,41.0,Integrate GraphQL into your Django project.,8597.0,8597.0,199,https://pypi.org/project/graphene-django,397286,397286,34,True,2,,
11,saleor,saleor/saleor,saleor,[],ecommerce-framework,https://github.com/saleor/saleor,https://github.com/saleor/saleor,BSD-3-Clause,2013-02-12 16:46:39,2022-10-05 15:12:11,2022-10-05 11:16:16,19977,229.0,4633,387,6628,255.0,2997.0,16956,2022-10-05 15:13:27,3.1.26,100.0,"A modular, high performance, headless e-commerce platform built with Python, GraphQL, Django, and React.",1.0,1.0,250,https://pypi.org/project/saleor,13,13,31,True,2,,
12,strawberry,strawberry-graphql/strawberry,strawberry,[],graphql-api,https://github.com/strawberry-graphql/strawberry,https://github.com/strawberry-graphql/strawberry,MIT,2018-12-21 08:56:55,2022-10-04 21:06:55,2022-10-03 20:27:39,2351,174.0,314,42,1607,230.0,331.0,2643,2022-10-03 13:17:18,0.133.5,100.0,A GraphQL library for Python that leverages type annotations.,655.0,655.0,154,https://pypi.org/project/strawberry,377,444,31,True,3,,475.0
13,django-rq,rq/django-rq,django-rq,[],task-queues,https://github.com/rq/django-rq,https://github.com/rq/django-rq,MIT,2012-05-15 10:21:58,2022-10-05 05:07:19,2022-07-31 08:02:48,568,3.0,253,26,252,68.0,230.0,1567,2021-11-22 00:40:45,2.5.1,6.0,A simple app that provides django integration for RQ (Redis Queue).,2057.0,2057.0,107,https://pypi.org/project/django-rq,132851,132851,30,True,3,True,
14,django-constance,jazzband/django-constance,django-constance,[],configuration,https://github.com/jazzband/django-constance,https://github.com/jazzband/django-constance,BSD-3-Clause,2010-09-20 12:42:29,2022-09-21 03:11:42,2022-08-11 11:54:59,620,5.0,275,32,245,30.0,225.0,1489,2022-08-11 11:56:06,2.9.1,1.0,Dynamic Django settings.,1143.0,1143.0,134,https://pypi.org/project/django-constance,160346,160346,30,True,2,True,
15,django-admin-interface,fabiocaccamo/django-admin-interface,django-admin-interface,[],admin-interface,https://github.com/fabiocaccamo/django-admin-interface,https://github.com/fabiocaccamo/django-admin-interface,MIT,2015-10-26 14:46:36,2022-09-30 13:25:34,2022-09-30 07:29:55,556,19.0,120,34,45,13.0,121.0,1212,2022-08-25 10:17:28,0.20.0,41.0,"djangos default admin interface with superpowers - customizable themes, popup windows replaced by modals and many..",2034.0,2034.0,25,https://pypi.org/project/django-admin-interface,49019,49019,29,True,1,,
16,django-dbbackup,jazzband/django-dbbackup,django-dbbackup,[],management-commands,https://github.com/jazzband/django-dbbackup,https://github.com/jazzband/django-dbbackup,BSD-3-Clause,2014-12-29 02:39:34,2022-09-27 23:25:02,2022-09-27 23:24:22,466,6.0,174,20,207,53.0,203.0,642,2022-09-27 23:25:03,4.0.2,3.0,Management commands to help backup and restore your project database and media files.,1083.0,1083.0,60,https://pypi.org/project/django-dbbackup,60620,60620,29,True,3,True,
17,django-ninja,vitalik/django-ninja,django-ninja,[],restful-api,https://github.com/vitalik/django-ninja,https://github.com/vitalik/django-ninja,MIT,2020-05-19 08:48:53,2022-10-03 08:50:15,2022-09-20 13:30:30,699,64.0,215,58,161,119.0,259.0,3471,2022-07-20 15:41:41,0.19.1,25.0,"Fast, Async-ready, Openapi, type hints based framework for building APIs.",,,64,https://pypi.org/project/django-ninja,64022,64022,28,True,3,,
18,django-grappelli,sehmaschine/django-grappelli,django-grappelli,[],admin-interface,https://github.com/sehmaschine/django-grappelli,https://github.com/sehmaschine/django-grappelli,,2010-03-26 12:25:59,2022-09-14 09:57:08,2022-09-14 09:57:08,1868,4.0,635,97,317,4.0,682.0,3338,,,,A jazzy skin for the Django Admin-Interface (official repository).,5010.0,5010.0,82,https://pypi.org/project/django-grappelli,177224,177224,28,True,3,,
19,django-guardian,django-guardian/django-guardian,django-guardian,[],authorization,https://github.com/django-guardian/django-guardian,https://github.com/django-guardian/django-guardian,,2010-06-04 23:15:37,2022-10-02 18:27:44,2022-03-25 21:42:47,1062,,526,84,348,120.0,320.0,3273,,,,Per object permissions for Django.,4978.0,4978.0,159,https://pypi.org/project/django-guardian,208824,208824,28,True,1,True,
20,django-fsm,viewflow/django-fsm,django-fsm,[],finite-state-machine,https://github.com/viewflow/django-fsm,https://github.com/viewflow/django-fsm,MIT,2010-05-31 14:03:48,2022-09-03 07:23:49,2022-08-15 10:45:43,336,2.0,250,43,137,18.0,135.0,2068,2022-03-25 12:30:10,2.8.0,4.0,Django friendly finite state machine support.,1135.0,1135.0,64,https://pypi.org/project/django-fsm,298085,298085,28,True,1,,
21,mezzanine,stephenmcd/mezzanine,mezzanine,[],cms-framework,https://github.com/stephenmcd/mezzanine,https://github.com/stephenmcd/mezzanine,BSD-2-Clause,2010-05-29 12:16:55,2022-09-19 16:56:41,2022-09-19 16:51:20,5303,1.0,1528,255,977,37.0,1008.0,4512,2022-05-12 12:48:08,6.0.0,9.0,CMS framework for Django.,,,325,https://pypi.org/project/mezzanine,4980,4980,27,True,3,True,
22,django-shop,awesto/django-shop,django-shop,[],ecommerce-framework,https://github.com/awesto/django-shop,https://github.com/awesto/django-shop,BSD-3-Clause,2010-11-19 11:15:48,2022-04-08 09:00:09,2021-02-28 18:04:57,5402,,941,166,500,84.0,292.0,2896,,,,A Django based shop system.,204.0,204.0,95,https://pypi.org/project/django-shop,4853,4853,26,True,3,True,
23,django-waffle,django-waffle/django-waffle,django-waffle,[],feature-flipper,https://github.com/django-waffle/django-waffle,https://github.com/django-waffle/django-waffle,BSD-3-Clause,2011-01-23 17:42:09,2022-10-02 01:30:04,2022-10-02 01:30:04,425,26.0,228,23,284,35.0,159.0,938,2022-08-30 17:26:52,3.0.0,22.0,A feature flipper for Django.,,,115,https://pypi.org/project/django-waffle,387705,387705,26,True,1,True,
24,django-configurations,jazzband/django-configurations,django-configurations,[],configuration,https://github.com/jazzband/django-configurations,https://github.com/jazzband/django-configurations,BSD-3-Clause,2012-07-21 13:56:20,2022-09-22 22:04:19,2022-09-22 22:04:19,475,8.0,124,20,165,38.0,140.0,936,2022-09-01 09:46:30,2.4,7.0,A helper for organizing Django project settings by relying on well established programming patterns.,2369.0,2369.0,63,https://pypi.org/project/django-configurations,88501,88501,26,True,3,True,
25,django-q,Koed00/django-q,django-q,[],task-queues,https://github.com/Koed00/django-q,https://github.com/Koed00/django-q,MIT,2015-06-14 12:37:08,2022-09-01 04:09:16,2021-06-26 12:04:16,1246,,214,54,305,248.0,145.0,1623,2021-06-10 16:52:14,1.3.9,78.0,A multiprocessing distributed task queue for Django.,,,62,https://pypi.org/project/django-q,69509,69509,25,True,3,True,
26,factory_boy,FactoryBoy/factory_boy,factory_boy,[],testing,https://github.com/FactoryBoy/factory_boy,https://github.com/FactoryBoy/factory_boy,MIT,2011-05-11 08:26:59,2022-10-05 15:43:06,2022-10-03 14:12:41,949,8.0,347,40,449,156.0,371.0,2941,,,,A test fixtures replacement for Python.,,,124,https://pypi.org/project/factory_boy,2292456,2292456,24,True,1,True,
27,viewflow,viewflow/viewflow,viewflow,[],finite-state-machine,https://github.com/viewflow/viewflow,https://github.com/viewflow/viewflow,AGPL-3.0,2013-09-10 10:16:35,2022-10-05 18:36:56,2022-07-01 11:17:40,857,,365,105,84,22.0,250.0,2259,2017-05-29 17:10:27,1.0.0,2.0,Reusable workflow library for Django.,238.0,238.0,31,https://pypi.org/project/viewflow,48,48,24,True,3,,
28,shuup,shuup/shuup,shuup,[],ecommerce-framework,https://github.com/shuup/shuup,https://github.com/shuup/shuup,,2015-06-03 12:53:21,2022-07-06 19:50:03,2021-08-18 22:32:03,7104,,953,121,2187,140.0,291.0,1932,2021-08-17 18:55:57,2.14.3,100.0,E-Commerce Platform.,113.0,113.0,67,https://pypi.org/project/shuup,1449,1462,24,True,3,True,497.0
29,django-celery-beat,celery/django-celery-beat,django-celery-beat,[],task-queues,https://github.com/celery/django-celery-beat,https://github.com/celery/django-celery-beat,,2016-08-03 22:34:19,2022-10-02 08:52:02,2022-09-23 18:27:02,309,2.0,346,52,214,61.0,277.0,1228,2022-06-04 05:38:40,2.3.0,12.0,Celery Periodic Tasks backed by the Django ORM.,,,93,https://pypi.org/project/django-celery-beat,837943,837943,24,True,3,True,
30,django-jazzmin,farridav/django-jazzmin,django-jazzmin,[],admin-interface,https://github.com/farridav/django-jazzmin,https://github.com/farridav/django-jazzmin,MIT,2020-05-11 19:50:44,2022-09-13 13:37:06,2022-09-13 13:32:02,1008,24.0,173,32,233,66.0,135.0,1111,2022-03-27 08:32:00,2.5.0,27.0,Jazzy theme for Django.,,,58,https://pypi.org/project/django-jazzmin,54318,54318,24,True,3,,
31,pytest-django,pytest-dev/pytest-django,pytest-django,[],testing,https://github.com/pytest-dev/pytest-django,https://github.com/pytest-dev/pytest-django,,2011-09-29 19:35:55,2022-09-27 14:43:51,2022-08-25 15:52:33,1187,1.0,298,35,546,132.0,353.0,1092,2021-12-07 14:56:42,4.5.2,19.0,A Django plugin for pytest.,,,134,https://pypi.org/project/pytest-django,1723669,1723669,23,True,2,True,
32,strawberry-graphql-django,strawberry-graphql/strawberry-graphql-django,strawberry-graphql-django,[],graphql-api,https://github.com/strawberry-graphql/strawberry-graphql-django,https://github.com/strawberry-graphql/strawberry-graphql-django,MIT,2020-10-30 17:12:01,2022-10-01 14:26:05,2022-10-01 14:23:32,252,66.0,39,13,75,49.0,62.0,192,2022-10-01 14:25:47,0.5.3,7.0,Strawberry GraphQL Django extension.,,,28,https://pypi.org/project/strawberry-graphql-django,17213,17213,23,True,3,,
33,django-split-settings,wemake-services/django-split-settings,django-split-settings,[],configuration,https://github.com/wemake-services/django-split-settings,https://github.com/wemake-services/django-split-settings,BSD-3-Clause,2013-05-17 06:04:30,2022-09-27 13:25:56,2022-09-27 12:51:22,456,23.0,58,20,404,4.0,38.0,921,2022-09-27 12:54:00,1.2.0,6.0,Organize Django settings into multiple files and directories. Easily override and modify settings. Use wildcards and..,,,20,https://pypi.org/project/django-split-settings,76703,76703,22,True,3,True,
34,model_bakery,model-bakers/model_bakery,model_bakery,[],testing,https://github.com/model-bakers/model_bakery,https://github.com/model-bakers/model_bakery,,2019-10-08 12:49:08,2022-10-05 18:15:24,2022-10-05 18:14:01,244,16.0,70,12,232,24.0,87.0,589,2022-10-05 18:15:24,1.7.1,8.0,Object factory for Django.,,,40,https://pypi.org/project/model_bakery,286247,286247,21,True,3,True,
35,django-test-migrations,wemake-services/django-test-migrations,django-test-migrations,[],testing,https://github.com/wemake-services/django-test-migrations,https://github.com/wemake-services/django-test-migrations,MIT,2019-11-21 14:10:42,2022-10-05 10:07:41,2022-10-05 10:07:38,331,18.0,23,9,265,6.0,46.0,357,2021-12-13 22:15:21,1.2.0,6.0,"Test django schema and data migrations, including migrations order and best practices.",,,16,https://pypi.org/project/django-test-migrations,65190,65190,21,True,3,True,
36,django-guid,snok/django-guid,django-guid,[],logging,https://github.com/snok/django-guid,https://github.com/snok/django-guid,BSD-3-Clause,2019-12-20 10:25:27,2022-08-26 19:08:09,2022-08-26 19:08:06,176,6.0,16,9,63,,19.0,281,2022-05-06 13:06:01,3.3.0,15.0,"Inject an ID into every log message from a Django request. ASGI compatible, integrates with Sentry, and works with..",54.0,54.0,8,https://pypi.org/project/django-guid,44942,44942,21,True,1,True,
37,django-extra-settings,fabiocaccamo/django-extra-settings,django-extra-settings,[],configuration,https://github.com/fabiocaccamo/django-extra-settings,https://github.com/fabiocaccamo/django-extra-settings,MIT,2020-02-12 10:59:54,2022-09-27 07:39:24,2022-09-27 07:37:14,121,11.0,16,4,14,2.0,16.0,236,2022-09-27 07:51:14,0.6.1,14.0,config and manage typed extra settings using just the django admin.,30.0,30.0,6,https://pypi.org/project/django-extra-settings,5449,5449,19,True,3,True,
38,django-click,GaretJax/django-click,django-click,[],management-commands,https://github.com/GaretJax/django-click,https://github.com/GaretJax/django-click,MIT,2015-09-10 22:48:53,2022-03-17 20:00:04,2022-03-17 20:00:04,120,,16,7,22,9.0,8.0,213,2021-09-07 19:36:52,2.3.0,3.0,Write Django management command using the click CLI library.,192.0,192.0,11,https://pypi.org/project/django-click,25151,25151,19,True,3,True,
39,django-concurrency,saxix/django-concurrency,django-concurrency,[],concurrent-data-access,https://github.com/saxix/django-concurrency,https://github.com/saxix/django-concurrency,MIT,2012-03-20 01:05:04,2022-08-04 10:49:36,2022-08-04 10:49:36,662,2.0,46,8,176,5.0,60.0,389,2022-03-04 14:07:54,2.4,2.0,Optimistic lock implementation for Django. Prevents users from doing concurrent editing.,,,24,https://pypi.org/project/django-concurrency,22998,22998,18,True,1,,
40,django-optimistic-lock,gavinwahl/django-optimistic-lock,django-optimistic-lock,[],concurrent-data-access,https://github.com/gavinwahl/django-optimistic-lock,https://github.com/gavinwahl/django-optimistic-lock,BSD-2-Clause,2013-04-08 02:27:12,2020-11-22 15:50:03,2019-01-02 20:50:21,44,,20,2,8,1.0,4.0,109,,,,Offline optimistic locking for Django.,12.0,12.0,4,https://pypi.org/project/django-optimistic-lock,3869,3869,12,True,3,,
41,django-locking,debrouwere/django-locking,django-locking,[],concurrent-data-access,https://github.com/debrouwere/django-locking,https://github.com/debrouwere/django-locking,,2010-06-01 20:20:54,2019-09-15 22:09:45,2012-02-15 16:11:21,21,,13,4,9,,,136,,,,"Prevents users from doing concurrent editing in Django. Works out of the box in the admin interface, or you can..",4.0,4.0,3,https://pypi.org/project/django-locking,15,15,7,True,3,,
