,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,github_release_downloads,trending,new_addition,gitlab_id,gitlab_url
71,django-cryptography,georgemarshall/django-cryptography,django-cryptography,[],encrpyted-fields,https://github.com/georgemarshall/django-cryptography,https://github.com/georgemarshall/django-cryptography,BSD-3-Clause,2016-03-02 07:55:01,2022-11-07 16:53:42,2022-05-25 05:52:12,140.0,,53.0,15.0,24.0,34.0,31.0,301.0,2022-04-06 04:41:14,1.1,13.0,Easily encrypt data in Django.,,,3.0,https://pypi.org/project/django-cryptography,50916.0,50916.0,17,True,2,,,,,
72,django-sendsms,stefanfoulis/django-sendsms,django-sendsms,[],messaging,https://github.com/stefanfoulis/django-sendsms,https://github.com/stefanfoulis/django-sendsms,MIT,2011-08-10 06:40:48,2022-01-25 15:52:14,2021-12-27 22:42:18,132.0,,95.0,13.0,37.0,5.0,19.0,245.0,,,,A simple API to send SMS messages. It is modeled after the django email api.,310.0,310.0,19.0,https://pypi.org/project/django-sendsms,2349.0,2349.0,17,True,2,,,,,
73,django-fsm-admin,gadventures/django-fsm-admin,django-fsm-admin,[],finite-state-machine,https://github.com/gadventures/django-fsm-admin,https://github.com/gadventures/django-fsm-admin,,2014-03-12 04:43:00,2022-10-25 08:27:00,2022-10-25 08:26:59,123.0,1.0,77.0,29.0,66.0,17.0,20.0,190.0,,,,Mixin and template tags to integrate django-fsm transitions into the django admin.,284.0,284.0,32.0,https://pypi.org/project/django-fsm-admin,27768.0,27768.0,17,True,3,,,,,
74,django-ninja-extra,eadwinCode/django-ninja-extra,django-ninja-extra,[],restful-api-ninja,https://github.com/eadwinCode/django-ninja-extra,https://github.com/eadwinCode/django-ninja-extra,MIT,2021-06-17 09:58:17,2023-01-02 07:27:30,2022-12-22 13:40:41,374.0,17.0,8.0,5.0,31.0,1.0,10.0,101.0,2023-01-02 07:26:42,0.18.0,16.0,Django Ninja Extra - Class-Based Utility and more for Django Ninja(Fast Django REST framework).,,,7.0,https://pypi.org/project/django-ninja-extra,5098.0,5098.0,17,True,2,,,,,
75,django-sms,roaldnefs/django-sms,django-sms,[],messaging,https://github.com/roaldnefs/django-sms,https://github.com/roaldnefs/django-sms,BSD-3-Clause,2021-01-12 18:16:13,2022-12-25 14:29:05,2022-12-25 14:29:04,30.0,4.0,10.0,2.0,21.0,4.0,7.0,38.0,2022-12-15 08:18:36,0.6.0,6.0,A Django app for sending SMS with interchangeable backends.,114.0,114.0,3.0,https://pypi.org/project/django-sms,1792.0,1792.0,17,True,2,,,,,
76,django-ninja-jwt,eadwinCode/django-ninja-jwt,django-ninja-jwt,[],restful-api-ninja,https://github.com/eadwinCode/django-ninja-jwt,https://github.com/eadwinCode/django-ninja-jwt,MIT,2021-10-24 07:51:40,2022-11-30 06:51:41,2022-11-30 06:51:41,618.0,7.0,5.0,3.0,16.0,,,35.0,2022-10-30 10:49:06,5.2.2,11.0,A JSON Web Token authentication plugin for the Django REST Framework.,,,77.0,https://pypi.org/project/django-ninja-jwt,2422.0,2422.0,17,True,2,,,,,
77,django-mirage-field,luojilab/django-mirage-field,django-mirage-field,[],encrpyted-fields,https://github.com/luojilab/django-mirage-field,https://github.com/luojilab/django-mirage-field,MIT,2019-04-26 06:02:43,2022-04-19 11:01:05,2022-04-19 11:00:59,71.0,,13.0,15.0,13.0,,12.0,86.0,2022-03-14 08:47:26,1.4.0,17.0,"Django model field encrypt/decrypt your data, keep secret in database.",53.0,53.0,9.0,https://pypi.org/project/django-mirage-field,8038.0,8038.0,16,True,2,,,,,
78,django-trackstats,pennersr/django-trackstats,django-trackstats,[],statistics,https://github.com/pennersr/django-trackstats,https://github.com/pennersr/django-trackstats,MIT,2016-01-28 21:43:35,2022-11-23 10:11:37,2022-04-25 09:05:39,43.0,,32.0,12.0,10.0,3.0,8.0,375.0,,,,Keep track of your statistics.,22.0,22.0,6.0,https://pypi.org/project/django-trackstats,528.0,528.0,15,True,1,,,,,
79,django-fieldsignals,craigds/django-fieldsignals,django-fieldsignals,[],fields-versioning,https://github.com/craigds/django-fieldsignals,https://github.com/craigds/django-fieldsignals,,2011-02-03 11:28:50,2022-10-08 02:34:47,2022-10-08 02:33:46,69.0,,11.0,8.0,8.0,3.0,14.0,104.0,2021-08-16 05:08:47,0.7.0,8.0,Django signals for changed fields.,135.0,135.0,5.0,https://pypi.org/project/django-fieldsignals,8440.0,8440.0,15,True,3,,,,,
80,django-cryptographic-fields,foundertherapy/django-cryptographic-fields,django-cryptographic-fields,[],encrpyted-fields,https://github.com/foundertherapy/django-cryptographic-fields,https://github.com/foundertherapy/django-cryptographic-fields,MIT,2015-04-29 22:49:48,2021-11-10 12:49:34,2016-09-27 23:25:27,34.0,,25.0,12.0,16.0,9.0,2.0,26.0,2016-09-23 16:28:37,0.5.0,3.0,A set of fields that wrap standard Django fields with encryption provided by the python cryptography library.,16.0,16.0,8.0,https://pypi.org/project/django-cryptographic-fields,1957.0,1957.0,15,False,3,,,,,
81,django-optimistic-lock,gavinwahl/django-optimistic-lock,django-optimistic-lock,[],locking,https://github.com/gavinwahl/django-optimistic-lock,https://github.com/gavinwahl/django-optimistic-lock,BSD-2-Clause,2013-04-08 02:27:12,2020-11-22 15:50:03,2019-01-02 20:50:21,44.0,,20.0,2.0,8.0,1.0,4.0,110.0,,,,Offline optimistic locking for Django.,12.0,12.0,4.0,https://pypi.org/project/django-optimistic-lock,3211.0,3211.0,12,True,3,,,,,
82,django-encrypted-model-fields,,django-encrypted-model-fields,[],encrpyted-fields,,https://gitlab.com/lansharkconsulting/django/django-encrypted-model-fields,,2018-06-05 14:35:48,2018-06-05 14:35:48,,,,23.0,,,6.0,20.0,31.0,,,4.0,A set of fields that wrap standard Django fields with encryption provided by the python cryptography library.,,,,https://pypi.org/project/django-encrypted-model-fields,42613.0,42613.0,10,True,3,,,,lansharkconsulting/django/django-encrypted-model-fields,https://gitlab.com/lansharkconsulting/django/django-encrypted-model-fields
83,eventsourcing-django,pyeventsourcing/eventsourcing-django,eventsourcing-django,[],event-sourcing,https://github.com/pyeventsourcing/eventsourcing-django,https://github.com/pyeventsourcing/eventsourcing-django,BSD-3-Clause,2021-07-15 13:39:46,2022-11-22 21:42:54,2022-11-22 13:35:07,139.0,5.0,6.0,3.0,12.0,,1.0,29.0,,,,Python package for eventsourcing with Django.,,,5.0,https://pypi.org/project/eventsourcing-django,907.0,907.0,10,True,2,,,,,
84,django-discord-integration,Ninjaclasher/django-discord-integration,django-discord-integration,[],messaging,https://github.com/Ninjaclasher/django-discord-integration,https://github.com/Ninjaclasher/django-discord-integration,AGPL-3.0,2019-05-12 19:51:58,2023-01-04 23:09:31,2023-01-03 20:48:58,41.0,15.0,1.0,1.0,1.0,,2.0,15.0,2023-01-04 23:09:31,1.2.5,3.0,"Discord integration for Django, supporting error reporting via webhooks.",4.0,4.0,2.0,https://pypi.org/project/django-discord-integration,496.0,496.0,10,False,3,,,,,
85,django-fsm-freeze,ming-tung/django-fsm-freeze,django-fsm-freeze,[],finite-state-machine,https://github.com/ming-tung/django-fsm-freeze,https://github.com/ming-tung/django-fsm-freeze,MIT,2021-06-11 15:38:15,2023-01-02 19:03:33,2022-10-25 09:06:16,93.0,5.0,2.0,2.0,91.0,,4.0,4.0,2021-08-24 14:35:00,0.1.9,9.0,django-fsm data immutability support.,,,3.0,https://pypi.org/project/django-fsm-freeze,308.0,308.0,10,False,3,,,,,
86,django-ninja-passwordreset,eadwinCode/django-ninja-passwordreset,django-ninja-passwordreset,[],restful-api-ninja,https://github.com/eadwinCode/django-ninja-passwordreset,https://github.com/eadwinCode/django-ninja-passwordreset,BSD-3-Clause,2021-11-20 21:37:41,2021-11-22 20:35:23,2021-11-22 20:32:00,152.0,,,1.0,,,,,2021-11-22 20:35:23,1.2.2,1.0,"An extension of django rest framework, providing a configurable password reset strategy.",,,33.0,https://pypi.org/project/django-ninja-passwordreset,21.0,21.0,9,True,3,,1.0,,,
87,django-address-model,agusmakmun/django-address-model,django-address-model,[],fields-addresses,https://github.com/agusmakmun/django-address-model,https://github.com/agusmakmun/django-address-model,MIT,2019-08-10 11:31:13,2020-11-18 09:48:51,2020-11-18 09:46:12,14.0,,4.0,2.0,1.0,2.0,,13.0,2020-11-18 09:49:40,1.0.4,1.0,"django abstract model that provide the complete address, eg: no, na/rt, ca/rw, village/desa, sub district/kecamatan,..",5.0,5.0,,https://pypi.org/project/django-address-model,110.0,110.0,8,False,3,,,,,
88,django-locking,debrouwere/django-locking,django-locking,[],locking,https://github.com/debrouwere/django-locking,https://github.com/debrouwere/django-locking,,2010-06-01 20:20:54,2019-09-15 22:09:45,2012-02-15 16:11:21,21.0,,13.0,5.0,9.0,,,137.0,,,,"Prevents users from doing concurrent editing in Django. Works out of the box in the admin interface, or you can..",4.0,4.0,3.0,https://pypi.org/project/django-locking,16.0,16.0,7,False,3,,,,,
89,django-ninja-apikey,mawassk/django-ninja-apikey,django-ninja-apikey,[],restful-api-ninja,https://github.com/mawassk/django-ninja-apikey,https://github.com/mawassk/django-ninja-apikey,MIT,2021-07-13 08:29:30,2021-08-27 13:54:11,2021-08-27 13:54:10,39.0,,1.0,1.0,10.0,1.0,1.0,16.0,2021-08-16 12:00:23,0.2.1,2.0,Easy to use API key authentication for Django Ninja REST Framework.,,,,https://pypi.org/project/django-ninja-apikey,78.0,78.0,7,False,3,,,,,
90,django-searchable-encrypted-fields,,django-searchable-encrypted-fields,[],encrpyted-fields,,https://gitlab.com/guywillett/django-searchable-encrypted-fields,,2019-04-09 15:14:16,2019-04-09 15:14:16,,,,2.0,,,4.0,14.0,7.0,,,4.0,,,,,https://pypi.org/project/django-searchable-encrypted-fields,13708.0,13708.0,6,False,3,,,,guywillett/django-searchable-encrypted-fields,https://gitlab.com/guywillett/django-searchable-encrypted-fields
91,django-channels-discord,AdvocatesInc/django-channels-discord,django-channels-discord,[],messaging,https://github.com/AdvocatesInc/django-channels-discord,https://github.com/AdvocatesInc/django-channels-discord,MIT,2019-06-12 18:59:13,2022-02-14 14:17:21,2022-02-08 05:58:49,9.0,,1.0,2.0,,1.0,2.0,11.0,2022-01-12 02:01:46,0.2.0,4.0,An interface server connecting Djangos Channels and Discord.,,,,https://pypi.org/project/django-channels-discord,,,5,False,3,,,,,
92,django-ninja-auth,mugartec/django-ninja-auth,django-ninja-auth,[],restful-api-ninja,https://github.com/mugartec/django-ninja-auth,https://github.com/mugartec/django-ninja-auth,WTFPL,2021-07-21 19:04:17,2022-07-26 05:35:02,2021-10-12 16:16:19,21.0,,3.0,2.0,2.0,2.0,1.0,12.0,,,,,,,5.0,https://pypi.org/project/django-ninja-auth,101.0,101.0,4,False,3,,,,,
93,eventsourcing-eventstoredb,pyeventsourcing/eventsourcing-eventstoredb,eventsourcing-eventstoredb,[],event-sourcing,https://github.com/pyeventsourcing/eventsourcing-eventstoredb,https://github.com/pyeventsourcing/eventsourcing-eventstoredb,BSD-3-Clause,2021-07-15 13:43:52,2022-10-28 02:05:01,2022-10-28 02:04:53,22.0,1.0,1.0,1.0,1.0,,,6.0,,,,Python package for eventsourcing with EventStoreDB.,,,2.0,https://pypi.org/project/eventsourcing-eventstoredb,38.0,38.0,4,False,3,,,,,
94,eventsourcing-dynamodb,pyeventsourcing/eventsourcing-dynamodb,eventsourcing-dynamodb,[],event-sourcing,https://github.com/pyeventsourcing/eventsourcing-dynamodb,https://github.com/pyeventsourcing/eventsourcing-dynamodb,BSD-3-Clause,2021-07-15 13:42:53,2022-10-07 23:00:38,2022-10-07 23:00:38,5.0,,2.0,1.0,2.0,,,3.0,,,,Python package for eventsourcing with DynamoDB.,,,3.0,https://pypi.org/project/eventsourcing-dynamodb,,,4,False,3,,,,,
95,eventsourcing-axonserver,pyeventsourcing/eventsourcing-axonserver,eventsourcing-axonserver,[],event-sourcing,https://github.com/pyeventsourcing/eventsourcing-axonserver,https://github.com/pyeventsourcing/eventsourcing-axonserver,BSD-3-Clause,2022-05-03 22:48:32,2022-05-30 18:31:43,2022-05-30 18:31:03,18.0,,,1.0,,,,1.0,,,,Python package for eventsourcing with Axon Server.,,,,https://pypi.org/project/eventsourcing-axonserver,29.0,29.0,4,False,3,,,,,
