,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,github_release_downloads,trending,new_addition,gitlab_id,gitlab_url
36,django-split-settings,wemake-services/django-split-settings,django-split-settings,[],configuration,https://github.com/wemake-services/django-split-settings,https://github.com/wemake-services/django-split-settings,BSD-3-Clause,2013-05-17 06:04:30,2023-01-05 19:34:10,2023-01-05 19:34:10,458.0,2.0,59.0,20.0,405.0,4.0,38.0,943.0,2022-09-27 12:54:00,1.2.0,6.0,Organize Django settings into multiple files and directories. Easily override and modify settings. Use wildcards and..,1302.0,1302.0,21.0,https://pypi.org/project/django-split-settings,61487.0,61487.0,26,True,3,,,,,
37,django-graphql-jwt,flavors/django-graphql-jwt,django-graphql-jwt,[],graphql-api,https://github.com/flavors/django-graphql-jwt,https://github.com/flavors/django-graphql-jwt,MIT,2017-11-05 15:29:56,2023-01-09 17:37:46,2023-01-09 17:37:46,543.0,2.0,142.0,20.0,95.0,46.0,168.0,780.0,2021-08-11 20:57:06,0.3.4,26.0,JSON Web Token (JWT) authentication for Graphene Django.,3312.0,3312.0,24.0,https://pypi.org/project/django-graphql-jwt,84850.0,84850.0,26,True,3,,-1.0,,,
38,django-cas-ng,django-cas-ng/django-cas-ng,django-cas-ng,[],authentication,https://github.com/django-cas-ng/django-cas-ng,https://github.com/django-cas-ng/django-cas-ng,MIT,2014-05-23 22:52:34,2022-11-18 17:19:04,2022-11-18 17:19:04,636.0,15.0,155.0,19.0,179.0,2.0,147.0,347.0,2022-01-09 02:06:44,4.3.0,26.0,"Django CAS 1.0/2.0/3.0 client authentication library, support Django 2.0, 2.1, 2.2, 3.0 and Python 3.5+.",383.0,383.0,83.0,https://pypi.org/project/django-cas-ng,10086.0,10090.0,26,True,3,445.0,,,,
39,strawberry-graphql-django,strawberry-graphql/strawberry-graphql-django,strawberry-graphql-django,[],graphql-api,https://github.com/strawberry-graphql/strawberry-graphql-django,https://github.com/strawberry-graphql/strawberry-graphql-django,MIT,2020-10-30 17:12:01,2023-01-03 01:09:31,2023-01-02 15:34:43,333.0,56.0,48.0,14.0,100.0,57.0,68.0,221.0,2022-11-16 22:56:41,0.8.2,14.0,Strawberry GraphQL Django extension.,123.0,123.0,38.0,https://pypi.org/project/strawberry-graphql-django,19036.0,19036.0,26,True,3,,,,,
40,django-admin-interface,fabiocaccamo/django-admin-interface,django-admin-interface,[],admin-interface,https://github.com/fabiocaccamo/django-admin-interface,https://github.com/fabiocaccamo/django-admin-interface,MIT,2015-10-26 14:46:36,2023-01-09 17:16:19,2023-01-09 17:16:16,672.0,112.0,140.0,32.0,82.0,11.0,142.0,1295.0,2022-12-19 14:36:57,0.24.2,49.0,"djangos default admin interface with superpowers - customizable themes, popup windows replaced by modals and many..",,,31.0,https://pypi.org/project/django-admin-interface,44049.0,44049.0,25,True,3,,,,,
41,eventsourcing,pyeventsourcing/eventsourcing,eventsourcing,[],event-sourcing,https://github.com/pyeventsourcing/eventsourcing,https://github.com/pyeventsourcing/eventsourcing,BSD-3-Clause,2015-08-25 13:35:28,2022-11-14 14:51:14,2022-11-14 14:51:10,4667.0,20.0,123.0,34.0,178.0,2.0,75.0,1198.0,,,,A library for event sourcing in Python.,113.0,113.0,23.0,https://pypi.org/project/eventsourcing,21185.0,21185.0,25,True,1,,,,,
42,pytest-django,pytest-dev/pytest-django,pytest-django,[],testing,https://github.com/pytest-dev/pytest-django,https://github.com/pytest-dev/pytest-django,,2011-09-29 19:35:55,2022-12-16 15:48:27,2022-11-08 21:00:46,1191.0,3.0,300.0,36.0,551.0,135.0,354.0,1129.0,2021-12-07 14:56:42,4.5.2,19.0,A Django plugin for pytest.,,,137.0,https://pypi.org/project/pytest-django,1392666.0,1392666.0,25,True,1,,,,,
43,django-configurations,jazzband/django-configurations,django-configurations,[],configuration,https://github.com/jazzband/django-configurations,https://github.com/jazzband/django-configurations,BSD-3-Clause,2012-07-21 13:56:20,2022-11-04 17:52:34,2022-11-04 17:52:34,476.0,1.0,125.0,20.0,166.0,38.0,141.0,955.0,2022-09-01 09:46:30,2.4,7.0,A helper for organizing Django project settings by relying on well established programming patterns.,2458.0,2458.0,63.0,https://pypi.org/project/django-configurations,74595.0,74595.0,25,True,3,,,,,
44,django-waffle,django-waffle/django-waffle,django-waffle,[],feature-flipper,https://github.com/django-waffle/django-waffle,https://github.com/django-waffle/django-waffle,BSD-3-Clause,2011-01-23 17:42:09,2022-12-02 00:48:17,2022-10-02 01:30:04,425.0,,228.0,23.0,285.0,36.0,160.0,952.0,2022-08-30 17:26:52,3.0.0,22.0,A feature flipper for Django.,,,115.0,https://pypi.org/project/django-waffle,186119.0,186119.0,25,True,1,,,,,
45,factory_boy,FactoryBoy/factory_boy,factory_boy,[],testing,https://github.com/FactoryBoy/factory_boy,https://github.com/FactoryBoy/factory_boy,MIT,2011-05-11 08:26:59,2023-01-05 16:26:39,2022-12-07 15:28:28,958.0,9.0,348.0,41.0,460.0,160.0,375.0,3025.0,,,,A test fixtures replacement for Python.,,,126.0,https://pypi.org/project/factory_boy,1703609.0,1703609.0,24,True,2,,,,,
46,shuup,shuup/shuup,shuup,[],ecommerce-framework,https://github.com/shuup/shuup,https://github.com/shuup/shuup,,2015-06-03 12:53:21,2022-12-08 08:17:15,2021-08-18 22:32:03,7104.0,,962.0,118.0,2190.0,142.0,291.0,1975.0,2021-08-17 18:55:57,2.14.3,100.0,E-Commerce Platform.,117.0,117.0,67.0,https://pypi.org/project/shuup,976.0,988.0,24,True,3,507.0,,,,
47,django-organizations,bennylope/django-organizations,django-organizations,[],authorization,https://github.com/bennylope/django-organizations,https://github.com/bennylope/django-organizations,BSD-2-Clause,2012-02-02 02:38:49,2022-12-13 21:31:27,2022-11-29 20:45:14,725.0,15.0,183.0,35.0,92.0,16.0,130.0,1056.0,2022-10-25 22:24:10,2.1.0,14.0,Multi-user accounts for Django projects.,,,46.0,https://pypi.org/project/django-organizations,20280.0,20280.0,24,True,3,,,,,
48,viewflow,viewflow/viewflow,viewflow,[],finite-state-machine,https://github.com/viewflow/viewflow,https://github.com/viewflow/viewflow,AGPL-3.0,2013-09-10 10:16:35,2023-01-03 19:58:20,2022-12-02 13:29:47,858.0,1.0,365.0,105.0,88.0,23.0,253.0,2304.0,2017-05-29 17:10:27,1.0.0,2.0,Reusable workflow library for Django.,248.0,248.0,31.0,https://pypi.org/project/viewflow,45.0,45.0,23,True,2,,,,,
49,django-admin-tools,django-admin-tools/django-admin-tools,django-admin-tools,[],admin-interface,https://github.com/django-admin-tools/django-admin-tools,https://github.com/django-admin-tools/django-admin-tools,MIT,2015-06-20 11:09:46,2022-08-21 14:15:30,2021-12-12 15:43:02,561.0,,109.0,23.0,47.0,18.0,59.0,732.0,,,,Extends the Django Admin to include a extensible dashboard and navigation menu.,1240.0,1240.0,81.0,https://pypi.org/project/django-admin-tools,41881.0,41881.0,23,True,3,,,,,
50,django-test-migrations,wemake-services/django-test-migrations,django-test-migrations,[],testing,https://github.com/wemake-services/django-test-migrations,https://github.com/wemake-services/django-test-migrations,MIT,2019-11-21 14:10:42,2022-12-27 20:44:24,2022-12-27 20:44:22,343.0,9.0,24.0,9.0,278.0,9.0,46.0,384.0,2021-12-13 22:15:21,1.2.0,6.0,"Test django schema and data migrations, including migrations order and best practices.",320.0,320.0,17.0,https://pypi.org/project/django-test-migrations,52627.0,52627.0,23,True,3,,,,,
