,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,updated_github_id,github_release_downloads,trending,new_addition,gitlab_id,gitlab_url
0,pydantic,pydantic/pydantic,pydantic,[],pydantic-integration,https://github.com/pydantic/pydantic,https://github.com/pydantic/pydantic,MIT,2017-05-03 21:23:58,2025-04-03 13:00:26,2025-04-03 12:14:34,3548.0,140.0,2037.0,131.0,4394.0,461.0,4567.0,23123.0,2025-04-03 13:14:22,2.11.2,100.0,Data validation using Python type hints.,736794.0,736794.0,610.0,https://pypi.org/project/pydantic,311714407.0,311714407.0,46,True,1.0,,,,,,
1,celery,celery/celery,celery,[],task-queues,https://github.com/celery/celery,https://github.com/celery/celery,,2009-04-24 11:31:24,2025-04-01 22:38:01,2025-03-31 20:18:17,12807.0,64.0,4615.0,469.0,3542.0,670.0,4435.0,25989.0,2025-03-31 20:25:24,5.5.0,58.0,Distributed Task Queue (development branch).,165310.0,165310.0,1406.0,https://pypi.org/project/celery,15931612.0,15931612.0,44,True,1.0,,,,,,
2,wagtail,wagtail/wagtail,wagtail,[],cms-framework,https://github.com/wagtail/wagtail,https://github.com/wagtail/wagtail,BSD-3-Clause,2014-02-03 12:41:59,2025-04-03 02:19:55,2025-04-03 02:19:54,18638.0,314.0,3987.0,338.0,7361.0,876.0,4368.0,19000.0,2025-02-21 16:27:54,6.4.1,100.0,A Django content management system focused on flexibility and user experience.,11346.0,11346.0,979.0,https://pypi.org/project/wagtail,308418.0,308418.0,42,True,1.0,,,,,,
3,django-cms,django-cms/django-cms,django-cms,[],cms-framework,https://github.com/django-cms/django-cms,https://github.com/django-cms/django-cms,BSD-3-Clause,2009-03-05 10:14:18,2025-04-02 17:12:51,2025-03-31 18:18:35,16259.0,59.0,3078.0,395.0,4523.0,74.0,3506.0,10411.0,2024-11-13 07:54:35,4.1.4,23.0,The easy-to-use and developer-friendly enterprise CMS powered by Django.,5411.0,5411.0,581.0,https://pypi.org/project/django-cms,94643.0,94643.0,41,True,3.0,,,,,,
4,django-debug-toolbar,jazzband/django-debug-toolbar,django-debug-toolbar,[],debugging,https://github.com/django-commons/django-debug-toolbar,https://github.com/django-commons/django-debug-toolbar,BSD-3-Clause,2008-08-28 06:58:04,2025-04-02 11:30:18,2025-04-02 11:30:18,2741.0,49.0,944.0,112.0,1163.0,67.0,882.0,8196.0,2025-03-20 16:17:37,5.1.0,27.0,A configurable set of panels that display various debug information about the current request/response.,101340.0,101340.0,308.0,https://pypi.org/project/django-debug-toolbar,3550211.0,3550212.0,41,True,1.0,django-commons/django-debug-toolbar,250.0,,,,
5,django-allauth,pennersr/django-allauth,django-allauth,[],authentication-authorization,https://github.com/pennersr/django-allauth,https://github.com/pennersr/django-allauth,MIT,2010-10-10 20:10:52,2025-04-03 07:52:43,2025-04-03 07:48:54,3710.0,125.0,2983.0,199.0,1624.0,1.0,2393.0,9858.0,,,,"Integrated set of Django applications addressing authentication, registration, account management as well as 3rd party..",254651.0,254651.0,759.0,https://pypi.org/project/django-allauth,1202433.0,1202433.0,40,True,1.0,,,,,,
6,sentry,getsentry/sentry,,[],monitoring-framework,https://github.com/getsentry/sentry,https://github.com/getsentry/sentry,,2010-08-30 22:06:41,2025-04-03 13:24:00,2025-04-03 13:19:11,82369.0,4638.0,4246.0,688.0,72349.0,2163.0,12832.0,40470.0,2025-03-17 17:13:24,25.3.0,100.0,Developer-first error tracking and performance monitoring.,534.0,534.0,910.0,,,438.0,39,True,1.0,,39033.0,,,,
7,django-rest-framework,encode/django-rest-framework,django-rest-framework,[],restful-api-drf,https://github.com/encode/django-rest-framework,https://github.com/encode/django-rest-framework,,2011-03-02 17:13:56,2025-04-02 17:35:29,2025-04-02 17:35:29,8853.0,22.0,6779.0,629.0,4776.0,,,28981.0,2025-03-28 14:28:49,3.16.0,20.0,Web APIs for Django.,801713.0,801713.0,1430.0,https://pypi.org/project/django-rest-framework,118375.0,118375.0,39,True,1.0,,,,,,
8,loguru,Delgan/loguru,loguru,[],logging,https://github.com/Delgan/loguru,https://github.com/Delgan/loguru,MIT,2017-08-15 17:22:32,2025-04-01 14:10:42,2025-03-01 20:19:59,942.0,36.0,719.0,142.0,243.0,213.0,869.0,21282.0,2024-12-06 11:25:42,0.7.3,22.0,Python logging made (stupidly) simple.,123724.0,123724.0,66.0,https://pypi.org/project/loguru,19350284.0,19350284.0,38,True,1.0,,,,,,
9,rq,rq/rq,rq,[],task-queues,https://github.com/rq/rq,https://github.com/rq/rq,,2011-11-14 10:53:48,2025-04-03 12:59:15,2025-04-03 12:58:39,1941.0,28.0,1409.0,204.0,972.0,210.0,980.0,10101.0,2025-04-03 13:00:14,2.3.1,35.0,Simple job queues for Python.,19309.0,19309.0,335.0,https://pypi.org/project/rq,1890796.0,1890796.0,38,True,2.0,,,1.0,,,
