,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,new_addition,github_release_downloads,trending
33,pytest-django,pytest-dev/pytest-django,pytest-django,[],testing,https://github.com/pytest-dev/pytest-django,https://github.com/pytest-dev/pytest-django,,2011-09-29 19:35:55,2022-10-06 15:38:24,2022-08-25 15:52:33,1187,1.0,299,35,547,132.0,353.0,1093,2021-12-07 14:56:42,4.5.2,19.0,A Django plugin for pytest.,,,134,https://pypi.org/project/pytest-django,1733003,1733003,23,True,2,,,
34,strawberry-graphql-django,strawberry-graphql/strawberry-graphql-django,strawberry-graphql-django,[],graphql-api,https://github.com/strawberry-graphql/strawberry-graphql-django,https://github.com/strawberry-graphql/strawberry-graphql-django,MIT,2020-10-30 17:12:01,2022-10-01 14:26:05,2022-10-01 14:23:32,252,66.0,39,13,75,49.0,62.0,192,2022-10-01 14:25:47,0.5.3,7.0,Strawberry GraphQL Django extension.,,,28,https://pypi.org/project/strawberry-graphql-django,17474,17474,23,True,3,,,
35,django-organizations,bennylope/django-organizations,django-organizations,[],authorization,https://github.com/bennylope/django-organizations,https://github.com/bennylope/django-organizations,BSD-2-Clause,2012-02-02 02:38:49,2022-09-30 17:14:57,2022-09-30 17:00:31,705,4.0,177,33,87,15.0,129.0,1004,2018-05-11 18:13:48,1.1.0,13.0,Multi-user accounts for Django projects.,,,45,https://pypi.org/project/django-organizations,22859,22859,22,True,3,True,,
36,django-split-settings,wemake-services/django-split-settings,django-split-settings,[],configuration,https://github.com/wemake-services/django-split-settings,https://github.com/wemake-services/django-split-settings,BSD-3-Clause,2013-05-17 06:04:30,2022-09-27 13:25:56,2022-09-27 12:51:22,456,23.0,58,20,404,4.0,38.0,923,2022-09-27 12:54:00,1.2.0,6.0,Organize Django settings into multiple files and directories. Easily override and modify settings. Use wildcards and..,,,20,https://pypi.org/project/django-split-settings,76773,76773,22,True,3,,,
37,django-graphql-jwt,flavors/django-graphql-jwt,django-graphql-jwt,[],graphql-api,https://github.com/flavors/django-graphql-jwt,https://github.com/flavors/django-graphql-jwt,MIT,2017-11-05 15:29:56,2022-08-11 15:34:12,2021-08-11 20:56:04,541,,138,20,93,45.0,168.0,770,2021-08-11 20:57:06,0.3.4,26.0,JSON Web Token (JWT) authentication for Graphene Django.,,,23,https://pypi.org/project/django-graphql-jwt,119208,119208,22,True,3,True,,
38,django-fsm-log,jazzband/django-fsm-log,django-fsm-log,[],finite-state-machine,https://github.com/jazzband/django-fsm-log,https://github.com/jazzband/django-fsm-log,MIT,2013-10-30 03:15:55,2022-09-26 18:31:19,2022-08-23 07:23:11,287,2.0,66,8,104,9.0,31.0,189,2022-01-14 14:21:04,3.0.0,9.0,Automatic logging for Django FSM.,105.0,105.0,23,https://pypi.org/project/django-fsm-log,35839,35839,22,True,3,True,,
39,model_bakery,model-bakers/model_bakery,model_bakery,[],testing,https://github.com/model-bakers/model_bakery,https://github.com/model-bakers/model_bakery,,2019-10-08 12:49:08,2022-10-05 18:15:24,2022-10-05 18:14:01,244,16.0,70,12,232,24.0,87.0,589,2022-10-05 18:15:24,1.7.1,8.0,Object factory for Django.,,,40,https://pypi.org/project/model_bakery,289491,289491,21,True,3,,,
40,django-test-migrations,wemake-services/django-test-migrations,django-test-migrations,[],testing,https://github.com/wemake-services/django-test-migrations,https://github.com/wemake-services/django-test-migrations,MIT,2019-11-21 14:10:42,2022-10-06 09:17:41,2022-10-06 09:17:38,333,20.0,23,9,267,6.0,46.0,358,2021-12-13 22:15:21,1.2.0,6.0,"Test django schema and data migrations, including migrations order and best practices.",,,16,https://pypi.org/project/django-test-migrations,65406,65406,21,True,3,,,
41,django-guid,snok/django-guid,django-guid,[],logging,https://github.com/snok/django-guid,https://github.com/snok/django-guid,BSD-3-Clause,2019-12-20 10:25:27,2022-08-26 19:08:09,2022-08-26 19:08:06,176,6.0,16,9,63,,19.0,281,2022-05-06 13:06:01,3.3.0,15.0,"Inject an ID into every log message from a Django request. ASGI compatible, integrates with Sentry, and works with..",54.0,54.0,8,https://pypi.org/project/django-guid,45217,45217,21,True,1,,,
42,django-graphql-auth,PedroBern/django-graphql-auth,django-graphql-auth,[],graphql-api,https://github.com/PedroBern/django-graphql-auth,https://github.com/PedroBern/django-graphql-auth,MIT,2020-01-15 16:36:01,2022-06-17 09:46:13,2022-06-17 09:46:13,276,,76,20,56,58.0,44.0,293,,,,Django registration and authentication with GraphQL.,481.0,481.0,16,https://pypi.org/project/django-graphql-auth,11169,11169,20,True,3,True,,
43,django-extra-settings,fabiocaccamo/django-extra-settings,django-extra-settings,[],configuration,https://github.com/fabiocaccamo/django-extra-settings,https://github.com/fabiocaccamo/django-extra-settings,MIT,2020-02-12 10:59:54,2022-09-27 07:39:24,2022-09-27 07:37:14,121,11.0,16,4,14,1.0,17.0,236,2022-09-27 07:51:14,0.6.1,14.0,config and manage typed extra settings using just the django admin.,30.0,30.0,6,https://pypi.org/project/django-extra-settings,5536,5536,19,True,3,,,
44,django-click,GaretJax/django-click,django-click,[],management-commands,https://github.com/GaretJax/django-click,https://github.com/GaretJax/django-click,MIT,2015-09-10 22:48:53,2022-03-17 20:00:04,2022-03-17 20:00:04,120,,16,7,22,9.0,8.0,213,2021-09-07 19:36:52,2.3.0,3.0,Write Django management command using the click CLI library.,192.0,192.0,11,https://pypi.org/project/django-click,25435,25435,19,True,3,,,
45,django-fsm-admin,gadventures/django-fsm-admin,django-fsm-admin,[],finite-state-machine,https://github.com/gadventures/django-fsm-admin,https://github.com/gadventures/django-fsm-admin,,2014-03-12 04:43:00,2022-07-13 23:57:33,2022-04-15 13:01:07,121,,74,31,66,18.0,19.0,185,,,,Mixin and template tags to integrate django-fsm transitions into the django admin.,270.0,270.0,31,https://pypi.org/project/django-fsm-admin,126136,126136,19,True,3,True,,
46,django-concurrency,saxix/django-concurrency,django-concurrency,[],concurrent-data-access,https://github.com/saxix/django-concurrency,https://github.com/saxix/django-concurrency,MIT,2012-03-20 01:05:04,2022-08-04 10:49:36,2022-08-04 10:49:36,662,2.0,46,8,176,5.0,60.0,389,2022-03-04 14:07:54,2.4,2.0,Optimistic lock implementation for Django. Prevents users from doing concurrent editing.,,,24,https://pypi.org/project/django-concurrency,23107,23107,18,True,1,,,
47,django-test-plus,revsys/django-test-plus,django-test-plus,[],testing,https://github.com/revsys/django-test-plus,https://github.com/revsys/django-test-plus,BSD-3-Clause,2015-05-23 16:08:52,2022-08-11 16:15:56,2022-07-13 18:41:15,453,1.0,55,11,136,6.0,43.0,529,,,,Useful additions to Djangos default TestCase.,,,29,https://pypi.org/project/django-test-plus,58169,58169,17,True,3,True,,
48,django-trackstats,pennersr/django-trackstats,django-trackstats,[],statistics,https://github.com/pennersr/django-trackstats,https://github.com/pennersr/django-trackstats,MIT,2016-01-28 21:43:35,2022-09-09 02:35:49,2022-04-25 09:05:39,43,,32,12,9,3.0,8.0,359,,,,Keep track of your statistics.,20.0,20.0,6,https://pypi.org/project/django-trackstats,997,997,15,True,1,True,,
49,django-optimistic-lock,gavinwahl/django-optimistic-lock,django-optimistic-lock,[],concurrent-data-access,https://github.com/gavinwahl/django-optimistic-lock,https://github.com/gavinwahl/django-optimistic-lock,BSD-2-Clause,2013-04-08 02:27:12,2020-11-22 15:50:03,2019-01-02 20:50:21,44,,20,2,8,1.0,4.0,109,,,,Offline optimistic locking for Django.,12.0,12.0,4,https://pypi.org/project/django-optimistic-lock,3979,3979,12,True,3,,,
50,django-fsm-freeze,ming-tung/django-fsm-freeze,django-fsm-freeze,[],finite-state-machine,https://github.com/ming-tung/django-fsm-freeze,https://github.com/ming-tung/django-fsm-freeze,MIT,2021-06-11 15:38:15,2022-10-05 19:20:56,2022-08-20 19:16:58,88,3.0,2,2,79,,4.0,4,2021-08-24 14:35:00,0.1.9,9.0,django-fsm data immutability support.,,,3,https://pypi.org/project/django-fsm-freeze,656,656,10,False,3,True,,
51,django-locking,debrouwere/django-locking,django-locking,[],concurrent-data-access,https://github.com/debrouwere/django-locking,https://github.com/debrouwere/django-locking,,2010-06-01 20:20:54,2019-09-15 22:09:45,2012-02-15 16:11:21,21,,13,4,9,,,136,,,,"Prevents users from doing concurrent editing in Django. Works out of the box in the admin interface, or you can..",4.0,4.0,3,https://pypi.org/project/django-locking,15,15,7,False,3,,,
