,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,trending,github_release_downloads,updated_github_id,gitlab_id,gitlab_url
0,pydantic,pydantic/pydantic,pydantic,[],pydantic-integration,https://github.com/pydantic/pydantic,https://github.com/pydantic/pydantic,MIT,2017-05-03 21:23:58,2024-03-31 18:34:38,2024-03-29 12:15:04,2844.0,164.0,1575.0,109.0,3470.0,324.0,3542.0,18284,2024-03-12 13:02:29,2.6.4,100.0,Data validation using Python type hints.,369507.0,369507.0,495.0,https://pypi.org/project/pydantic,161478300.0,161478300.0,45,True,1,,,,,
1,celery,celery/celery,celery,[],task-queues,https://github.com/celery/celery,https://github.com/celery/celery,,2009-04-24 11:31:24,2024-03-28 15:35:49,2024-03-28 11:21:02,12504.0,109.0,4430.0,473.0,3298.0,620.0,4379.0,23309,2023-11-22 15:18:14,5.3.6,47.0,Distributed Task Queue (development branch).,129222.0,129222.0,1342.0,https://pypi.org/project/celery,9574280.0,9574280.0,44,True,1,,,,,
2,django-rest-framework,encode/django-rest-framework,django-rest-framework,[],restful-api-drf,https://github.com/encode/django-rest-framework,https://github.com/encode/django-rest-framework,,2011-03-02 17:13:56,2024-03-28 21:18:50,2024-03-27 10:39:49,8775.0,46.0,6593.0,620.0,4677.0,52.0,3825.0,27370,2022-11-08 10:37:57,3.14.0,17.0,Web APIs for Django.,649471.0,649471.0,1399.0,https://pypi.org/project/django-rest-framework,118647.0,118647.0,42,True,1,,,,,
3,django-cms,django-cms/django-cms,django-cms,[],cms-framework,https://github.com/django-cms/django-cms,https://github.com/django-cms/django-cms,BSD-3-Clause,2009-03-05 10:14:18,2024-03-29 10:46:40,2024-03-28 09:02:46,15997.0,46.0,2970.0,396.0,4300.0,121.0,3375.0,9860,2024-02-09 15:04:51,3.11.5,14.0,The easy-to-use and developer-friendly enterprise CMS powered by Django.,5143.0,5143.0,559.0,https://pypi.org/project/django-cms,84984.0,84984.0,41,True,1,6.0,,,,
4,django-allauth,pennersr/django-allauth,django-allauth,[],authentication-authorization,https://github.com/pennersr/django-allauth,https://github.com/pennersr/django-allauth,MIT,2010-10-10 20:10:52,2024-03-31 18:50:11,2024-03-31 18:49:29,3039.0,134.0,2823.0,188.0,1487.0,69.0,2114.0,8817,,,,"Integrated set of Django applications addressing authentication, registration, account management as well as 3rd party..",216245.0,216245.0,688.0,https://pypi.org/project/django-allauth,808573.0,808573.0,40,True,1,6.0,,,,
5,django-oscar,django-oscar/django-oscar,django-oscar,[],ecommerce-framework,https://github.com/django-oscar/django-oscar,https://github.com/django-oscar/django-oscar,BSD-3-Clause,2010-12-08 21:30:32,2024-03-29 20:02:29,2024-03-29 20:02:28,9033.0,53.0,2119.0,267.0,2764.0,80.0,1405.0,6077,2024-02-08 09:51:53,3.2.4,8.0,Domain-driven e-commerce for Django.,1084.0,1084.0,362.0,https://pypi.org/project/django-oscar,17910.0,17910.0,38,True,1,,,,,
6,django-import-export,django-import-export/django-import-export,django-import-export,[],admin-interface-actions,https://github.com/django-import-export/django-import-export,https://github.com/django-import-export/django-import-export,BSD-2-Clause,2012-11-15 13:12:22,2024-03-18 14:38:16,2024-02-03 17:08:39,1412.0,11.0,729.0,65.0,771.0,18.0,966.0,2850,2024-02-03 17:07:06,3.3.7,25.0,Django application and library for importing and exporting data with admin integration.,95282.0,95282.0,205.0,https://pypi.org/project/django-import-export,1161757.0,1161757.0,38,True,1,,,,,
7,wagtail,wagtail/wagtail,wagtail,[],cms-framework,https://github.com/wagtail/wagtail,https://github.com/wagtail/wagtail,BSD-3-Clause,2014-02-03 12:41:59,2024-03-29 19:01:37,2024-03-28 05:55:01,17160.0,567.0,3581.0,340.0,6667.0,833.0,3990.0,17083,2024-02-15 14:09:38,6.0.1,100.0,A Django content management system focused on flexibility and user experience.,8.0,8.0,907.0,https://pypi.org/project/wagtail,220633.0,220633.0,37,True,3,,,,,
8,rq,rq/rq,rq,[],task-queues,https://github.com/rq/rq,https://github.com/rq/rq,,2011-11-14 10:53:48,2024-03-29 10:37:43,2024-03-23 09:46:07,1838.0,28.0,1366.0,207.0,892.0,172.0,945.0,9454,2024-03-09 02:35:10,1.16.1,29.0,Simple job queues for Python.,16092.0,16092.0,307.0,https://pypi.org/project/rq,1814300.0,1814300.0,37,True,2,,,,,
9,django-debug-toolbar,jazzband/django-debug-toolbar,django-debug-toolbar,[],debugging,https://github.com/jazzband/django-debug-toolbar,https://github.com/jazzband/django-debug-toolbar,BSD-3-Clause,2008-08-28 06:58:04,2024-03-30 10:00:14,2024-03-30 10:00:08,2580.0,29.0,901.0,110.0,1018.0,69.0,811.0,7878,2024-02-01 19:35:16,4.3,16.0,A configurable set of panels that display various debug information about the current request/response.,86012.0,86012.0,283.0,https://pypi.org/project/django-debug-toolbar,2601464.0,2601465.0,37,True,1,,213.0,,,
