,name,github_id,pypi_id,labels,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,license,trending,github_release_downloads,updated_github_id,new_addition,gitlab_id,gitlab_url
55,django-jet,geex-arts/django-jet,django-jet,[],admin-interface,https://github.com/geex-arts/django-jet,https://github.com/geex-arts/django-jet,2015-07-29 21:35:35,2022-12-06 19:59:16,2019-05-21 10:57:50,891.0,,668.0,117.0,177.0,218.0,127.0,3494,2018-10-18 06:39:57,1.0.8,23.0,Modern responsive template for the Django admin interface with improved functionality. We are proud to announce..,3106.0,3106.0,29.0,https://pypi.org/project/django-jet,12484.0,12484.0,26,True,3,AGPL-3.0,,,,,,
56,django-shop,awesto/django-shop,django-shop,[],ecommerce-framework,https://github.com/awesto/django-shop,https://github.com/awesto/django-shop,2010-11-19 11:15:48,2023-10-19 01:09:56,2021-02-28 18:04:57,5402.0,,980.0,172.0,501.0,88.0,292.0,3094,,,,A Django based shop system.,222.0,222.0,96.0,https://pypi.org/project/django-shop,5460.0,5460.0,26,True,3,BSD-3-Clause,,,,,,
57,django-htmx,adamchainz/django-htmx,django-htmx,[],templates,https://github.com/adamchainz/django-htmx,https://github.com/adamchainz/django-htmx,2020-10-18 17:12:47,2023-12-31 11:30:59,2023-12-31 11:30:58,415.0,30.0,107.0,33.0,343.0,4.0,60.0,1205,,,,Extensions for using Django with htmx.,1581.0,1581.0,17.0,https://pypi.org/project/django-htmx,91542.0,91542.0,26,True,1,MIT,,,,,,
58,django-paypal,spookylukey/django-paypal,django-paypal,[],payment-subscriptions,https://github.com/spookylukey/django-paypal,https://github.com/spookylukey/django-paypal,2012-06-09 14:04:06,2023-12-25 16:56:18,2022-11-28 20:19:07,783.0,,192.0,27.0,118.0,11.0,150.0,699,,,,A pluggable Django application for integrating PayPal Payments Standard or Payments Pro.,3063.0,3063.0,73.0,https://pypi.org/project/django-paypal,9723.0,9723.0,26,True,1,MIT,,,,,,
59,django-seed,brobin/django-seed,django-seed,[],example-data,https://github.com/Brobin/django-seed,https://github.com/Brobin/django-seed,2015-04-20 23:46:29,2023-12-06 08:39:41,2021-10-08 16:42:39,189.0,,75.0,11.0,61.0,16.0,42.0,653,2021-10-08 16:29:50,0.3.1,13.0,Seed your Django database with fake data.,4169.0,4169.0,23.0,https://pypi.org/project/django-seed,24506.0,24506.0,26,True,1,MIT,,,,,,
60,django-cas-ng,django-cas-ng/django-cas-ng,django-cas-ng,[],authentication-authorization,https://github.com/django-cas-ng/django-cas-ng,https://github.com/django-cas-ng/django-cas-ng,2014-05-23 22:52:34,2023-10-17 22:52:27,2023-10-17 22:52:22,655.0,3.0,163.0,18.0,186.0,2.0,151.0,366,2023-10-17 22:51:49,5.0.1,28.0,"Django CAS 1.0/2.0/3.0 client authentication library, support Django 2.0, 2.1, 2.2, 3.0 and Python 3.5+.",490.0,490.0,86.0,https://pypi.org/project/django-cas-ng,20176.0,20180.0,26,True,3,MIT,,548.0,,,,
61,django-bootstrap5,zostera/django-bootstrap5,django-bootstrap5,[],mvt-css-framework-integration,https://github.com/zostera/django-bootstrap5,https://github.com/zostera/django-bootstrap5,2021-03-15 13:32:45,2023-12-29 08:26:24,2023-12-28 14:27:16,1332.0,9.0,64.0,12.0,454.0,36.0,49.0,305,,,,Bootstrap 5 for Django.,5080.0,5080.0,146.0,https://pypi.org/project/django-bootstrap5,78260.0,78260.0,26,True,2,BSD-3-Clause,,,,,,
62,django-auth-adfs,snok/django-auth-adfs,django-auth-adfs,[],authentication-authorization,https://github.com/snok/django-auth-adfs,https://github.com/snok/django-auth-adfs,2016-02-10 08:15:03,2023-12-18 08:14:29,2023-12-18 08:14:29,495.0,13.0,90.0,18.0,135.0,23.0,162.0,253,2023-12-15 21:48:59,1.13.0,33.0,A Django authentication backend for Microsoft ADFS and AzureAD.,111.0,111.0,47.0,https://pypi.org/project/django-auth-adfs,37822.0,37822.0,26,True,3,BSD-2-Clause,3.0,,,,,
63,eventsourcing,pyeventsourcing/eventsourcing,eventsourcing,[],event-sourcing,https://github.com/pyeventsourcing/eventsourcing,https://github.com/pyeventsourcing/eventsourcing,2015-08-25 13:35:28,2023-11-23 03:33:54,2023-10-18 19:01:40,4734.0,41.0,129.0,34.0,179.0,1.0,83.0,1341,,,,A library for event sourcing in Python.,142.0,142.0,23.0,https://pypi.org/project/eventsourcing,17094.0,17094.0,25,True,1,BSD-3-Clause,,,,,,
64,django-ratelimit,jsocol/django-ratelimit,django-ratelimit,[],authentication-authorization,https://github.com/jsocol/django-ratelimit,https://github.com/jsocol/django-ratelimit,2011-05-20 23:05:29,2023-12-05 19:30:12,2023-12-05 19:30:12,317.0,4.0,170.0,19.0,153.0,18.0,124.0,979,2023-07-24 20:36:04,4.1.0,2.0,Cache-based rate-limiting for Django.,2270.0,2270.0,51.0,https://pypi.org/project/django-ratelimit,282004.0,282004.0,25,True,3,,,,,,,
