,name,github_id,pypi_id,labels,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,trending,license,github_release_downloads
20,django-dbbackup,jazzband/django-dbbackup,django-dbbackup,[],management-commands,https://github.com/jazzband/django-dbbackup,https://github.com/jazzband/django-dbbackup,2014-12-29 02:39:34,2022-10-31 18:41:34,2022-09-27 23:24:22,466,4.0,175,20,208,53.0,203.0,659,2022-09-27 23:25:03,4.0.2,3.0,Management commands to help backup and restore your project database and media files.,1105.0,1105.0,60,https://pypi.org/project/django-dbbackup,56370,56370,28,True,3,-1.0,BSD-3-Clause,
21,django-ninja,vitalik/django-ninja,django-ninja,[],restful-api,https://github.com/vitalik/django-ninja,https://github.com/vitalik/django-ninja,2020-05-19 08:48:53,2022-10-27 12:45:22,2022-10-27 12:43:28,703,36.0,223,61,164,130.0,264.0,3583,2022-07-20 15:41:41,0.19.1,25.0,"Fast, Async-ready, Openapi, type hints based framework for building APIs.",,,65,https://pypi.org/project/django-ninja,65765,65765,27,True,3,-1.0,MIT,
22,mezzanine,stephenmcd/mezzanine,mezzanine,[],cms-framework,https://github.com/stephenmcd/mezzanine,https://github.com/stephenmcd/mezzanine,2010-05-29 12:16:55,2022-09-19 16:56:41,2022-09-19 16:51:20,5303,1.0,1533,255,977,37.0,1008.0,4521,2022-05-12 12:48:08,6.0.0,9.0,CMS framework for Django.,,,325,https://pypi.org/project/mezzanine,3457,3457,26,True,3,-1.0,BSD-2-Clause,
23,django-shop,awesto/django-shop,django-shop,[],ecommerce-framework,https://github.com/awesto/django-shop,https://github.com/awesto/django-shop,2010-11-19 11:15:48,2022-04-08 09:00:09,2021-02-28 18:04:57,5402,,945,169,500,84.0,292.0,2912,,,,A Django based shop system.,204.0,204.0,95,https://pypi.org/project/django-shop,5788,5788,26,True,3,,BSD-3-Clause,
24,django-celery-beat,celery/django-celery-beat,django-celery-beat,[],task-queues,https://github.com/celery/django-celery-beat,https://github.com/celery/django-celery-beat,2016-08-03 22:34:19,2022-10-31 17:04:29,2022-10-19 13:38:49,325,18.0,353,48,223,57.0,284.0,1250,2022-10-19 13:41:57,2.4.0,13.0,Celery Periodic Tasks backed by the Django ORM.,,,100,https://pypi.org/project/django-celery-beat,770752,770752,26,True,3,,,
25,django-configurations,jazzband/django-configurations,django-configurations,[],configuration,https://github.com/jazzband/django-configurations,https://github.com/jazzband/django-configurations,2012-07-21 13:56:20,2022-10-26 22:36:56,2022-09-22 22:04:19,475,8.0,124,20,166,39.0,140.0,942,2022-09-01 09:46:30,2.4,7.0,A helper for organizing Django project settings by relying on well established programming patterns.,2390.0,2390.0,63,https://pypi.org/project/django-configurations,84799,84799,26,True,3,,BSD-3-Clause,
26,django-waffle,django-waffle/django-waffle,django-waffle,[],feature-flipper,https://github.com/django-waffle/django-waffle,https://github.com/django-waffle/django-waffle,2011-01-23 17:42:09,2022-10-02 01:30:04,2022-10-02 01:30:04,425,20.0,228,23,284,35.0,160.0,940,2022-08-30 17:26:52,3.0.0,22.0,A feature flipper for Django.,,,115,https://pypi.org/project/django-waffle,344073,344073,26,True,1,,BSD-3-Clause,
27,django-cas-ng,django-cas-ng/django-cas-ng,django-cas-ng,[],authentication,https://github.com/django-cas-ng/django-cas-ng,https://github.com/django-cas-ng/django-cas-ng,2014-05-23 22:52:34,2022-10-21 20:14:13,2022-10-21 20:14:12,627,10.0,156,19,176,2.0,146.0,346,2022-01-09 02:06:44,4.3.0,26.0,"Django CAS 1.0/2.0/3.0 client authentication library, support Django 2.0, 2.1, 2.2, 3.0 and Python 3.5+.",369.0,369.0,81,https://pypi.org/project/django-cas-ng,11908,11912,26,True,3,,MIT,438.0
28,factory_boy,FactoryBoy/factory_boy,factory_boy,[],testing,https://github.com/FactoryBoy/factory_boy,https://github.com/FactoryBoy/factory_boy,2011-05-11 08:26:59,2022-10-30 14:32:53,2022-10-28 21:04:56,956,12.0,350,40,460,160.0,371.0,2970,,,,A test fixtures replacement for Python.,,,124,https://pypi.org/project/factory_boy,2297522,2297522,25,True,1,,MIT,
29,django-q,Koed00/django-q,django-q,[],task-queues,https://github.com/Koed00/django-q,https://github.com/Koed00/django-q,2015-06-14 12:37:08,2022-09-01 04:09:16,2021-06-26 12:04:16,1246,,214,54,305,253.0,145.0,1636,2021-06-10 16:52:14,1.3.9,78.0,A multiprocessing distributed task queue for Django.,,,62,https://pypi.org/project/django-q,69575,69575,25,True,3,,MIT,
