,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,trending,github_release_downloads,new_addition,updated_github_id,gitlab_id,gitlab_url
77,django-autofixture,gregmuellegger/django-autofixture,django-autofixture,[],example-data,https://github.com/gregmuellegger/django-autofixture,https://github.com/gregmuellegger/django-autofixture,BSD-3-Clause,2010-08-24 18:39:29,2022-09-15 15:01:25,2017-03-03 07:13:17,343.0,,84.0,16.0,62.0,19.0,37.0,459,,,,Can create auto-generated test data.,835.0,835.0,34.0,https://pypi.org/project/django-autofixture,2393.0,2393.0,20,False,2,,,,,,
78,django-dynamic-fixture,paulocheque/django-dynamic-fixture,django-dynamic-fixture,[],fake-data,https://github.com/paulocheque/django-dynamic-fixture,https://github.com/paulocheque/django-dynamic-fixture,,2012-04-04 22:54:41,2022-09-02 16:54:16,2022-09-02 16:54:16,405.0,,59.0,19.0,85.0,6.0,61.0,377,,,,A complete library to create dynamic model instances for testing purposes.,1097.0,1097.0,36.0,https://pypi.org/project/django-dynamic-fixture,58676.0,58676.0,20,True,3,,,,,,
79,djantic,jordaneremieff/djantic,djantic,[],pydantic-integration,https://github.com/jordaneremieff/djantic,https://github.com/jordaneremieff/djantic,MIT,2020-08-02 12:06:11,2023-02-15 19:53:09,2023-02-13 12:15:42,120.0,,27.0,7.0,36.0,11.0,27.0,363,2022-04-14 10:14:45,0.7.0,15.0,Pydantic model support for Django.,56.0,56.0,4.0,https://pypi.org/project/djantic,13124.0,13124.0,20,True,3,,,,,,
80,django-google-maps,madisona/django-google-maps,django-google-maps,[],fields-addresses,https://github.com/madisona/django-google-maps,https://github.com/madisona/django-google-maps,BSD-2-Clause,2010-12-31 14:47:45,2022-12-22 16:49:58,2022-03-22 11:44:40,82.0,,92.0,18.0,45.0,12.0,34.0,273,2022-03-22 11:47:01,0.13.0,3.0,Using the Google Maps API with django model admin.,575.0,575.0,19.0,https://pypi.org/project/django-google-maps,5360.0,5360.0,20,True,2,,,,,,
81,django-data-browser,tolomea/django-data-browser,django-data-browser,[],data-exploration,https://github.com/tolomea/django-data-browser,https://github.com/tolomea/django-data-browser,BSD-3-Clause,2020-03-29 21:02:52,2023-07-20 12:24:56,2023-07-20 12:24:48,1098.0,85.0,18.0,10.0,34.0,4.0,29.0,238,,,,Django app for user friendly querying of Django models.,10.0,10.0,9.0,https://pypi.org/project/django-data-browser,2741.0,2741.0,20,True,1,,,,,,
82,django-fernet-fields,orcasgit/django-fernet-fields,django-fernet-fields,[],encrpyted-fields,https://github.com/orcasgit/django-fernet-fields,https://github.com/orcasgit/django-fernet-fields,BSD-3-Clause,2015-05-25 18:10:29,2023-06-06 11:55:29,2019-05-10 16:41:45,129.0,,55.0,6.0,19.0,10.0,6.0,183,,,,Fernet symmetric encryption for Django model fields.,625.0,625.0,9.0,https://pypi.org/project/django-fernet-fields,70886.0,70886.0,20,True,1,,,,,,
83,django-ninja-jwt,eadwinCode/django-ninja-jwt,django-ninja-jwt,[],restful-api-ninja,https://github.com/eadwinCode/django-ninja-jwt,https://github.com/eadwinCode/django-ninja-jwt,MIT,2021-10-24 07:51:40,2023-07-06 14:37:48,2023-06-09 11:06:23,643.0,2.0,8.0,4.0,28.0,,,63,2023-03-18 09:23:28,5.2.5,13.0,A JSON Web Token authentication plugin for the Django REST Framework.,75.0,75.0,78.0,https://pypi.org/project/django-ninja-jwt,9158.0,9158.0,20,True,2,,,,,,
84,django-dirtyfields,romgar/django-dirtyfields,django-dirtyfields,[],fields-versioning,https://github.com/romgar/django-dirtyfields,https://github.com/romgar/django-dirtyfields,BSD-3-Clause,2010-09-09 06:54:09,2023-07-25 21:31:38,2023-07-01 02:48:29,607.0,4.0,97.0,13.0,146.0,11.0,58.0,584,,,,Tracking dirty fields on a Django model.,,,41.0,https://pypi.org/project/django-dirtyfields,165222.0,165222.0,19,True,3,,,,,,
85,django-test-plus,revsys/django-test-plus,django-test-plus,[],testing,https://github.com/revsys/django-test-plus,https://github.com/revsys/django-test-plus,BSD-3-Clause,2015-05-23 16:08:52,2023-07-11 11:38:09,2023-07-11 11:37:47,489.0,18.0,59.0,11.0,152.0,10.0,46.0,578,,,,Useful additions to Djangos default TestCase.,,,33.0,https://pypi.org/project/django-test-plus,55572.0,55572.0,19,True,3,,,,,,
86,django-concurrency,saxix/django-concurrency,django-concurrency,[],locking,https://github.com/saxix/django-concurrency,https://github.com/saxix/django-concurrency,MIT,2012-03-20 01:05:04,2023-07-24 07:38:53,2022-08-04 10:49:36,662.0,,47.0,9.0,177.0,8.0,61.0,414,2022-03-04 14:07:54,2.4,2.0,Optimistic lock implementation for Django. Prevents users from doing concurrent editing.,,,24.0,https://pypi.org/project/django-concurrency,38010.0,38010.0,19,True,1,,,,,,
