,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,github_release_downloads,trending,updated_github_id,new_addition,gitlab_id,gitlab_url
0,pydantic,pydantic/pydantic,pydantic,[],pydantic-integration,https://github.com/pydantic/pydantic,https://github.com/pydantic/pydantic,MIT,2017-05-03 21:23:58,2023-08-26 14:32:40,2023-08-25 14:30:10,2403.0,500.0,1332.0,96.0,2919.0,322.0,2662.0,15430,2023-08-23 18:25:22,2.3.0,100.0,Data validation using Python type hints.,243049.0,243049.0,402.0,https://pypi.org/project/pydantic,92117995.0,92117995.0,45,True,1,,,,,,
1,celery,celery/celery,celery,[],task-queues,https://github.com/celery/celery,https://github.com/celery/celery,,2009-04-24 11:31:24,2023-08-25 02:43:54,2023-08-22 12:46:33,12286.0,82.0,4356.0,481.0,3023.0,571.0,4333.0,22068,2023-06-18 14:18:25,5.3.1,42.0,Distributed Task Queue (development branch).,109744.0,109744.0,1300.0,https://pypi.org/project/celery,7147292.0,7147292.0,44,True,1,,,,,,
2,django-rest-framework,encode/django-rest-framework,django-rest-framework,[],restful-api-drf,https://github.com/encode/django-rest-framework,https://github.com/encode/django-rest-framework,,2011-03-02 17:13:56,2023-08-27 11:36:03,2023-08-17 10:21:03,8712.0,27.0,6450.0,617.0,4570.0,69.0,3766.0,26195,2022-11-08 10:37:57,3.14.0,17.0,Web APIs for Django.,552370.0,552370.0,1376.0,https://pypi.org/project/django-rest-framework,99129.0,99129.0,41,True,1,,,,,,
3,django-cms,django-cms/django-cms,django-cms,[],cms-framework,https://github.com/django-cms/django-cms,https://github.com/django-cms/django-cms,BSD-3-Clause,2009-03-05 10:14:18,2023-08-25 23:40:32,2023-08-23 12:24:42,16207.0,12.0,2872.0,405.0,4153.0,98.0,3342.0,9468,2023-06-21 19:24:02,3.8.2,9.0,The easy-to-use and developer-friendly enterprise CMS powered by Django.,4948.0,4948.0,631.0,https://pypi.org/project/django-cms,42300.0,42300.0,39,True,1,,,,,,
4,wagtail,wagtail/wagtail,wagtail,[],cms-framework,https://github.com/wagtail/wagtail,https://github.com/wagtail/wagtail,BSD-3-Clause,2014-02-03 12:41:59,2023-08-27 11:09:11,2023-08-24 15:01:56,15766.0,541.0,3209.0,336.0,6078.0,832.0,3676.0,15329,2023-08-14 14:32:51,5.1.1,100.0,A Django content management system focused on flexibility and user experience.,6.0,6.0,828.0,https://pypi.org/project/wagtail,159335.0,159335.0,37,True,3,,,,,,
5,rq,rq/rq,rq,[],task-queues,https://github.com/rq/rq,https://github.com/rq/rq,,2011-11-14 10:53:48,2023-08-17 07:01:01,2023-08-17 01:44:46,1795.0,17.0,1338.0,209.0,844.0,148.0,925.0,9070,2023-06-21 01:53:02,1.15.1,27.0,Simple job queues for Python.,14334.0,14334.0,298.0,https://pypi.org/project/rq,948782.0,948782.0,37,True,2,,,,,,
6,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,MIT,2015-09-24 09:18:18,2023-08-22 18:45:41,2023-07-26 07:43:40,1753.0,10.0,790.0,145.0,531.0,100.0,874.0,7766,2023-07-26 06:47:55,3.3.0,59.0,GraphQL framework for Python.,18543.0,18543.0,205.0,https://pypi.org/project/graphene,1781148.0,1781148.0,37,True,1,,,,,,
7,django-extensions,django-extensions/django-extensions,django-extensions,[],management-commands,https://github.com/django-extensions/django-extensions,https://github.com/django-extensions/django-extensions,MIT,2009-03-21 16:11:19,2023-06-05 17:10:32,2023-06-05 17:09:24,3620.0,8.0,1096.0,103.0,963.0,151.0,719.0,6189,2023-06-07 11:23:14,3.2.3,5.0,This is a repository for collecting global custom management extensions for the Django Framework.,186194.0,186194.0,573.0,https://pypi.org/project/django-extensions,2704754.0,2704754.0,37,True,1,,,,,,
8,django-simple-history,jazzband/django-simple-history,django-simple-history,[],fields-versioning,https://github.com/jazzband/django-simple-history,https://github.com/jazzband/django-simple-history,BSD-3-Clause,2011-03-06 22:42:19,2023-08-24 17:58:17,2023-08-24 17:58:09,1281.0,61.0,420.0,40.0,711.0,121.0,402.0,1926,2023-08-17 22:55:48,3.4.0,35.0,Store model history and view/revert changes from admin site.,4365.0,4365.0,175.0,https://pypi.org/project/django-simple-history,1075217.0,1075217.0,37,True,1,,,,,,
9,django-debug-toolbar,jazzband/django-debug-toolbar,django-debug-toolbar,[],debugging,https://github.com/jazzband/django-debug-toolbar,https://github.com/jazzband/django-debug-toolbar,BSD-3-Clause,2008-08-28 06:58:04,2023-08-21 20:19:58,2023-08-20 18:26:39,2530.0,23.0,892.0,109.0,968.0,69.0,788.0,7609,2023-08-11 01:35:07,4.2,15.0,A configurable set of panels that display various debug information about the current request/response.,76159.0,76159.0,274.0,https://pypi.org/project/django-debug-toolbar,1993903.0,1993904.0,36,True,1,212.0,,,,,
