,name,homepage,resource,labels,category,description,projectrank,show,github_id,pypi_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank_placing,trending,updated_github_id,github_release_downloads,gitlab_id,gitlab_url
234,django-optimistic-lock,https://github.com/gavinwahl/django-optimistic-lock,,[],locking,Offline optimistic locking for Django.,13,False,gavinwahl/django-optimistic-lock,django-optimistic-lock,https://github.com/gavinwahl/django-optimistic-lock,BSD-2-Clause,2013-04-08 02:27:12,2020-11-22 15:50:03,2019-01-02 20:50:21,44.0,,21.0,2.0,8.0,1.0,4.0,121.0,,,,19.0,19.0,4.0,https://pypi.org/project/django-optimistic-lock,4065.0,4065.0,3.0,,,,,
235,drf-stripe-subscription,https://github.com/oscarychen/drf-stripe-subscription,,[],payment-subscriptions,An out-of-box Django REST framework solution for payment and subscription management using Stripe.,13,True,oscarychen/drf-stripe-subscription,drf-stripe-subscription,https://github.com/oscarychen/drf-stripe-subscription,MIT,2022-01-07 05:42:18,2024-11-16 03:48:53,2024-11-16 03:45:09,53.0,,18.0,5.0,22.0,3.0,20.0,118.0,2024-11-16 03:48:42,1.2.2,17.0,,,6.0,https://pypi.org/project/drf-stripe-subscription,1129.0,1129.0,3.0,,,,,
236,django-harlequin,https://github.com/adamchainz/django-harlequin,,[],development,"Launch Harlequin, the SQL IDE for your Terminal, with your Django database configuration.",13,True,adamchainz/django-harlequin,django-harlequin,https://github.com/adamchainz/django-harlequin,MIT,2024-05-05 21:24:46,2025-06-26 09:25:36,2025-06-26 09:25:34,90.0,12.0,3.0,2.0,63.0,1.0,,80.0,,,,8.0,8.0,5.0,https://pypi.org/project/django-harlequin,2702.0,2702.0,3.0,,,,,
237,django-sms,https://github.com/roaldnefs/django-sms,,[],messaging,A Django app for sending SMS with interchangeable backends.,13,True,roaldnefs/django-sms,django-sms,https://github.com/roaldnefs/django-sms,BSD-3-Clause,2021-01-12 18:16:13,2024-01-07 19:43:51,2024-01-07 19:43:51,36.0,,13.0,1.0,25.0,7.0,9.0,56.0,2023-12-31 11:52:23,0.7.0,7.0,,,3.0,https://pypi.org/project/django-sms,15995.0,15995.0,3.0,,,,,
238,iotcore,https://github.com/tomvictor/iotcore,,[],mqtt,"MQTT Broker and IoT Capabilities written in Rust for Python, Django and FastAPI.",13,True,tomvictor/iotcore,iotcore,https://github.com/tomvictor/iotcore,MIT,2016-08-13 11:16:56,2024-08-20 11:35:52,2024-02-01 12:56:39,127.0,,6.0,7.0,50.0,1.0,3.0,51.0,2023-09-16 08:52:21,0.3.0,8.0,4.0,4.0,2.0,https://pypi.org/project/iotcore,3309.0,3309.0,1.0,,,,,
239,django-cryptographic-fields,https://github.com/foundertherapy/django-cryptographic-fields,,[],encrpyted-fields,A set of fields that wrap standard Django fields with encryption provided by the python cryptography library.,13,False,foundertherapy/django-cryptographic-fields,django-cryptographic-fields,https://github.com/foundertherapy/django-cryptographic-fields,MIT,2015-04-29 22:49:48,2021-11-10 12:49:34,2016-09-27 23:25:27,34.0,,26.0,12.0,16.0,9.0,2.0,31.0,2016-09-23 16:28:37,0.5.0,3.0,26.0,26.0,8.0,https://pypi.org/project/django-cryptographic-fields,116.0,116.0,3.0,,,,,
240,django-flutterwave,https://github.com/bdelate/django-flutterwave,,[],payment-subscriptions,Django integration for Flutterwave Rave payments and subscriptions.,13,True,bdelate/django-flutterwave,django-flutterwave,https://github.com/bdelate/django-flutterwave,MIT,2019-07-29 15:03:20,2022-12-08 08:56:27,2020-12-29 06:31:43,57.0,,12.0,5.0,11.0,,4.0,23.0,2020-12-29 06:34:01,0.3.0,5.0,54.0,54.0,,https://pypi.org/project/django-flutterwave,,,3.0,,,,,
241,django-ninja-passwordreset,https://github.com/eadwinCode/django-ninja-passwordreset,,[],restful-api-ninja,"An extension of django rest framework, providing a configurable password reset strategy.",13,False,eadwinCode/django-ninja-passwordreset,django-ninja-passwordreset,https://github.com/eadwinCode/django-ninja-passwordreset,BSD-3-Clause,2021-11-20 21:37:41,2023-11-30 10:22:37,2023-11-30 10:21:07,167.0,,2.0,,3.0,,,5.0,2023-11-30 10:22:37,1.2.5,3.0,7.0,7.0,34.0,https://pypi.org/project/django-ninja-passwordreset,1047.0,1047.0,3.0,,,,,
242,taiga,https://github.com/kaleidos-ventures/taiga,,[],project-management-framework,Taiga is a free and open-source project management for cross-functional agile teams.,12,True,kaleidos-ventures/taiga,,https://github.com/kaleidos-ventures/taiga,MPL-2.0,2022-12-30 09:20:03,2023-12-13 09:37:30,2023-12-13 09:37:29,2124.0,,65.0,15.0,566.0,,,508.0,,,,,,11.0,,,,3.0,,,,,
243,django-unique-user-email,https://github.com/carltongibson/django-unique-user-email,,[],custom-user,Enable login-by-email with the default User model for your Django project by making auth.User.email unique.,12,True,carltongibson/django-unique-user-email,django-unique-user-email,https://github.com/carltongibson/django-unique-user-email,MIT,2023-10-06 06:50:32,2024-10-09 05:51:58,2024-10-09 05:51:57,17.0,,6.0,7.0,5.0,6.0,4.0,142.0,,,,17.0,17.0,4.0,https://pypi.org/project/django-unique-user-email,4888.0,4888.0,3.0,,,,,
