,name,homepage,resource,labels,category,description,projectrank,show,github_id,pypi_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank_placing,updated_github_id,github_release_downloads,trending,gitlab_id,gitlab_url
52,saleor,https://github.com/saleor/saleor,,[],ecommerce-framework,"Saleor Core: the high performance, composable, headless commerce API.",32,True,saleor/saleor,saleor,https://github.com/saleor/saleor,BSD-3-Clause,2013-02-12 16:46:39,2025-07-31 12:00:42,2025-07-31 11:55:34,22062.0,183.0,5614.0,372.0,12251.0,176.0,4190.0,21864.0,2025-07-22 07:30:42,3.21.10,100.0,7.0,7.0,312.0,https://pypi.org/project/saleor,36.0,123.0,2.0,,787.0,,,
53,FastStream,https://github.com/ag2ai/faststream,,[],event-streaming,FastStream is a powerful and easy-to-use Python framework for building asynchronous services interacting with event..,32,True,ag2ai/faststream,faststream,https://github.com/ag2ai/faststream,Apache-2.0,2022-12-01 09:46:18,2025-07-31 20:58:55,2025-07-31 20:53:49,1268.0,100.0,259.0,27.0,1410.0,84.0,704.0,4287.0,2025-07-29 21:25:36,0.6.0rc0,98.0,715.0,715.0,109.0,https://pypi.org/project/faststream,366407.0,366407.0,1.0,,,,,
54,social-app-django,https://github.com/python-social-auth/social-app-django,,[],authentication-authorization,Python Social Auth - Application - Django.,32,True,python-social-auth/social-app-django,social-app-django,https://github.com/python-social-auth/social-app-django,BSD-3-Clause,2016-09-24 18:06:40,2025-07-31 11:14:34,2025-07-31 11:14:33,2541.0,48.0,374.0,31.0,411.0,72.0,209.0,2105.0,2025-06-27 13:11:22,5.5.1,10.0,51801.0,51801.0,334.0,https://pypi.org/project/social-app-django,,,2.0,,,,,
55,django-anymail,https://github.com/anymail/django-anymail,,[],emails,"Django email backends and webhooks for Amazon SES, Brevo (Sendinblue), MailerSend, Mailgun, Mailjet, Postmark, Postal,..",32,True,anymail/django-anymail,django-anymail,https://github.com/anymail/django-anymail,BSD-3-Clause,2016-03-10 02:55:09,2025-07-25 17:49:00,2025-07-25 17:48:56,936.0,6.0,134.0,22.0,167.0,4.0,233.0,1788.0,2025-07-25 17:39:11,13.0.1,62.0,7727.0,7727.0,67.0,https://pypi.org/project/django-anymail,1046902.0,1046903.0,1.0,,194.0,,,
56,django-jazzmin,https://github.com/farridav/django-jazzmin,,[],admin-interface,Jazzy theme for Django.,32,True,farridav/django-jazzmin,django-jazzmin,https://github.com/farridav/django-jazzmin,MIT,2020-05-11 19:50:44,2025-03-06 04:29:43,2025-01-11 13:37:30,1132.0,,300.0,37.0,328.0,127.0,168.0,1777.0,2024-10-08 17:40:29,3.0.1,32.0,17421.0,17421.0,76.0,https://pypi.org/project/django-jazzmin,319253.0,319253.0,2.0,,,,,
57,django-auditlog,https://github.com/jazzband/django-auditlog,,[],fields-versioning,A Django app that keeps a log of changes made to an object.,32,True,jazzband/django-auditlog,django-auditlog,https://github.com/jazzband/django-auditlog,MIT,2013-10-20 12:10:40,2025-07-30 15:21:37,2025-07-22 21:19:40,563.0,9.0,387.0,26.0,432.0,81.0,229.0,1278.0,2025-06-26 11:31:40,3.2.0,21.0,1631.0,1631.0,94.0,https://pypi.org/project/django-auditlog,593555.0,593558.0,2.0,,505.0,,,
58,django-waffle,https://github.com/django-waffle/django-waffle,,[],feature-flipper,A feature flipper for Django.,32,True,django-waffle/django-waffle,django-waffle,https://github.com/django-waffle/django-waffle,BSD-3-Clause,2011-01-23 17:42:09,2025-06-14 17:39:27,2025-06-14 17:39:27,475.0,7.0,243.0,24.0,346.0,40.0,181.0,1185.0,2025-06-12 07:36:34,5.0.0,26.0,1626.0,1626.0,125.0,https://pypi.org/project/django-waffle,886481.0,886481.0,1.0,,,,,
59,Paperless-ngx,https://github.com/paperless-ngx/paperless-ngx,,[],document-management-framework,"A community-supported supercharged document management system: scan, index and archive all your documents.",31,True,paperless-ngx/paperless-ngx,,https://github.com/paperless-ngx/paperless-ngx,GPL-3.0,2022-02-12 21:56:52,2025-07-31 21:33:59,2025-07-31 18:08:41,10334.0,170.0,1776.0,125.0,3139.0,,2077.0,29686.0,2025-06-19 19:35:01,2.17.1,100.0,,,409.0,,,5658.0,1.0,,181082.0,,,
60,netbox,https://github.com/netbox-community/netbox,,[],network-automation-system,The premier source of truth powering network automation. Open source under Apache 2. Try NetBox Cloud free:..,31,True,netbox-community/netbox,,https://github.com/netbox-community/netbox,Apache-2.0,2016-02-29 14:15:46,2025-07-31 21:12:31,2025-07-30 12:25:40,14027.0,147.0,2758.0,418.0,3831.0,285.0,11149.0,18262.0,2025-07-29 20:30:04,4.3.5,100.0,,,415.0,,,,1.0,,,,,
61,granian,https://github.com/emmett-framework/granian,,[],http-server,A Rust HTTP server for Python applications.,31,True,emmett-framework/granian,granian,https://github.com/emmett-framework/granian,BSD-3-Clause,2022-04-15 16:41:30,2025-07-31 12:03:55,2025-07-31 12:03:55,692.0,74.0,109.0,32.0,304.0,23.0,238.0,3879.0,2025-07-30 18:55:33,2.5.0,92.0,707.0,707.0,31.0,https://pypi.org/project/granian,398994.0,398994.0,1.0,,,,,
62,Garden,https://github.com/garden-io/garden,,[],k8s-cicd,"Automation for Kubernetes development and testing. Spin up production-like environments for development, testing, and..",31,True,garden-io/garden,,https://github.com/garden-io/garden,MPL-2.0,2017-12-03 02:10:59,2025-07-31 16:30:29,2025-07-31 14:51:16,7696.0,166.0,280.0,38.0,5840.0,213.0,1460.0,3518.0,2025-07-30 17:57:15,0.13.61,100.0,3.0,3.0,119.0,,,122968.0,1.0,,3689048.0,,,
63,django-bootstrap3,https://github.com/zostera/django-bootstrap3,,[],mvt-bootstrap-css-framework-integration,Bootstrap 3 integration with Django.,31,True,zostera/django-bootstrap3,django-bootstrap3,https://github.com/zostera/django-bootstrap3,BSD-3-Clause,2013-08-13 13:48:04,2025-07-31 06:49:54,2025-07-31 06:12:07,1166.0,8.0,670.0,102.0,778.0,,297.0,2336.0,,,,19453.0,19453.0,100.0,https://pypi.org/project/django-bootstrap3,178375.0,178375.0,2.0,,,,,
64,dj-stripe,https://github.com/dj-stripe/dj-stripe,,[],payment-subscriptions,dj-stripe automatically syncs your Stripe Data to your local database as pre-implemented Django Models allowing you to..,31,True,dj-stripe/dj-stripe,dj-stripe,https://github.com/dj-stripe/dj-stripe,MIT,2013-08-05 15:31:30,2025-07-20 19:27:19,2025-07-20 19:27:15,3351.0,9.0,483.0,29.0,1040.0,71.0,968.0,1718.0,2025-01-12 16:54:39,2.9.0,71.0,1221.0,1221.0,128.0,https://pypi.org/project/dj-stripe,118833.0,118833.0,1.0,,,,,
65,deptry,https://github.com/fpgmaas/deptry,,[],sca,"Find unused, missing and transitive dependencies in a Python project.",31,True,fpgmaas/deptry,deptry,https://github.com/fpgmaas/deptry,MIT,2022-09-01 07:35:36,2025-07-31 20:42:10,2025-07-31 06:54:14,988.0,84.0,26.0,6.0,1027.0,39.0,152.0,1118.0,2025-07-31 05:49:25,0.23.1,84.0,1476.0,1476.0,13.0,https://pypi.org/project/deptry,1675563.0,1675563.0,1.0,,,,,
66,django-dbbackup,https://github.com/Archmonger/django-dbbackup,,[],management-commands,Management commands to help backup and restore your project database and media files.,31,True,jazzband/django-dbbackup,django-dbbackup,https://github.com/Archmonger/django-dbbackup,BSD-3-Clause,2014-12-29 02:39:34,2025-07-27 21:47:28,2025-07-27 21:47:28,527.0,13.0,200.0,22.0,272.0,31.0,265.0,1055.0,2025-05-09 19:11:15,4.3.0,7.0,2520.0,2520.0,80.0,https://pypi.org/project/django-dbbackup,158295.0,158295.0,2.0,Archmonger/django-dbbackup,,,,
67,django-ninja,https://github.com/vitalik/django-ninja,,[],restful-api-ninja,"Fast, Async-ready, Openapi, type hints based framework for building APIs.",30,True,vitalik/django-ninja,django-ninja,https://github.com/vitalik/django-ninja,MIT,2020-05-19 08:48:53,2025-07-15 09:25:28,2025-07-15 09:25:27,1335.0,23.0,512.0,73.0,424.0,343.0,588.0,8411.0,2025-06-04 15:10:24,1.4.3t,48.0,,,164.0,https://pypi.org/project/django-ninja,854670.0,854670.0,1.0,,,,,
68,django-fsm,https://github.com/viewflow/django-fsm,,[],finite-state-machine,Django friendly finite state machine support.,30,True,viewflow/django-fsm,django-fsm,https://github.com/viewflow/django-fsm,MIT,2010-05-31 14:03:48,2024-04-16 12:13:04,2024-04-16 12:13:00,353.0,,281.0,46.0,146.0,1.0,156.0,2343.0,2024-04-09 07:55:47,3.0.0,5.0,1840.0,1840.0,70.0,https://pypi.org/project/django-fsm,449972.0,449972.0,2.0,,,,,
69,django-q,https://github.com/Koed00/django-q,,[],task-queues,A multiprocessing distributed task queue for Django.,30,True,Koed00/django-q,django-q,https://github.com/Koed00/django-q,MIT,2015-06-14 12:37:08,2024-08-13 12:14:42,2021-06-26 12:04:16,1246.0,,239.0,51.0,313.0,279.0,154.0,1874.0,2021-06-10 16:52:14,1.3.9,78.0,1988.0,1988.0,62.0,https://pypi.org/project/django-q,78684.0,78684.0,3.0,,,,,
70,django-two-factor-auth,https://github.com/jazzband/django-two-factor-auth,,[],authentication-authorization,Complete Two-Factor Authentication for Django providing the easiest integration into most Django projects.,30,True,jazzband/django-two-factor-auth,django-two-factor-auth,https://github.com/jazzband/django-two-factor-auth,MIT,2012-09-11 13:25:14,2025-07-28 17:22:31,2025-07-09 18:31:31,865.0,1.0,434.0,37.0,385.0,88.0,293.0,1806.0,2023-04-05 21:44:13,1.15.1,34.0,2321.0,2321.0,110.0,https://pypi.org/project/django-two-factor-auth,686204.0,686204.0,2.0,,,-2.0,,
71,django-constance,https://github.com/jazzband/django-constance,,[],configuration,Dynamic Django settings.,30,True,jazzband/django-constance,django-constance,https://github.com/jazzband/django-constance,BSD-3-Clause,2010-09-20 12:42:29,2025-07-07 17:28:18,2025-05-19 19:20:14,709.0,1.0,295.0,33.0,314.0,22.0,289.0,1777.0,2025-02-06 10:27:44,4.3.2,14.0,2384.0,2384.0,150.0,https://pypi.org/project/django-constance,435738.0,435738.0,2.0,,,,,
72,plane,https://github.com/makeplane/plane,,[],project-management-framework,"Open Source JIRA, Linear, Monday, and Asana Alternative. Plane helps you track your issues, epics, and cycles the..",29,True,makeplane/plane,,https://github.com/makeplane/plane,AGPL-3.0,2022-11-19 12:55:01,2025-07-31 15:14:21,2025-07-31 07:57:34,6142.0,362.0,2499.0,137.0,6049.0,451.0,850.0,37699.0,2025-07-30 11:27:52,0.28.0,48.0,,,126.0,,,1619.0,1.0,,50214.0,,,
73,Open edX,https://github.com/openedx/edx-platform,,[],education-framework,"The Open edX LMS & Studio, powering education sites around the world!.",29,True,openedx/edx-platform,,https://github.com/openedx/edx-platform,AGPL-3.0,2013-05-30 20:20:38,2025-07-31 21:37:23,2025-07-31 21:22:38,67132.0,366.0,3767.0,425.0,36282.0,244.0,539.0,7798.0,2015-03-02 21:13:51,named-release/birch,4.0,3.0,3.0,1483.0,,,,1.0,,,,,
74,InvenTree,https://github.com/inventree/InvenTree,,[],inventory-management-system,Open Source Inventory Management System.,29,True,inventree/InvenTree,,https://github.com/inventree/InvenTree,MIT,2017-03-23 01:44:10,2025-07-31 23:40:32,2025-07-31 23:35:03,16871.0,290.0,981.0,70.0,6210.0,192.0,2809.0,5240.0,2025-06-21 23:43:04,0.17.14,100.0,8.0,8.0,109.0,,,32.0,1.0,,1715.0,,,
75,djangorestframework-simplejwt,https://github.com/jazzband/djangorestframework-simplejwt,,[],restful-api-drf,A JSON Web Token authentication plugin for the Django REST Framework.,29,True,jazzband/djangorestframework-simplejwt,djangorestframework-simplejwt,https://github.com/jazzband/djangorestframework-simplejwt,MIT,2017-05-05 17:41:35,2025-07-28 17:22:37,2025-07-22 22:11:10,682.0,11.0,643.0,53.0,417.0,114.0,391.0,4204.0,2025-07-21 16:49:26,5.5.1,14.0,,,133.0,https://pypi.org/project/djangorestframework-simplejwt,3961168.0,3961168.0,2.0,,,,,
76,django-material,https://github.com/viewflow/django-material,,[],admin-interface,Material Design for Django.,29,True,viewflow/django-material,django-material,https://github.com/viewflow/django-material,AGPL-3.0,2015-01-16 07:17:33,2025-06-30 08:27:58,2025-06-30 08:27:54,172.0,47.0,414.0,89.0,123.0,20.0,395.0,2537.0,2017-10-27 11:20:04,1.1.0,5.0,1869.0,1869.0,4.0,https://pypi.org/project/django-material,13242.0,13242.0,2.0,,,,,
77,django-cacheops,https://github.com/Suor/django-cacheops,,[],caching,A slick ORM cache with automatic granular event-driven invalidation.,29,True,Suor/django-cacheops,django-cacheops,https://github.com/Suor/django-cacheops,BSD-3-Clause,2011-06-04 12:25:47,2025-07-03 07:56:15,2025-04-20 04:37:30,1256.0,,220.0,38.0,150.0,20.0,328.0,2217.0,,,,1552.0,1552.0,71.0,https://pypi.org/project/django-cacheops,262642.0,262642.0,1.0,,,,,
78,django-notifications,https://github.com/django-notifications/django-notifications,,[],notifications,GitHub notifications alike app for Django.,29,True,django-notifications/django-notifications,django-notifications-hq,https://github.com/django-notifications/django-notifications,BSD-3-Clause,2012-07-22 10:41:02,2025-07-17 17:54:23,2025-07-17 17:50:43,471.0,2.0,430.0,43.0,189.0,20.0,199.0,1903.0,2023-10-19 00:00:44,1.8.3,8.0,3074.0,3074.0,76.0,https://pypi.org/project/django-notifications-hq,71728.0,71728.0,1.0,,,,,
79,dishka,https://github.com/reagento/dishka,,[],dependency-injection,Cute dependency injection (DI) framework for Python with agreeable API and everything you need.,29,True,reagento/dishka,dishka,https://github.com/reagento/dishka,Apache-2.0,2024-01-14 00:42:06,2025-07-29 06:36:08,2025-07-29 06:36:08,1176.0,95.0,82.0,5.0,338.0,40.0,118.0,766.0,2025-05-18 18:55:58,1.6.0,19.0,629.0,629.0,58.0,https://pypi.org/project/dishka,80840.0,80840.0,1.0,,,,,
80,djangorestframework-stubs,https://github.com/typeddjango/djangorestframework-stubs,,[],type-stubs,PEP-484 stubs for django-rest-framework.,29,True,typeddjango/djangorestframework-stubs,djangorestframework-stubs,https://github.com/typeddjango/djangorestframework-stubs,MIT,2018-11-12 01:07:16,2025-07-28 19:56:15,2025-07-28 19:56:15,611.0,28.0,117.0,6.0,638.0,53.0,99.0,503.0,2025-07-15 12:28:18,3.16.1,27.0,3814.0,3814.0,80.0,https://pypi.org/project/djangorestframework-stubs,1535769.0,1535769.0,3.0,,,,,
81,strawberry,https://github.com/strawberry-graphql/strawberry,,[],graphql-api,A GraphQL library for Python that leverages type annotations.,28,True,strawberry-graphql/strawberry,strawberry,https://github.com/strawberry-graphql/strawberry,MIT,2018-12-21 08:56:55,2025-07-30 18:59:19,2025-07-30 18:59:18,3548.0,129.0,568.0,38.0,2741.0,374.0,719.0,4345.0,2025-07-19 12:43:34,0.278.0,100.0,,,291.0,https://pypi.org/project/strawberry,1238.0,1278.0,3.0,,449.0,,,
