,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,trending,github_release_downloads,updated_github_id,gitlab_id,gitlab_url
83,django-fsm-admin,gadventures/django-fsm-admin,django-fsm-admin,[],finite-state-machine,https://github.com/gadventures/django-fsm-admin,https://github.com/gadventures/django-fsm-admin,,2014-03-12 04:43:00,2022-10-25 08:27:00,2022-10-25 08:26:59,123.0,,81.0,30.0,66.0,18.0,20.0,196,,,,Mixin and template tags to integrate django-fsm transitions into the django admin.,313.0,313.0,32.0,https://pypi.org/project/django-fsm-admin,61993.0,61993.0,19,True,3,,,,,
84,django-fernet-fields,orcasgit/django-fernet-fields,django-fernet-fields,[],encrpyted-fields,https://github.com/orcasgit/django-fernet-fields,https://github.com/orcasgit/django-fernet-fields,BSD-3-Clause,2015-05-25 18:10:29,2023-03-26 12:55:14,2019-05-10 16:41:45,129.0,,53.0,6.0,18.0,9.0,6.0,182,,,,Fernet symmetric encryption for Django model fields.,599.0,599.0,9.0,https://pypi.org/project/django-fernet-fields,92400.0,92400.0,19,True,1,,,,,
85,django-loci,openwisp/django-loci,django-loci,[],fields-addresses,https://github.com/openwisp/django-loci,https://github.com/openwisp/django-loci,BSD-3-Clause,2017-11-12 15:46:45,2023-04-19 15:32:33,2023-04-19 15:32:31,251.0,4.0,35.0,12.0,74.0,2.0,38.0,173,2022-04-20 19:29:39,1.0.1,15.0,Reusable Django app for storing geographic and indoor coordinates. Maintained by the OpenWISP Project.,9.0,9.0,28.0,https://pypi.org/project/django-loci,383.0,383.0,19,True,3,,,,,
86,django-ninja-extra,eadwinCode/django-ninja-extra,django-ninja-extra,[],restful-api-ninja,https://github.com/eadwinCode/django-ninja-extra,https://github.com/eadwinCode/django-ninja-extra,MIT,2021-06-17 09:58:17,2023-05-29 13:27:55,2023-05-29 13:24:53,423.0,31.0,12.0,8.0,41.0,3.0,16.0,149,2023-05-29 13:26:41,0.18.9,22.0,Django Ninja Extra - Class-Based Utility and more for Django Ninja(Fast Django REST framework).,,,8.0,https://pypi.org/project/django-ninja-extra,15791.0,15791.0,19,True,2,,,,,
87,django-admin-numeric-filter,lukasvinclav/django-admin-numeric-filter,django-admin-numeric-filter,[],admin-interface-filters,https://github.com/lukasvinclav/django-admin-numeric-filter,https://github.com/lukasvinclav/django-admin-numeric-filter,MIT,2018-08-10 10:21:18,2023-02-16 07:53:41,2023-02-16 07:53:37,60.0,,31.0,4.0,16.0,3.0,13.0,69,2023-02-16 07:52:21,0.1.9,3.0,Numeric filters for Django admin.,152.0,152.0,14.0,https://pypi.org/project/django-admin-numeric-filter,12170.0,12170.0,19,True,1,,,,,
88,django-mapbox-location-field,Simon-the-Shark/django-mapbox-location-field,django-mapbox-location-field,[],fields-addresses,https://github.com/simon-the-shark/django-mapbox-location-field,https://github.com/simon-the-shark/django-mapbox-location-field,MIT,2019-06-26 09:38:13,2022-08-26 07:34:52,2022-04-07 16:47:43,200.0,,21.0,5.0,12.0,2.0,22.0,63,2022-03-01 22:09:58,2.0.0,22.0,"Simple in use location model and form field with MapInput widget for picking some location. Uses mapbox gl js,..",272.0,272.0,8.0,https://pypi.org/project/django-mapbox-location-field,1014.0,1014.0,19,True,3,,,,,
89,django-concurrency,saxix/django-concurrency,django-concurrency,[],locking,https://github.com/saxix/django-concurrency,https://github.com/saxix/django-concurrency,MIT,2012-03-20 01:05:04,2022-08-04 10:49:36,2022-08-04 10:49:36,662.0,,47.0,9.0,176.0,7.0,61.0,411,2022-03-04 14:07:54,2.4,2.0,Optimistic lock implementation for Django. Prevents users from doing concurrent editing.,,,24.0,https://pypi.org/project/django-concurrency,36912.0,36912.0,18,True,1,,,,,
90,django-bulma,timonweb/django-bulma,django-bulma,[],mvt-css-framework-integration,https://github.com/timonweb/django-bulma,https://github.com/timonweb/django-bulma,MIT,2017-08-16 16:10:14,2023-03-04 04:33:09,2021-10-21 13:54:53,128.0,,52.0,15.0,38.0,4.0,37.0,330,,,,Bulma theme for Django.,440.0,440.0,14.0,https://pypi.org/project/django-bulma,2498.0,2498.0,18,True,3,,,,,
91,django-cryptography,georgemarshall/django-cryptography,django-cryptography,[],encrpyted-fields,https://github.com/georgemarshall/django-cryptography,https://github.com/georgemarshall/django-cryptography,BSD-3-Clause,2016-03-02 07:55:01,2023-04-19 03:52:53,2023-04-19 03:52:52,147.0,7.0,55.0,15.0,31.0,34.0,32.0,320,2022-04-06 04:41:14,1.1,13.0,Easily encrypt data in Django.,,,4.0,https://pypi.org/project/django-cryptography,79492.0,79492.0,18,True,2,,,,,
92,django-phone-field,VeryApt/django-phone-field,django-phone-field,[],fields-phone-numbers,https://github.com/VeryApt/django-phone-field,https://github.com/VeryApt/django-phone-field,GPL-3.0,2018-02-22 21:40:32,2020-06-10 01:16:07,2020-06-10 01:10:54,35.0,,14.0,4.0,4.0,3.0,11.0,49,2020-06-10 01:16:07,1.8.1,8.0,Lightweight model and form field for phone numbers in Django.,2686.0,2686.0,4.0,https://pypi.org/project/django-phone-field,16094.0,16094.0,18,True,3,,,,,
