,name,homepage,resource,labels,category,description,projectrank,show,github_id,pypi_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,projectrank_placing,trending,updated_github_id,gitlab_id,gitlab_url
126,strawberry-graphql-django,https://github.com/strawberry-graphql/strawberry-django,,[],graphql-api,Strawberry GraphQL Django extension.,25,True,strawberry-graphql/strawberry-graphql-django,strawberry-graphql-django,https://github.com/strawberry-graphql/strawberry-django,MIT,2020-10-30 17:12:01,2025-11-28 17:46:18,2025-11-23 12:38:06,936.0,24.0,146.0,14.0,429.0,91.0,295.0,480.0,2025-11-23 11:54:51,0.67.2,,753721.0,100.0,,,105.0,https://pypi.org/project/strawberry-graphql-django,753721.0,3.0,,strawberry-graphql/strawberry-django,,
127,django-guid,https://github.com/snok/django-guid,,[],logging,"Inject an ID into every log message from a Django request. ASGI compatible, integrates with Sentry, and works with..",25,True,snok/django-guid,django-guid,https://github.com/snok/django-guid,MIT,2019-12-20 10:25:27,2025-11-06 00:25:52,2025-07-22 19:16:52,210.0,,28.0,7.0,115.0,5.0,26.0,477.0,2025-07-22 19:17:38,3.5.2,,156015.0,20.0,309.0,309.0,15.0,https://pypi.org/project/django-guid,156015.0,3.0,,,,
128,CheckMK,https://github.com/Checkmk/checkmk,,[],apm,Checkmk - Best-in-class infrastructure & application monitoring.,24,True,Checkmk/checkmk,,https://github.com/Checkmk/checkmk,GPL-2.0,2019-02-20 12:29:54,2025-11-30 23:59:23,2025-11-30 20:11:50,93188.0,4462.0,508.0,69.0,877.0,,,2113.0,,,,,,,,392.0,,,3.0,,,,
129,django-htmx,https://github.com/adamchainz/django-htmx,,[],templates,Extensions for using Django with htmx.,24,True,adamchainz/django-htmx,django-htmx,https://github.com/adamchainz/django-htmx,MIT,2020-10-18 17:12:47,2025-11-28 23:17:37,2025-11-28 23:17:35,592.0,27.0,150.0,36.0,480.0,6.0,86.0,1933.0,,,,597026.0,,,,25.0,https://pypi.org/project/django-htmx,597026.0,3.0,,,,
130,django-admin-tools,https://github.com/django-admin-tools/django-admin-tools,,[],admin-interface,Extends the Django Admin to include a extensible dashboard and navigation menu.,24,True,django-admin-tools/django-admin-tools,django-admin-tools,https://github.com/django-admin-tools/django-admin-tools,MIT,2015-06-20 11:09:46,2023-08-10 12:40:54,2023-08-10 12:40:07,570.0,,113.0,26.0,50.0,19.0,61.0,887.0,,,,119366.0,,1631.0,1631.0,82.0,https://pypi.org/project/django-admin-tools,119366.0,3.0,,,,
131,django-easy-audit,https://github.com/soynatan/django-easy-audit,,[],fields-versioning,"Yet another Django audit log app, hopefully the simplest one.",24,True,soynatan/django-easy-audit,django-easy-audit,https://github.com/soynatan/django-easy-audit,GPL-3.0,2016-10-23 06:55:16,2025-10-18 00:16:55,2025-10-18 00:16:55,322.0,1.0,181.0,13.0,168.0,82.0,82.0,827.0,2024-10-09 11:35:31,1.3.7,,77192.0,59.0,366.0,366.0,52.0,https://pypi.org/project/django-easy-audit,77192.0,3.0,,,,
132,django-pandas,https://github.com/chrisdev/django-pandas,,[],pandas-integration,Tools for working with pandas in your Django projects.,24,True,chrisdev/django-pandas,django-pandas,https://github.com/chrisdev/django-pandas,BSD-3-Clause,2012-08-01 01:51:39,2025-09-04 15:37:21,2025-05-30 15:00:09,260.0,,117.0,28.0,76.0,15.0,71.0,810.0,,,,167056.0,,2616.0,2616.0,36.0,https://pypi.org/project/django-pandas,167056.0,1.0,,,,
133,python-inject,https://github.com/ivankorobkov/python-inject,,[],dependency-injection,Python dependency injection.,24,True,ivankorobkov/python-inject,inject,https://github.com/ivankorobkov/python-inject,Apache-2.0,2010-02-08 06:46:16,2025-11-10 08:22:51,2025-11-10 08:22:51,379.0,2.0,81.0,17.0,59.0,24.0,48.0,749.0,,,,795406.0,,946.0,946.0,35.0,https://pypi.org/project/inject,795406.0,2.0,,,,
134,django-dirtyfields,https://github.com/romgar/django-dirtyfields,,[],fields-versioning,Tracking dirty fields on a Django model.,24,True,romgar/django-dirtyfields,django-dirtyfields,https://github.com/romgar/django-dirtyfields,BSD-3-Clause,2010-09-09 06:54:09,2025-11-17 12:44:53,2025-11-17 12:42:17,653.0,5.0,95.0,11.0,172.0,11.0,63.0,647.0,,,,494109.0,,691.0,691.0,44.0,https://pypi.org/project/django-dirtyfields,494109.0,3.0,,,,
135,django-address,https://github.com/furious-luke/django-address,,[],fields-addresses,A Django address model and field. Addresses may be specified by address components or by performing an automatic..,24,True,furious-luke/django-address,django-address,https://github.com/furious-luke/django-address,BSD-3-Clause,2011-04-16 01:58:58,2023-10-13 21:23:29,2022-05-05 01:23:36,216.0,,164.0,19.0,70.0,41.0,85.0,442.0,2022-05-06 20:00:17,0.2.8,,11299.0,7.0,477.0,477.0,22.0,https://pypi.org/project/django-address,11299.0,1.0,,,,
